STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070101,287,-9999,0,94,44,22,110,290,54,67,2301,353
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070102,0,-9999,0,83,-22,44,300,290,94,107,1417,1406
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070103,0,-9999,0,111,-39,23,230,230,89,116,1239,1233
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070104,0,-9999,0,122,-39,11,220,180,54,63,1319,1304
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070105,25,-9999,0,161,28,15,190,180,67,94,2321,2315
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070106,86,-9999,0,211,100,57,260,250,107,148,1229,1232
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070107,117,-9999,0,106,22,30,110,100,72,94,1921,1921
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070108,124,-9999,0,100,6,48,280,280,125,161,1502,1503
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070109,0,-9999,0,50,-39,40,240,240,89,112,1223,1222
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070110,0,-9999,3,11,-67,48,290,290,107,139,1320,1131
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070111,0,-9999,0,33,-83,25,190,140,58,76,2202,1520
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070112,0,-9999,0,72,-11,20,190,200,63,80,253,253
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070113,8,-9999,0,117,33,24,70,70,58,63,2311,2311
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070114,25,-9999,0,72,39,28,50,50,58,67,2345,2347
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070115,10,-9999,0,72,28,26,60,60,67,76,44,204
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070116,0,-9999,0,111,-61,60,310,300,103,134,553,2040
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070117,0,-9999,0,-11,-89,35,330,290,98,130,314,2353
GHCND:USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT PA US,20070118,0,-9999,0,6,-83,15,200,200,45,58,1454,1500
