STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070101,0,0,0,100,-33,34,350,340,63,76,311,402
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070102,0,0,0,106,-61,18,100,90,40,54,1210,1138
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070103,28,0,0,106,28,25,180,190,67,76,1232,1233
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070104,0,0,0,167,56,36,190,190,72,80,1516,1518
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070105,0,0,0,233,28,47,10,10,107,134,2037,1943
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070106,0,0,0,94,22,49,360,360,98,130,230,653
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070107,0,0,0,122,-17,60,350,350,143,179,1018,1008
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070108,0,0,0,183,-33,41,220,220,94,107,1014,1014
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070109,0,0,0,156,-33,34,70,60,98,116,1206,1045
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070110,0,0,0,183,33,78,190,200,134,165,1429,1308
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070111,0,0,0,183,111,75,170,180,125,156,26,2353
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070112,102,0,0,167,-28,47,170,180,107,134,431,432
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070113,8,0,0,-22,-44,22,10,10,72,72,1058,1058
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070114,18,0,0,-22,-33,23,350,350,103,103,2049,2049
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070115,0,0,0,-28,-67,19,340,340,103,103,1108,1108
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070116,0,0,0,-17,-39,8,360,360,54,54,1059,1059
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070117,13,25,18,0,-44,18,200,200,58,58,1928,1610
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070118,8,25,0,83,-6,36,360,360,72,80,2014,2015
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070119,64,0,0,100,0,36,80,70,58,72,2232,2242
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070120,147,0,0,50,11,45,110,110,103,116,1058,1042
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070121,0,0,0,133,6,49,300,290,98,130,1108,1057
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070122,0,0,0,56,-28,45,350,20,76,94,1041,709
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070123,8,0,0,44,-33,21,350,350,58,63,941,941
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070124,0,0,0,94,-6,26,350,10,63,67,1726,1627
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070125,0,0,0,144,-33,16,160,150,45,54,2149,2153
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070126,0,0,0,172,0,56,170,160,107,139,1534,1534
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070127,0,0,0,106,-11,57,350,340,125,148,1524,1443
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070128,0,0,0,83,-50,20,170,170,45,54,2322,2324
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070129,0,0,0,111,-11,45,220,230,98,112,1206,1207
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070130,0,0,0,94,-6,43,30,30,89,107,955,939
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070131,10,0,0,128,-11,57,210,210,125,143,1438,1454
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070201,71,0,0,78,6,41,50,60,76,89,2154,2148
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070202,8,0,8,11,-33,36,20,10,63,72,1051,1051
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070203,0,0,0,156,-39,55,210,220,112,130,1112,1113
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070204,0,0,0,106,-17,30,360,350,67,72,916,916
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070205,0,0,0,189,-33,29,220,160,76,94,1501,1208
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070206,0,0,0,217,50,58,210,230,103,116,1008,1020
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070207,0,0,0,261,28,54,210,220,98,125,159,203
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070208,0,0,0,44,-11,41,350,350,80,94,454,617
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070209,0,0,0,33,0,40,350,350,67,76,1416,1253
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070210,0,0,0,61,6,27,150,150,58,63,2214,2208
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070211,0,0,0,117,44,48,170,170,89,116,2351,2356
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070212,3,0,0,233,78,63,290,240,116,170,1420,2017
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070213,0,0,0,83,-28,84,350,350,134,165,858,740
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070214,0,0,0,-22,-50,55,360,350,89,112,133,137
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070215,0,0,0,0,-72,43,350,350,76,89,1300,1301
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070216,0,0,0,183,-89,61,220,210,130,161,1338,1257
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070217,0,0,0,150,-6,55,340,350,130,148,1526,1527
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070218,0,0,0,200,-33,56,200,200,103,130,1411,1526
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070219,0,0,0,256,78,79,200,200,139,183,721,1009
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070220,0,0,0,233,117,68,260,300,134,174,1119,1406
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070221,0,0,0,256,44,47,260,250,94,116,1211,1213
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070222,0,0,0,272,44,45,190,210,94,112,1259,1306
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070223,0,0,0,200,133,80,170,170,139,174,2202,2203
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070224,0,0,0,189,56,95,270,270,206,264,1211,1212
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070225,0,0,0,178,-22,36,210,210,98,125,2358,2359
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070226,0,0,0,244,100,63,210,210,130,156,404,405
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070227,0,0,0,289,83,58,240,220,107,143,1526,1657
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070228,0,0,0,267,139,70,200,200,116,139,1100,1101
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070301,0,0,0,172,44,67,320,320,125,161,117,119
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070302,0,0,0,161,17,34,100,300,67,80,615,2338
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070303,0,0,0,106,-17,55,340,340,107,156,1434,1721
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070304,0,0,0,150,-72,27,330,350,80,94,1328,1611
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070305,0,0,0,206,11,37,220,230,72,94,1448,1404
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070306,0,0,0,228,56,52,190,250,112,130,1610,1149
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070307,0,0,0,250,83,42,150,200,67,80,855,2354
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070308,0,0,0,256,83,49,160,140,94,116,2211,2254
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070309,0,0,0,261,106,47,250,240,94,116,927,926
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070310,0,0,0,278,50,45,130,140,94,107,1453,1422
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070311,434,0,0,200,122,60,330,340,116,143,1840,1808
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070312,5,0,0,217,122,19,320,310,45,54,528,504
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070313,0,0,0,244,94,29,170,60,89,130,1609,2057
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070314,0,0,0,228,111,30,20,20,63,80,1421,1232
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070315,0,0,0,261,111,39,350,360,112,134,1850,1849
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070316,0,0,0,178,83,47,360,30,98,112,1233,158
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070317,0,0,0,256,67,47,220,220,107,130,1133,1133
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070318,0,0,0,267,133,74,200,200,116,139,1631,1632
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070319,0,0,0,261,172,87,190,200,143,170,856,1025
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070320,0,0,0,244,172,76,160,150,112,139,2100,2111
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070321,0,0,0,283,167,85,160,210,125,165,1048,1743
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070322,3,0,0,222,167,78,120,120,165,197,1335,1336
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070323,0,0,0,233,167,86,160,150,139,174,2342,2325
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070324,3,0,0,228,161,70,170,170,156,201,29,122
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070325,8,0,0,189,144,45,130,150,112,130,1243,1227
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070326,201,0,0,206,133,50,100,130,112,134,455,812
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070327,0,0,0,267,133,43,180,170,76,98,2311,2318
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070328,0,0,0,272,178,97,140,140,143,174,2239,2343
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070329,56,0,0,244,139,43,140,140,143,170,9,9
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070330,378,0,0,161,94,43,320,320,148,174,1226,1227
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070331,0,0,0,211,56,42,270,270,94,107,1532,1533
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070401,0,0,0,278,94,49,210,220,94,107,1121,1137
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070402,0,0,0,289,150,66,200,190,112,134,1236,1237
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070403,0,0,0,267,144,57,190,190,98,112,11,2355
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070404,0,0,0,172,89,49,20,20,89,130,1028,1043
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070405,0,0,0,200,94,38,50,40,80,103,2006,2023
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070406,0,0,0,111,22,55,20,20,89,116,1411,2000
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070407,13,0,0,22,-22,40,20,20,80,103,637,630
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070408,0,0,0,56,0,32,120,120,67,76,2226,2228
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070409,0,0,0,117,39,49,300,140,89,103,2205,2254
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070410,10,0,0,289,111,76,260,260,134,161,1350,1351
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070411,0,0,0,233,44,42,310,310,116,143,1523,1545
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070412,0,0,0,244,100,89,140,130,148,174,1718,1224
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070413,0,0,0,300,83,88,320,300,170,201,1502,1538
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070414,0,0,0,128,22,76,340,330,130,148,1233,1127
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070415,0,0,0,228,11,41,130,120,72,94,1533,2350
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070416,0,0,0,211,61,73,150,140,130,161,932,933
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070417,23,0,0,228,94,49,310,310,156,192,1449,1449
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070418,0,0,0,222,89,34,350,340,67,80,1358,1358
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070419,0,0,0,267,117,73,150,160,107,139,2025,2037
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070420,0,0,0,278,150,81,140,140,134,156,1517,1517
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070421,0,0,0,261,144,103,150,160,161,197,2328,1811
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070422,10,0,0,294,172,55,160,170,139,170,2355,2353
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070423,0,0,0,239,183,70,140,140,116,134,1738,1722
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070424,58,0,0,289,167,57,170,170,116,156,456,458
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070425,0,0,0,217,106,64,340,310,112,143,1134,1251
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070426,0,0,0,244,72,37,330,340,72,80,828,827
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070427,0,0,0,278,128,52,170,170,98,125,1230,1243
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070428,0,0,0,283,117,32,90,90,76,98,1419,1412
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070429,338,0,0,272,144,46,280,280,107,139,2326,2326
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070430,91,0,0,222,150,56,200,200,183,215,355,356
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070501,102,0,0,250,167,28,340,340,72,94,819,820
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070502,99,0,0,222,133,36,330,320,143,174,1420,1423
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070503,0,0,0,278,117,35,240,210,76,94,1508,1320
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070504,0,0,0,317,183,72,150,150,107,139,2305,2332
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070505,0,0,0,278,217,84,160,160,134,165,416,416
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070506,0,0,0,294,222,78,150,150,125,148,55,54
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070507,15,0,0,250,178,34,150,150,206,237,1242,1244
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070508,155,0,0,261,144,41,310,310,206,228,1659,1659
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070509,295,0,0,217,150,27,290,290,94,107,2110,2111
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070510,0,0,0,233,133,28,310,300,72,80,1233,1154
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070511,0,0,0,261,144,24,340,350,58,67,1439,1439
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070512,51,0,0,267,150,15,150,150,72,80,1640,1641
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070513,0,0,0,283,144,16,100,100,76,94,1536,1712
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070514,0,0,0,294,167,37,150,130,76,94,1557,1619
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070515,0,0,0,272,161,41,360,20,98,112,1400,1347
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070516,0,0,0,239,144,38,20,20,72,89,827,935
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070517,18,0,0,200,144,19,110,100,40,58,1746,1756
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070518,43,0,0,217,150,26,140,110,63,72,1316,1359
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070519,0,0,0,228,144,33,150,150,63,72,1817,1818
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070520,0,0,0,250,150,50,130,140,98,107,1707,1708
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070521,0,0,0,239,178,60,150,200,103,125,948,1803
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070522,0,0,0,294,172,71,150,150,112,139,1841,1920
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070523,0,0,0,294,200,72,140,140,107,130,1823,1742
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070524,389,0,0,239,156,49,360,360,116,139,1047,1110
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070525,0,0,0,217,167,28,100,100,72,76,1444,1445
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070526,0,0,0,278,172,16,140,120,58,67,1731,1742
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070527,3,0,0,267,178,29,150,160,72,89,1630,1631
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070528,0,0,0,278,167,44,120,120,80,94,1858,1901
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070529,262,0,0,306,161,63,220,210,107,139,848,855
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070530,0,0,0,300,206,47,360,10,89,107,1905,1906
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070531,0,0,0,311,200,56,140,140,112,134,2245,2156
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070601,0,0,0,311,189,66,30,30,161,201,2018,2018
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070602,8,0,0,300,183,34,150,150,76,94,719,827
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070603,0,0,0,289,206,37,10,10,107,130,822,822
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070604,8,0,0,289,178,23,340,10,76,94,242,213
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070605,0,0,0,328,172,30,130,120,76,89,1844,1845
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070606,0,0,0,333,200,85,170,160,134,161,2209,2332
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070607,0,0,0,344,244,61,170,170,112,139,23,19
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070608,3,0,0,261,178,46,340,350,98,107,511,445
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070609,0,0,0,328,200,42,120,120,94,112,1725,1726
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070610,0,0,0,311,228,53,230,230,103,125,1104,1105
GHCND:USW00013962,ABILENE REGIONAL AIRPORT TX US,20070611,0,0,0,339,206,50,160,150,89,107,1531,1554
