STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070101,0,178,0,-11,-150,15,350,340,40,54,2308,2309
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070102,0,152,0,-6,-111,12,110,320,40,45,339,824
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070103,0,152,0,17,-144,11,120,330,36,45,1213,2255
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070104,0,127,0,44,-100,22,140,140,63,67,2144,2145
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070105,3,102,3,50,-44,37,160,170,80,98,512,514
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070106,0,51,8,11,-39,29,70,70,107,125,22,24
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070107,0,51,0,28,-39,54,360,340,94,103,1058,231
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070108,0,51,0,67,-50,36,330,330,89,112,555,558
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070109,0,25,0,44,-72,21,10,10,89,107,114,115
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070110,0,0,0,50,-67,9,110,110,36,36,1548,1547
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070111,0,0,0,106,-11,29,130,150,63,67,1955,2343
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070112,0,0,0,122,33,70,180,190,130,156,1652,1653
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070113,0,0,0,111,33,64,190,170,112,148,1520,1540
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070114,0,0,0,56,-61,49,220,290,103,143,1325,439
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070115,0,0,0,-11,-94,36,330,330,67,76,1323,1324
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070116,0,0,0,22,-100,60,80,80,107,130,1814,1815
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070117,0,0,0,39,-44,23,200,40,45,58,23,1025
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070118,0,0,0,22,-44,39,80,80,89,98,2100,2105
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070119,8,0,8,28,-39,31,80,80,94,103,2241,2237
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070120,3,0,5,33,-22,40,70,270,98,112,1721,131
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070121,3,0,3,33,-44,38,70,100,125,139,2354,2239
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070122,0,0,0,33,-39,50,70,70,134,143,400,400
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070123,0,0,0,67,-67,45,360,340,89,103,1049,1055
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070124,0,0,0,100,-44,31,350,350,63,72,459,459
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070125,0,0,0,94,-33,26,340,340,72,89,827,827
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070126,0,0,0,72,-61,22,190,220,54,63,1506,1701
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070127,0,0,0,78,-50,10,220,230,40,45,1728,1729
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070128,0,0,0,94,-39,18,350,350,45,58,817,819
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070129,0,0,0,94,-28,26,340,330,80,98,1252,1253
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070130,30,0,30,50,-39,31,350,350,54,67,531,1703
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070131,0,25,0,67,-11,50,240,230,134,148,1334,1335
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070201,0,0,0,33,-33,39,320,310,89,107,1546,1557
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070202,0,0,0,11,-67,58,340,330,107,125,1459,1449
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070203,0,0,0,83,-89,34,20,340,80,98,1421,2138
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070204,0,0,0,122,-44,23,320,320,67,80,2007,2007
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070205,0,0,0,156,-11,28,330,330,72,80,1143,1130
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070206,0,0,0,167,-11,16,350,340,54,63,329,329
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070207,0,0,0,178,-11,19,340,340,67,76,1705,1706
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070208,0,0,0,183,-11,26,280,270,94,103,1711,1711
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070209,0,0,0,150,0,22,230,250,54,63,1450,1441
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070210,0,0,0,161,28,21,10,10,58,67,1652,1653
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070211,61,0,0,128,50,30,290,280,76,98,537,538
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070212,10,0,0,122,11,34,310,320,107,139,1421,1422
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070213,18,0,10,67,-17,70,80,80,139,156,1531,1410
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070214,89,76,109,22,-39,25,350,290,54,63,2149,857
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070215,0,51,0,44,-72,34,330,330,98,116,1308,1308
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,20070216,0,0,0,122,-28,34,340,330,103,125,1504,1503
