STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070101,0,0,0,100,-11,40,350,10,72,80,1122,958
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070102,0,0,0,122,-17,19,50,60,58,76,1413,1413
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070103,142,0,0,106,28,19,240,240,130,148,2201,2201
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070104,165,0,0,167,72,34,70,70,80,94,308,309
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070105,0,0,0,222,61,31,170,170,67,76,439,415
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070106,41,0,0,111,78,52,360,350,98,116,219,220
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070107,0,0,0,144,44,47,320,320,103,130,1716,1716
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070108,0,0,0,167,-17,30,170,160,63,67,1352,1235
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070109,0,0,0,167,22,34,60,40,89,107,1526,1510
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070110,0,0,0,183,0,51,180,180,139,161,1601,1618
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070111,0,0,0,194,106,68,170,170,107,125,1153,1153
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070112,10,0,0,206,56,61,340,340,103,125,2048,2046
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070113,262,0,0,56,6,60,340,340,94,103,151,134
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070114,23,0,0,22,6,51,340,340,76,94,2300,2305
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070115,191,0,0,6,-28,54,320,320,103,125,2014,2014
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070116,3,0,0,-6,-22,35,10,10,67,80,2144,2228
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070117,56,0,0,-6,-22,25,10,10,58,72,39,131
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070118,0,0,0,61,-6,28,350,350,54,63,2155,2156
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070119,25,0,0,44,22,43,40,40,67,76,2053,2054
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070120,79,0,0,39,28,29,80,80,63,72,1015,1010
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070121,0,0,0,183,6,37,240,250,76,94,1233,1237
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070122,0,0,0,72,6,47,350,350,89,103,503,504
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070123,3,0,0,72,17,30,340,340,63,72,1400,1358
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070124,0,0,0,94,33,30,340,340,63,72,1211,1211
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070125,0,0,0,156,0,20,340,340,54,58,946,946
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070126,0,0,0,167,-17,29,160,150,67,76,1607,1608
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070127,0,0,0,183,44,55,340,340,143,170,1646,1654
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070128,0,0,0,83,-6,38,10,360,80,98,952,1016
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070129,0,0,0,117,-28,40,180,170,89,98,1840,1513
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070130,0,0,0,128,6,44,30,10,98,116,1322,1323
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070131,13,0,0,67,-28,28,120,110,89,103,846,843
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070201,109,0,0,67,17,30,330,330,67,80,2038,2020
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070202,0,0,0,61,-17,41,10,10,76,94,101,103
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070203,0,0,0,122,-50,51,180,180,98,103,1412,1357
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070204,0,0,0,183,-17,22,190,190,63,72,2352,2352
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070205,0,0,0,194,0,23,150,190,54,63,1205,1746
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070206,0,0,0,211,28,52,190,180,103,125,1157,1301
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070207,0,0,0,239,83,47,170,160,76,89,1243,1205
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070208,0,0,0,150,56,49,350,340,72,98,1128,1428
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070209,0,0,0,61,39,44,340,340,72,80,2015,2016
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070210,0,0,0,106,39,37,30,30,67,76,1445,1428
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070211,0,0,0,111,50,37,150,160,72,80,1835,1838
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070212,18,0,0,194,89,37,190,200,89,98,1607,1456
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070213,0,0,0,122,6,86,340,350,143,170,859,859
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070214,0,0,0,11,-11,61,360,10,103,116,654,608
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070215,0,0,0,39,-33,56,330,350,89,112,1529,1531
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070216,0,0,0,106,-89,48,170,170,98,112,1533,1714
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070217,0,0,0,167,-17,59,340,330,134,161,1520,1520
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070218,0,0,0,167,-33,38,180,170,80,98,2310,2311
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070219,0,0,0,239,44,71,170,190,125,148,1430,1208
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070220,0,0,0,244,139,51,190,190,94,112,45,43
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070221,0,0,0,272,56,32,290,250,76,98,1300,1421
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070222,0,0,0,272,17,23,150,130,58,72,1545,2343
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070223,0,0,0,206,128,64,140,150,112,143,2244,2245
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070224,13,0,0,233,122,88,260,240,192,246,1233,1237
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070225,0,0,0,189,33,37,320,320,76,103,157,205
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070226,0,0,0,283,94,45,240,290,94,107,1259,1045
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070227,0,0,0,278,33,50,170,170,94,107,2208,1512
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070228,0,0,0,228,172,64,190,210,107,139,247,248
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070301,0,0,0,206,50,57,320,310,112,156,1445,1041
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070302,0,0,0,178,22,34,220,220,63,72,1722,1953
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070303,0,0,0,144,0,54,350,350,112,134,848,852
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070304,0,0,0,156,-22,32,350,330,80,103,1553,1513
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070305,0,0,0,211,-22,23,170,140,45,63,1335,2342
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070306,0,0,0,217,28,43,180,180,94,107,1335,1254
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070307,0,0,0,239,83,3,200,200,40,40,1150,1149
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070308,0,0,0,250,61,17,180,180,67,89,1527,1527
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070309,0,0,0,278,144,46,180,170,80,98,1412,125
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070310,0,0,0,294,111,30,160,170,72,80,1639,1639
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070311,406,0,0,261,122,38,120,110,94,125,1237,1237
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070312,272,0,0,228,150,30,90,100,170,206,522,518
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070313,109,0,0,239,133,33,120,220,116,156,1540,1718
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070314,0,0,0,211,128,26,200,200,63,67,1645,1645
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070315,0,0,0,256,100,16,330,340,58,67,2346,2312
GHCND:USW00013959,WACO REGIONAL AIRPORT TX US,20070316,0,0,0,206,83,57,30,330,98,130,358,1300
