STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070101,0,-9999,-9999,144,17,13,290,290,45,45,1251
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070102,18,-9999,-9999,144,39,17,140,140,54,63,2317
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070103,348,-9999,-9999,128,72,48,180,200,112,157,1208
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070104,130,-9999,-9999,89,-5,31,330,330,130,174,1615
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070105,3,-9999,-9999,89,-21,17,300,300,58,63,1447
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070106,63,-9999,-9999,117,50,12,310,320,54,67,1258
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070107,3,-9999,-9999,133,33,28,310,320,72,81,1437
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070108,0,-9999,-9999,150,33,5,10,10,58,72,551
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070109,3,-9999,-9999,122,11,0,120,290,27,40,1610
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070110,56,-9999,-9999,89,0,1,320,320,54,67,1431
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070111,8,-9999,-9999,56,-16,9,290,290,89,103,1515
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070112,0,-9999,-9999,89,-27,26,60,80,67,98,343
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070113,0,-9999,-9999,67,-49,21,300,300,40,54,1550
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070114,3,-9999,-9999,100,-49,22,310,310,63,76,1415
GHCND:USW00024283,ARCATA EUREKA AIRPORT CA US,20070115,0,-9999,-9999,111,-32,20,230,240,40,45,1312
