STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070101,358,0,0,150,89,57,190,170,107,156,947,1057
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070102,0,0,0,106,0,58,320,330,134,170,1014,1015
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070103,0,0,0,117,-39,26,220,250,89,107,1339,1304
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070104,0,0,0,167,17,35,220,210,80,107,1204,1205
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070105,28,0,0,161,117,37,180,180,67,80,2052,2340
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070106,23,0,0,222,122,58,190,190,112,143,643,639
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070107,142,0,0,122,67,41,130,120,89,107,2357,2358
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070108,231,0,0,156,33,57,270,270,130,165,1140,1141
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070109,0,0,0,89,11,48,220,210,94,125,1204,1205
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070110,0,0,0,33,-33,60,290,280,112,143,1248,1228
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070111,0,0,0,39,-72,22,160,190,58,67,1641,1548
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070112,0,0,0,117,22,46,230,230,76,103,1139,1123
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070113,0,0,0,183,106,35,250,250,76,103,1227,1228
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070114,3,0,0,178,100,14,80,80,45,54,2357,2358
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070115,0,0,0,189,83,48,240,260,98,125,1242,1223
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070116,0,0,0,178,-11,69,320,300,116,161,1134,1209
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070117,0,0,0,0,-89,40,330,330,94,112,1008,1009
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070118,36,0,0,56,-83,15,320,320,58,63,1730,1436
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070119,5,0,0,78,0,64,290,290,139,183,1308,1958
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070120,0,0,0,28,-39,79,310,290,156,179,1332,1507
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070121,8,0,8,0,-78,29,320,330,72,89,12,14
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070122,15,25,5,28,-33,22,270,360,40,54,1019,2329
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070123,0,0,0,44,-50,38,310,310,103,116,1330,1330
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070124,0,0,0,61,-56,31,300,300,76,98,1157,1027
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070125,10,0,38,50,-67,53,320,330,116,148,2259,1527
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070126,0,25,0,-39,-128,66,290,290,130,161,1219,1503
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070127,0,25,0,122,-72,19,270,250,80,103,1439,1440
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070128,3,0,0,67,6,24,300,310,58,67,1701,2350
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070129,5,0,10,6,-78,69,320,310,130,156,214,215
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070130,0,0,0,39,-89,38,250,190,80,107,1334,1129
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070131,0,0,0,17,-50,55,300,300,103,130,1229,1328
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070201,3,0,0,17,-44,21,230,250,80,107,1006,1018
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070202,38,0,0,50,0,31,280,280,80,107,2317,2106
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070203,0,0,0,11,-33,61,280,280,134,165,1500,1438
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070204,0,0,0,6,-67,51,290,290,103,116,2331,2352
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070205,0,0,0,-61,-117,79,290,300,134,174,1000,25
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070206,0,0,0,-50,-128,55,280,280,98,130,855,1425
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070207,8,25,18,-33,-106,50,290,290,112,139,1436,1437
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070208,0,0,0,-17,-144,62,290,280,148,192,1136,1224
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070209,0,0,0,0,-83,65,290,290,125,148,1305,1034
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070210,0,0,0,11,-78,54,290,270,107,125,1518,1403
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070211,0,0,0,17,-111,35,260,270,76,103,1539,1615
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070212,0,0,0,83,-56,31,270,250,76,98,1319,1245
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070213,23,0,20,22,-33,67,70,70,107,143,2334,2247
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070214,335,0,0,67,-67,110,300,290,161,206,1915,2143
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070215,0,0,0,-33,-83,85,300,300,139,165,1049,1050
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070216,0,0,0,-17,-89,70,280,290,125,156,1614,1058
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070217,0,0,0,39,-78,38,270,280,76,98,1059,1104
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070218,0,0,0,28,-50,60,290,290,161,183,1600,1600
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070219,0,0,0,11,-94,73,310,310,130,156,433,434
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070220,5,0,0,122,11,50,250,240,89,107,2331,2335
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070221,15,0,0,122,-33,28,320,340,72,80,1030,1251
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070222,0,0,0,89,-44,46,290,290,139,179,2013,2014
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070223,0,0,0,50,-28,98,310,310,148,201,820,825
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070224,0,0,0,61,-67,70,320,330,116,161,233,233
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070225,160,0,10,22,-28,27,80,70,89,125,2353,2353
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070226,13,0,0,33,-6,26,80,80,103,130,28,28
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070227,0,0,0,106,0,27,290,280,76,107,1342,1359
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070228,0,0,0,100,-28,36,310,300,80,107,1535,1537
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070301,66,0,0,100,-33,30,100,140,89,112,2352,2150
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070302,246,0,0,172,28,64,280,150,125,174,724,1520
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070303,0,0,0,172,-17,35,340,320,130,156,1540,1544
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070304,0,0,0,56,-6,61,300,300,134,165,1515,1521
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070305,0,0,0,83,-28,83,290,300,156,206,2129,2024
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070306,0,0,0,-22,-100,81,320,320,156,206,315,1140
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070307,38,0,56,-39,-117,23,60,70,58,67,1335,1335
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070308,0,51,0,11,-156,33,280,290,94,125,1459,1322
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070309,0,25,0,22,-100,24,140,160,58,76,1423,1606
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070310,0,0,0,150,-39,51,200,190,112,161,1319,1319
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070311,8,0,0,144,0,48,320,330,94,116,1542,1700
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070312,0,0,0,128,-39,23,190,190,58,72,1247,1248
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070313,0,0,0,161,17,26,190,190,67,89,1633,1633
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070314,0,0,0,189,83,31,170,180,80,107,1600,1438
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070315,112,0,0,256,44,48,350,330,107,139,1357,1407
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070316,323,0,0,50,-11,98,50,50,219,268,1905,1905
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070317,0,0,0,28,-22,68,320,310,107,139,20,8
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070318,0,0,0,56,-22,66,300,290,125,161,1420,1420
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070319,0,0,0,83,-44,51,190,220,112,156,1546,1608
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070320,0,0,0,150,6,64,310,310,125,161,1158,1507
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070321,0,0,0,72,-33,38,60,70,80,103,1022,845
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070322,15,0,0,211,67,47,210,220,125,161,1043,1358
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070323,74,0,0,239,100,34,350,350,94,116,1333,1333
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070324,13,0,0,117,78,28,60,90,67,98,1336,1006
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070325,0,0,0,111,-6,37,360,360,98,125,737,737
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070326,0,0,0,122,-11,29,200,200,76,107,1532,1559
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070327,0,0,0,283,100,43,290,290,103,139,1406,1553
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070328,0,0,0,211,61,32,350,360,76,103,1332,1210
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070329,0,0,0,156,28,57,320,320,107,134,1300,1449
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070330,0,0,0,189,0,26,300,260,76,130,1614,1512
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070331,0,0,0,122,22,33,60,60,76,98,912,930
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070401,5,0,0,111,67,31,100,90,80,107,1327,1317
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070402,0,0,0,183,72,30,340,110,72,80,1723,240
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070403,0,0,0,139,67,39,110,90,94,130,2157,2223
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070404,279,0,0,94,50,57,100,90,112,148,942,942
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070405,0,0,0,89,0,66,290,280,134,174,1309,1217
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070406,0,0,0,83,-28,34,290,290,98,116,925,926
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070407,0,0,0,72,-11,47,300,310,112,139,1713,1715
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070408,0,0,0,67,-11,56,280,290,107,143,1345,1455
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070409,0,0,0,89,-6,51,280,280,103,139,1338,1339
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070410,0,0,0,117,-22,36,320,300,98,125,1236,1308
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070411,0,0,0,111,-44,37,110,120,94,116,2348,2337
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070412,348,0,0,139,39,51,110,110,125,165,512,522
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070413,0,0,0,122,44,73,300,290,139,197,1351,1528
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070414,5,0,0,150,6,38,340,320,89,107,750,808
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070415,551,0,0,150,67,70,150,140,130,183,1556,1548
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070416,124,0,0,72,17,98,280,280,165,215,519,618
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070417,5,0,0,117,44,72,320,320,130,161,1531,1532
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070418,0,0,0,94,56,38,320,310,94,116,46,203
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070419,8,0,0,117,61,22,80,90,63,98,1614,1051
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070420,0,0,0,206,11,31,30,340,89,112,1308,1255
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070421,0,0,0,244,0,19,140,90,72,130,1724,1443
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070422,0,0,0,261,67,21,120,120,63,94,1344,1214
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070423,0,0,0,294,89,44,220,220,80,107,1345,1338
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070424,0,0,0,283,139,42,300,10,103,183,1809,1146
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070425,10,0,0,206,89,38,60,60,89,107,2318,2319
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070426,0,0,0,139,89,51,110,110,80,112,1441,1438
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070427,43,0,0,189,100,18,140,30,58,130,1837,128
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070428,0,0,0,217,133,32,290,190,76,125,900,1528
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070429,10,0,0,228,94,47,360,360,130,156,1724,1725
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070430,0,0,0,294,61,52,290,290,148,219,1540,1556
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070501,0,0,0,206,100,33,360,180,76,103,1619,2255
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070502,0,0,0,244,83,33,90,320,76,98,1232,1321
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070503,0,0,0,183,56,32,60,50,76,107,951,940
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070504,0,0,0,194,50,33,90,90,72,94,852,1003
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070505,0,0,0,250,44,36,210,270,89,125,1537,1715
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070506,8,0,0,139,28,65,70,70,130,165,1149,1150
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070507,0,0,0,161,17,43,70,50,103,139,923,1421
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070508,0,0,0,194,11,22,130,130,63,80,1522,1205
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070509,0,0,0,261,128,27,160,180,67,89,1318,1559
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070510,0,0,0,250,156,25,170,130,67,98,1239,1939
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070511,0,0,0,283,150,24,260,260,58,80,1533,1502
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070512,86,0,0,239,122,42,70,60,98,134,1119,1120
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070513,18,0,0,217,78,38,40,30,94,116,1338,1108
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070514,0,0,0,189,56,35,160,110,72,94,704,1349
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070515,0,0,0,283,128,60,220,220,107,143,1740,1553
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070516,142,0,0,294,167,53,320,310,130,179,1749,1750
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070517,0,0,0,206,117,41,60,60,76,98,2347,2352
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070518,15,0,0,122,72,46,40,40,107,139,551,552
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070519,0,0,0,206,44,37,340,330,130,170,1107,1509
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070520,3,0,0,250,111,47,270,260,98,125,1647,1524
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070521,0,0,0,217,117,41,320,320,80,103,745,759
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070522,0,0,0,244,67,26,180,160,72,98,1301,1741
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070523,0,0,0,217,100,33,180,160,72,94,1646,1656
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070524,0,0,0,272,89,26,230,200,63,103,1336,1620
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070525,0,0,0,311,150,35,210,200,67,103,1506,1507
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070526,0,0,0,328,189,26,310,220,80,112,638,2045
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070527,0,0,0,311,167,25,250,230,72,94,2128,2129
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070528,81,0,0,300,189,33,240,210,80,215,517,46
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070529,0,0,0,256,144,31,30,100,63,80,1320,824
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070530,0,0,0,294,111,23,120,150,80,98,1318,1230
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070531,0,0,0,328,183,35,160,320,72,259,1230,1409
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070601,0,0,0,317,183,35,190,210,72,130,537,1635
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070602,0,0,0,300,178,36,190,200,76,112,1600,1600
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070603,343,0,0,233,178,51,80,80,116,148,1714,1646
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070604,594,0,0,261,183,41,280,270,76,98,1550,1553
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070605,0,0,0,283,167,41,260,260,107,143,1459,1529
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070606,28,0,0,239,122,33,290,270,89,112,1931,1751
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070607,0,0,0,256,89,25,190,30,76,130,530,1540
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070608,0,0,0,317,194,22,140,220,63,130,802,1333
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070609,0,0,0,300,183,57,70,80,98,125,1437,1448
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070610,0,0,0,239,150,24,100,100,63,76,1547,1547
GHCND:USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT NJ US,20070611,0,0,0,278,156,26,50,40,76,94,2358,2357
