STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070101,0,-9999,-9999,122,22,31,330,20,58,76,956
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070102,3,-9999,-9999,111,-5,16,70,70,63,72,948
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070103,0,-9999,-9999,117,11,11,90,80,36,63,1939
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070104,571,-9999,-9999,167,117,34,130,120,89,107,805
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070105,0,-9999,-9999,206,83,30,250,240,67,81,113
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070106,10,-9999,-9999,222,128,16,10,20,58,67,922
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070107,48,-9999,-9999,150,78,36,310,310,81,98,626
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070108,0,-9999,-9999,144,22,14,320,320,58,67,1430
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070109,3,-9999,-9999,194,11,28,320,320,81,103,1431
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070110,0,-9999,-9999,144,28,26,130,160,63,76,1542
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070111,0,-9999,-9999,211,28,47,150,190,98,107,1418
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070112,36,-9999,-9999,217,144,39,130,140,76,89,1130
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070113,23,-9999,-9999,233,183,34,140,140,63,72,2355
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070114,3,-9999,-9999,239,183,44,180,180,89,107,1237
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070115,211,-9999,-9999,206,17,56,320,330,103,134,129
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070116,0,-9999,-9999,28,0,51,350,350,81,107,815
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070117,18,-9999,-9999,22,0,31,20,20,67,81,642
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070118,66,-9999,-9999,61,17,12,350,10,40,54,1954
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070119,18,-9999,-9999,94,50,38,30,40,63,76,2050
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070120,0,-9999,-9999,117,56,47,130,120,98,116,1942
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070121,221,-9999,-9999,167,83,17,140,300,89,107,150
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070122,0,-9999,-9999,117,61,29,10,10,58,67,952
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070123,28,-9999,-9999,94,50,20,10,10,45,58,1408
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070124,0,-9999,-9999,94,61,16,320,340,40,45,1554
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070125,0,-9999,-9999,156,33,-9999,310,330,58,72,1426
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070126,3,-9999,-9999,156,-5,20,140,140,54,67,959
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070127,236,-9999,-9999,128,33,14,90,90,63,76,1414
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070128,3,-9999,-9999,106,-10,47,310,310,89,103,1425
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070129,0,-9999,-9999,94,-38,19,120,150,54,72,1211
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070130,0,-9999,-9999,106,33,13,20,10,40,54,1508
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070131,150,-9999,-9999,83,0,33,80,70,67,76,1549
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070201,56,-9999,-9999,67,39,23,10,20,63,76,810
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070202,0,-9999,-9999,56,-5,27,320,320,67,81,1500
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070203,3,-9999,-9999,94,-27,11,110,110,40,45,1617
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070204,0,-9999,-9999,144,-16,12,140,310,36,40,1520
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070205,0,-9999,-9999,172,0,12,160,160,36,45,1128
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070206,3,-9999,-9999,200,0,26,230,230,76,98,1459
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070207,3,-9999,-9999,217,56,20,190,220,54,63,1139
GHCND:USW00093915,ALEXANDRIA INTERNATIONAL AIRPORT LA US,20070208,5,-9999,-9999,144,67,24,20,30,54,67,1759
