STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070101,41,0,0,211,78,41,300,290,89,107,2042,2043
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070102,0,0,0,150,6,21,30,30,72,80,1047,1047
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070103,0,0,0,200,0,14,90,80,36,54,1538,1633
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070104,0,0,0,200,117,11,150,150,40,54,2357,2358
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070105,132,0,0,256,161,42,190,180,98,112,1354,1354
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070106,0,0,0,239,100,26,260,260,76,94,1232,1233
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070107,86,0,0,200,83,19,180,180,58,72,2129,2132
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070108,46,0,0,194,39,57,290,280,112,139,1033,1033
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070109,0,0,0,161,17,51,300,300,139,170,1518,1516
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070110,0,0,0,117,-17,19,310,300,63,72,204,205
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070111,0,0,0,150,-39,9,100,100,40,54,1201,1203
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070112,0,0,0,228,22,5,320,330,36,40,1450,1450
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070113,0,0,0,228,67,4,240,240,45,63,1423,1424
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070114,0,0,0,228,83,8,140,140,40,45,2332,2332
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070115,0,0,0,244,139,34,230,220,76,103,1050,1201
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070116,8,0,0,183,83,47,310,310,94,107,1753,1754
GHCND:USW00003820,AUGUSTA BUSH FIELD AIRPORT GA US,20070117,3,0,0,94,33,55,30,60,94,112,915,146
