STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070101,0,25,0,6,-61,51,310,300,125,156,154,159
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070102,0,0,0,39,-78,39,200,180,76,89,2149,1510
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070103,0,0,0,106,-11,64,190,190,103,130,1013,1428
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070104,0,0,0,94,22,56,220,200,107,139,1249,1341
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070105,3,0,0,56,0,39,320,330,72,80,1643,1644
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070106,0,0,0,39,-33,39,180,230,67,80,1351,2051
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070107,0,0,0,22,-33,57,280,280,103,148,1827,1827
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070108,0,0,0,28,-67,41,230,300,72,94,1748,1042
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070109,0,0,0,-6,-111,62,330,320,143,165,514,503
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070110,0,0,0,61,-117,71,160,170,134,161,1600,1126
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070111,0,0,0,89,-33,47,320,330,112,130,2312,2306
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070112,0,0,0,-33,-128,70,320,330,103,116,405,406
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070113,15,0,15,-67,-128,37,340,340,80,94,46,47
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070114,79,0,91,-44,-67,43,40,40,76,89,1652,1653
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070115,5,102,10,-67,-167,67,320,330,107,116,1454,1448
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070116,0,102,0,-128,-239,25,310,290,45,63,34,1444
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070117,0,102,0,-72,-206,54,150,150,94,112,1904,1904
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070118,3,102,8,-22,-72,57,310,310,125,156,1834,1811
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070119,0,102,0,-39,-194,28,280,270,72,94,0,2355
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070120,0,102,0,-67,-228,27,140,140,80,94,1127,1128
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070121,79,127,142,-33,-67,43,70,110,72,89,205,919
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070122,0,178,0,-44,-89,47,220,210,80,103,2336,2337
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070123,0,178,0,-22,-156,38,220,230,80,98,157,23
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070124,0,178,0,-17,-150,21,300,300,80,103,1619,1620
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070125,0,152,0,-44,-133,34,190,210,63,72,2157,2101
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070126,0,152,0,44,-89,57,210,210,107,134,1110,1125
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070127,0,127,0,-28,-178,73,330,310,139,161,1330,1145
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070128,0,102,0,-133,-200,49,310,310,94,103,950,951
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070129,3,102,5,-33,-167,64,270,290,139,161,1808,1521
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070130,0,102,0,-133,-200,58,310,300,89,107,910,1137
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070131,0,102,3,-61,-217,50,200,180,98,116,1216,1323
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070201,0,102,0,-106,-183,36,310,290,103,125,2328,2312
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070202,0,102,0,-128,-222,67,240,300,107,134,13,1459
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070203,0,102,0,-144,-244,66,310,280,116,139,1054,1105
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070204,0,102,0,-189,-244,43,310,310,98,116,1602,1617
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070205,0,102,0,-172,-272,14,70,70,36,36,1708,1707
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070206,46,102,81,-144,-233,42,100,90,76,89,1132,1133
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070207,0,152,0,-150,-239,41,290,300,67,80,1820,1835
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070208,0,152,0,-144,-239,43,300,310,67,76,1450,1525
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070209,0,152,0,-133,-206,41,280,290,67,80,2327,1627
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070210,0,152,0,-117,-239,34,290,300,67,80,10,10
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070211,10,127,18,-17,-117,26,210,200,58,63,357,353
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070212,0,152,0,-22,-61,58,60,60,89,98,1507,959
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070213,8,152,13,-61,-161,75,20,20,107,130,1131,846
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070214,0,152,0,-122,-217,43,320,310,76,89,1553,1553
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070215,0,152,0,-144,-250,35,310,300,67,76,1523,1531
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070216,13,152,20,-67,-222,56,190,180,112,139,1225,1357
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070217,10,127,13,-61,-106,66,300,300,107,139,1545,1546
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070218,0,127,0,-39,-111,47,150,140,80,112,2014,2247
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070219,0,102,0,44,-61,49,230,230,98,112,1137,1124
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070220,0,76,0,39,-39,19,260,250,45,54,1652,1623
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070221,0,51,0,83,-50,41,290,290,107,143,2346,2347
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070222,0,0,0,28,-44,61,310,310,139,170,138,53
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070223,43,0,0,11,-17,83,100,110,165,183,1905,1906
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070224,145,76,84,-6,-28,68,110,100,125,148,435,436
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070225,58,102,5,17,-22,48,290,280,72,94,2247,2249
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070226,0,76,0,-17,-50,52,250,270,76,98,113,2159
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070227,0,51,0,-11,-33,31,230,270,58,72,58,1327
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070228,0,51,0,6,-33,92,100,90,139,156,1253,1121
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070301,109,51,64,17,-33,79,80,80,134,170,958,925
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070302,5,102,8,-33,-67,85,270,270,134,165,923,925
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070303,0,102,0,-61,-139,69,300,310,107,130,933,1553
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070304,0,76,0,-11,-156,47,260,270,89,107,1616,1223
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070305,0,76,0,-17,-117,49,10,10,80,94,914,914
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070306,0,76,0,-17,-122,43,100,100,76,89,1655,1656
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070307,0,76,0,-33,-61,30,40,20,63,72,548,943
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070308,0,76,0,33,-33,52,170,170,98,112,851,851
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070309,33,51,0,39,6,26,160,160,63,76,6,15
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070310,0,51,0,72,-33,21,300,300,45,58,532,956
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070311,0,25,0,106,-50,32,180,170,76,94,1417,1418
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070312,0,0,0,100,11,38,230,240,80,94,1101,1047
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070313,0,0,0,233,22,52,210,210,130,156,1316,1307
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070314,5,0,0,122,-6,39,340,340,103,125,1146,1147
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070315,0,0,0,78,-44,28,330,330,98,112,2353,2355
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070316,0,0,0,17,-67,51,320,310,116,134,449,444
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070317,0,0,0,56,-67,17,20,20,45,72,1502,1503
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070318,0,0,0,83,-61,54,170,150,112,143,1309,1248
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070319,0,0,0,111,-33,59,310,320,125,143,1428,1358
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070320,0,0,0,117,-67,68,120,120,116,139,1419,1420
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070321,36,0,0,183,67,66,190,200,125,156,1348,1348
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070322,0,0,0,150,17,38,320,310,107,130,148,206
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070323,0,0,0,139,72,30,160,150,58,63,1052,1047
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070324,13,0,0,172,89,30,120,160,72,80,1520,1444
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070325,0,0,0,278,150,77,200,230,170,197,1515,1410
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070326,0,0,0,272,150,63,210,210,103,116,1518,1518
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070327,0,0,0,211,100,40,100,100,107,125,2235,2317
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070328,18,0,0,122,78,74,100,100,116,134,1535,1536
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070329,3,0,0,133,78,64,110,110,98,112,756,805
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070330,69,0,0,133,89,50,240,240,89,103,427,427
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070331,119,0,0,161,83,76,180,170,174,201,2325,2326
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070401,23,0,0,89,39,86,240,260,139,174,1239,1158
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070402,99,0,0,144,33,39,320,310,139,161,2248,2248
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070403,229,0,0,128,-50,88,300,300,156,183,2050,1656
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070404,0,0,0,-6,-72,105,320,310,139,170,1022,1440
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070405,0,0,0,33,-67,76,330,330,112,139,1339,1502
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070406,0,0,0,0,-78,102,320,310,143,170,1617,1629
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070407,0,0,0,33,-94,74,330,330,112,130,1604,1600
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070408,0,0,0,39,-67,29,300,270,58,72,1435,1219
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070409,0,0,0,78,-78,27,270,260,76,98,1148,1149
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070410,58,0,0,78,-50,68,110,100,139,165,1546,1453
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070411,104,25,109,22,-11,93,90,80,130,161,248,248
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070412,0,76,0,50,-28,66,330,310,98,116,1425,953
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070413,0,0,0,94,-39,23,320,310,58,67,1122,1022
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070414,0,0,0,128,-11,17,30,30,63,72,1701,1702
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070415,0,0,0,172,-17,20,300,290,80,98,1640,1641
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070416,0,0,0,233,-28,31,220,220,76,94,1603,1526
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070417,0,0,0,222,72,52,40,20,89,112,1126,1558
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070418,0,0,0,178,11,44,50,50,98,112,1629,1543
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070419,0,0,0,144,11,42,100,90,98,116,1633,1634
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070420,0,0,0,217,22,49,140,120,94,112,1248,1730
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070421,0,0,0,272,106,72,180,150,107,165,2100,2125
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070422,124,0,0,278,128,63,230,230,134,179,1410,1411
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070423,0,0,0,211,72,54,320,340,107,143,1425,1455
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070424,363,0,0,111,56,56,40,40,116,143,1901,1901
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070425,135,0,0,106,67,73,70,60,125,139,37,21
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070426,0,0,0,111,44,52,40,20,94,107,820,841
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070427,0,0,0,222,50,39,270,260,80,103,1418,1524
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070428,0,0,0,244,94,51,310,250,103,143,1514,1312
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070429,0,0,0,317,89,52,240,250,112,148,1644,1646
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070430,0,0,0,322,100,47,240,240,103,165,1411,1455
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070501,0,0,0,250,89,67,330,300,103,125,1522,1500
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070502,0,0,0,211,83,60,80,90,89,103,2312,1725
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070503,0,0,0,206,100,79,110,100,134,165,1144,1145
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070504,41,0,0,161,111,65,110,130,98,116,1038,1136
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070505,0,0,0,239,144,86,100,100,139,170,1636,1636
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070506,206,0,0,161,83,82,100,120,161,206,642,1217
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070507,46,0,0,228,128,46,150,160,80,107,905,1059
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070508,0,0,0,244,133,30,240,240,67,89,1326,1439
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070509,0,0,0,261,106,20,310,310,63,80,1552,1552
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070510,0,0,0,294,106,15,260,260,54,72,1459,1459
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070511,0,0,0,278,139,38,20,20,80,98,1404,1405
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070512,0,0,0,256,94,47,70,70,116,134,1719,1710
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070513,0,0,0,272,117,74,150,150,112,143,1016,1017
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070514,30,0,0,322,183,83,220,210,148,179,1026,1026
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070515,41,0,0,194,83,65,320,320,130,143,1506,1506
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070516,0,0,0,211,28,55,310,320,143,170,1346,1347
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070517,0,0,0,189,33,32,150,100,58,76,1302,1755
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070518,0,0,0,244,61,59,180,160,98,125,952,956
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070519,0,0,0,300,128,68,240,210,112,143,1522,1522
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070520,0,0,0,294,156,42,200,200,80,103,1417,1530
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070521,0,0,0,294,150,54,170,180,107,134,1427,1428
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070522,0,0,0,278,167,75,170,170,125,161,1734,1735
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070523,391,0,0,278,161,65,230,210,183,273,1854,1855
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070524,117,0,0,217,89,48,190,180,130,179,911,911
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070525,0,0,0,206,61,24,120,110,58,72,1608,1745
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070526,28,0,0,233,117,50,250,270,94,107,1637,1639
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070527,0,0,0,222,72,26,310,310,72,80,1,1
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070528,0,0,0,272,122,49,150,160,94,112,1314,1458
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070529,0,0,0,294,194,51,200,230,98,116,1711,1455
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070530,244,0,0,272,172,56,220,230,156,174,1738,1738
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070531,38,0,0,250,144,13,280,200,45,67,1358,1511
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070601,173,0,0,228,139,33,200,190,89,103,1026,1027
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070602,0,0,0,256,161,38,200,200,98,139,1553,1555
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070603,130,0,0,228,144,40,260,260,94,107,1242,1243
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070604,74,0,0,261,139,57,360,340,174,210,1837,1838
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070605,0,0,0,211,117,39,360,10,80,98,1128,1025
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070606,81,0,0,261,117,67,140,130,107,139,1510,1534
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070607,0,0,0,311,172,84,210,210,148,183,1225,1227
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070608,0,0,0,222,100,50,320,310,103,130,321,725
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070609,0,0,0,267,83,30,210,210,72,89,922,922
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070610,0,0,0,272,122,39,180,170,94,107,1025,1026
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070611,0,0,0,289,150,42,140,130,80,98,1058,1059
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070612,0,0,0,306,150,44,120,120,94,107,1456,1500
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070613,0,0,0,306,150,37,120,120,76,98,1626,1627
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070614,0,0,0,311,156,26,180,190,72,89,1630,1631
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070615,0,0,0,322,161,16,210,170,58,72,1432,1627
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070616,107,0,0,311,172,18,180,180,94,103,1621,1622
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070617,0,0,0,311,200,59,200,200,107,134,1714,1715
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070618,112,0,0,278,178,53,200,210,112,143,1403,1440
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070619,0,0,0,256,139,44,310,280,98,116,1120,1052
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070620,0,0,0,306,117,34,260,240,72,94,1046,1330
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070621,300,0,0,300,183,42,10,10,156,192,1555,1557
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070622,323,0,0,200,156,48,100,110,89,107,656,704
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070623,0,0,0,250,156,41,70,70,67,72,1608,1608
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070624,0,0,0,228,161,20,110,110,40,54,1351,1348
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070625,0,0,0,289,200,30,140,100,58,201,1429,1858
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070626,0,0,0,317,217,41,210,210,80,98,1448,1513
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070627,0,0,0,283,172,36,340,350,76,103,1302,1148
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070628,0,0,0,250,139,28,30,20,63,76,1504,1504
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070629,0,0,0,239,150,14,20,310,36,63,1152,1651
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070630,0,0,0,261,106,15,90,50,54,103,850,1117
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070701,0,0,0,267,122,32,100,130,80,103,1534,1401
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070702,0,0,0,278,156,50,170,160,94,116,1426,1428
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070703,0,0,0,306,189,44,200,220,89,112,1709,1713
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070704,0,0,0,311,194,33,340,350,72,89,1612,1609
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070705,0,0,0,317,172,21,310,280,63,80,1656,1424
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070706,0,0,0,317,150,8,290,260,40,58,1557,1600
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070707,0,0,0,344,189,46,210,210,98,134,1532,1533
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070708,0,0,0,350,228,55,220,230,98,130,1616,1637
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070709,10,0,0,311,206,29,20,10,80,98,1056,1055
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070710,0,0,0,294,172,46,310,320,112,148,1632,1632
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070711,0,0,0,256,128,38,310,310,94,125,1337,1338
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070712,0,0,0,272,111,29,310,310,89,112,1229,1230
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070713,0,0,0,267,106,26,220,260,63,89,1454,2358
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070714,0,0,0,306,150,50,340,330,98,130,1321,1328
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070715,0,0,0,289,122,21,310,270,63,80,1351,1421
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070716,351,0,0,317,133,26,270,280,134,183,1937,1937
GHCND:USW00094910,WATERLOO MUNICIPAL AIRPORT IA US,20070717,109,0,0,317,178,38,360,360,201,273,316,318
