STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070101,0,0,0,61,-61,35,160,160,72,80,1559,1559
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070102,0,0,0,72,-39,36,210,210,76,89,1258,1258
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070103,0,0,0,133,-17,74,210,210,148,174,1225,1210
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070104,0,0,0,178,-6,47,190,190,94,112,418,419
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070105,0,0,0,111,0,80,350,350,134,156,1439,1439
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070106,0,0,0,72,-44,46,190,200,89,103,1621,1639
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070107,0,0,0,50,-44,74,350,360,156,197,1134,1116
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070108,0,0,0,144,-50,42,200,50,76,89,2150,50
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070109,0,0,0,111,-39,56,180,180,125,143,2106,2106
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070110,0,0,0,183,0,94,220,220,148,183,1403,1556
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070111,0,0,0,211,28,88,230,250,156,197,1212,1336
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070112,33,0,13,28,-89,76,20,20,103,125,431,432
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070113,3,25,0,-67,-111,44,360,360,80,94,659,444
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070114,0,25,0,-67,-117,61,340,340,98,125,2159,2154
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070115,0,25,0,-44,-139,56,340,340,112,143,157,105
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070116,0,0,0,28,-128,26,160,200,58,80,2323,1931
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070117,0,0,0,50,-67,77,190,190,139,165,1150,1119
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070118,0,0,0,39,-39,55,20,20,134,161,1310,1310
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070119,23,0,8,17,-44,36,190,180,80,94,1301,1310
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070120,173,51,208,0,-33,65,230,230,134,170,2250,2257
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070121,0,178,0,6,-78,63,230,250,112,165,37,9
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070122,0,178,0,-17,-111,38,350,350,72,89,316,317
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070123,0,178,0,17,-128,34,320,320,63,72,1457,1458
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070124,0,152,0,50,-61,37,320,320,63,76,335,343
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070125,0,102,0,67,-67,31,220,210,63,72,2339,2358
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070126,8,76,0,56,-39,58,210,220,103,112,1102,1103
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070127,0,76,0,22,-50,66,20,20,134,156,802,802
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070128,0,0,0,39,-78,44,230,240,98,125,1333,1438
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070129,0,0,0,56,-61,47,30,20,98,116,1557,1444
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070130,0,0,0,11,-72,46,160,170,98,130,2359,2351
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070131,3,0,3,28,-50,93,190,190,156,174,649,649
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070201,13,25,25,-22,-72,25,10,360,94,107,2346,2329
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070202,25,51,38,-17,-117,48,20,20,98,134,217,218
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070203,0,25,0,106,-100,43,230,240,76,94,1654,1650
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070204,0,0,0,67,-56,45,360,360,89,103,429,429
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070205,0,0,0,150,-39,34,190,200,72,89,2301,107
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070206,0,0,0,217,6,43,240,240,89,103,847,847
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070207,0,0,0,67,-22,47,10,10,89,107,1634,1757
GHCND:USW00023047,AMARILLO INTERNATIONAL AIRPORT TX US,20070208,0,0,0,17,-39,37,190,190,67,76,1816,1816
