STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070101,0,0,0,272,194,33,140,310,89,98,1907,1201
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070102,0,0,0,272,194,31,60,50,63,76,939,956
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070103,0,0,0,294,189,30,100,110,58,67,1108,1108
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070104,0,0,0,283,183,40,140,130,76,89,1513,1512
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070105,0,0,0,283,206,45,140,140,107,130,1521,1348
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070106,0,0,0,283,200,28,200,160,63,72,1256,1458
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070107,0,0,0,294,189,33,160,170,72,89,1503,1503
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070108,0,0,0,267,194,31,290,280,67,80,2010,2011
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070109,0,0,0,217,122,40,10,360,76,103,1003,1019
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070110,0,0,0,217,94,43,10,40,80,103,1228,951
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070111,0,0,0,256,122,50,50,70,98,116,1126,1211
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070112,0,0,0,272,150,51,80,90,103,134,1149,1432
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070113,0,0,0,278,161,38,80,70,76,89,1103,1104
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070114,0,0,0,283,167,41,70,90,76,89,2013,1939
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070115,0,0,0,272,144,22,240,90,54,63,1045,1312
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070116,0,0,0,272,189,20,200,200,58,67,1417,1413
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070117,0,0,0,278,189,45,40,40,80,98,1826,1827
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070118,0,0,0,267,178,29,280,280,58,63,1609,1609
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070119,0,0,0,278,189,30,280,290,67,76,1342,1352
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070120,0,0,0,272,167,37,60,50,76,98,2210,2217
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070121,0,0,0,289,156,49,140,140,80,112,1609,1700
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070122,0,0,0,278,194,42,170,180,98,116,1258,1237
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070123,0,0,0,261,189,21,300,290,54,63,1556,1556
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070124,0,0,0,267,172,36,40,40,67,76,2047,2043
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070125,0,0,0,189,111,38,10,350,89,112,1131,1129
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070126,0,0,0,217,83,34,20,360,72,107,802,939
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070127,0,0,0,256,100,37,140,140,72,89,1442,1329
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070128,3,0,0,233,128,48,300,300,107,139,1326,1147
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070129,0,0,0,178,78,27,350,350,80,103,749,750
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070130,3,0,0,183,44,22,40,40,54,63,1103,1103
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070131,0,0,0,239,94,38,30,30,76,98,928,950
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070201,0,0,0,272,133,64,140,160,116,156,1449,1644
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070202,0,0,0,278,189,54,190,180,89,107,16,1316
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070203,0,0,0,200,161,46,30,360,72,98,1131,1913
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070204,3,0,0,200,139,56,30,30,112,139,2117,2117
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070205,84,0,0,156,94,52,20,30,89,116,1100,1124
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070206,13,0,0,217,94,38,50,50,76,89,1544,1540
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070207,0,0,0,250,111,28,270,270,54,58,1606,1535
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070208,0,0,0,250,128,19,270,280,58,72,1804,1719
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070209,0,0,0,250,117,21,270,290,54,58,1804,1740
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070210,0,0,0,228,150,31,280,280,72,80,1556,1556
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070211,0,0,0,256,117,26,40,40,54,63,934,1030
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070212,0,0,0,228,156,39,50,70,89,103,1350,1352
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070213,0,0,0,267,167,38,200,190,80,94,1348,1341
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070214,0,0,0,256,178,38,280,270,63,76,1643,1725
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070215,94,0,0,183,133,21,360,350,54,67,2320,1015
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070216,3,0,0,161,78,39,310,310,76,103,1828,1815
GHCND:USW00012897,NAPLES MUNICIPAL AIRPORT FL US,20070217,0,0,0,156,33,29,280,300,67,89,1344,1652
