STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070101,0,-10,-143,18,200,200,45,58,1026
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070102,0,22,-160,19,170,170,45,54,410
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070103,0,44,-110,19,180,170,45,58,1726
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070104,0,78,-77,28,210,210,98,134,1935
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070105,99,-10,-160,14,280,270,58,72,1539
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070106,5,-93,-238,15,20,20,58,72,2304
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070107,0,-66,-193,19,340,330,54,67,219
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070108,0,-5,-155,22,170,160,54,58,852
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070109,0,39,-132,21,220,220,45,58,1924
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070110,0,56,-127,21,170,190,54,63,645
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070111,0,44,-71,37,220,240,112,157,332
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070112,61,33,-77,19,150,140,98,116,36
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070113,43,-55,-155,17,330,340,54,67,1306
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070114,10,-116,-255,13,20,20,40,45,1427
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070115,0,-127,-277,16,180,40,36,45,1130
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070116,0,-88,-255,18,180,220,40,45,1714
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070117,0,-66,-210,-9999,200,200,45,54,1937
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070118,0,-49,-227,26,180,210,45,58,719
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070119,0,-21,-216,25,160,180,45,54,207
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070120,5,-27,-155,17,170,330,45,45,1223
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070121,15,-55,-132,16,210,230,36,54,2056
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070122,0,-38,-205,22,180,190,40,45,2359
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070123,0,-5,-188,24,210,220,54,54,2016
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070124,0,17,-160,21,190,180,40,45,1938
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070125,0,33,-143,24,160,170,45,54,611
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070126,0,33,-149,22,220,230,54,58,2305
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070127,0,6,-143,20,320,310,45,63,1611
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070128,0,0,-177,25,210,220,54,58,2124
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070129,0,6,-166,26,210,20,54,63,1512
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070130,0,11,-132,21,330,330,40,54,1511
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070131,28,-49,-193,16,330,330,58,67,1901
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070201,0,-93,-238,21,330,330,72,94,1936
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070202,0,-93,-210,15,40,40,54,67,1731
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070203,0,-10,-99,43,350,330,89,116,35
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070204,0,39,-143,23,200,200,58,63,59
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070205,0,61,-110,22,200,190,45,63,2027
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070206,0,100,-66,22,210,200,54,54,1854
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070207,0,78,-77,23,160,190,45,54,416
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070208,0,72,-88,25,240,230,76,98,1229
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070209,0,50,-66,21,350,350,58,67,1450
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070210,0,44,-38,16,200,140,36,40,929
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070211,3,67,-16,11,330,320,54,58,1506
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070212,30,28,-49,15,330,320,58,89,1726
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070213,15,17,-88,21,340,220,40,63,733
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070214,10,-16,-88,30,320,300,89,125,1602
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070215,0,-10,-82,28,330,340,76,94,1421
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070216,20,22,-71,44,320,330,134,183,1418
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070217,0,28,-116,29,340,350,67,107,24
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070218,0,72,-143,18,20,20,54,72,1541
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070219,30,33,-38,33,160,170,103,130,1246
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070220,15,17,-88,15,210,190,45,54,2257
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070221,0,89,-105,30,350,320,67,76,1556
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070222,0,111,-110,26,180,180,89,112,1621
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070223,5,39,-55,35,280,170,94,130,1135
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070224,10,-32,-138,38,320,320,94,139,127
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070225,3,-21,-143,16,360,190,54,67,2354
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070226,0,-10,-116,18,360,330,76,94,1347
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070227,48,39,-60,20,210,190,76,98,1234
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070228,74,-55,-171,16,350,340,72,94,1531
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070301,3,-77,-177,34,330,320,112,134,1527
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070302,0,-93,-155,28,330,330,81,107,1405
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070303,0,-49,-216,26,320,310,54,63,1412
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070304,0,22,-205,23,200,190,45,54,232
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070305,0,78,-127,22,220,220,54,54,2157
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070306,0,78,-93,29,160,150,81,94,2153
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20070307,0,94,-38,26,130,130,58,67,415
