STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070101,51,0,0,156,33,52,330,340,112,134,2232,2239
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070102,0,0,0,144,17,37,340,330,89,107,2354,2359
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070103,0,0,0,128,17,38,80,80,67,76,1034,1035
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070104,5,0,0,183,100,37,90,130,58,72,1849,1003
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070105,178,0,0,200,122,38,260,230,134,165,1111,1114
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070106,0,0,0,206,94,27,260,270,76,94,1301,1256
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070107,361,0,0,200,111,32,280,280,116,139,1917,1917
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070108,33,0,0,167,28,61,310,310,107,130,1422,1447
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070109,0,0,0,111,17,60,300,290,130,161,1359,1454
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070110,0,0,0,100,-6,38,330,330,76,98,300,306
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070111,0,0,0,122,-6,40,120,110,67,89,1132,1157
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070112,0,0,0,183,67,31,70,90,54,63,236,730
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070113,0,0,0,200,78,27,180,20,58,76,516,1402
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,20070114,0,0,0,211,117,23,200,220,67,89,1324,1516
