STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070101,0,0,0,139,-11,32,360,10,76,94,924,940
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070102,0,0,0,122,-17,27,20,30,58,67,1553,1555
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070103,221,0,0,122,78,26,210,220,76,98,2031,2032
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070104,97,0,0,178,56,29,190,220,76,94,1350,1410
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070105,0,0,0,256,78,35,180,180,72,89,1440,1516
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070106,8,0,0,122,56,55,10,10,112,139,606,626
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070107,0,0,0,161,61,43,340,360,116,139,1623,1625
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070108,0,0,0,172,-33,21,180,180,67,76,1554,1549
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070109,0,0,0,178,-11,26,30,30,80,103,1211,1251
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070110,0,0,0,200,-22,41,170,180,103,139,1553,1536
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070111,0,0,0,206,117,50,170,180,98,125,1237,1354
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070112,5,0,0,228,161,51,160,170,94,116,1226,1227
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070113,1087,0,0,206,28,55,10,10,125,134,2213,550
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070114,79,0,0,56,22,52,10,10,103,112,2224,2219
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070115,97,0,0,22,-11,71,340,360,107,143,123,947
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070116,109,0,3,-6,-22,55,360,10,94,125,631,256
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070117,33,0,0,0,-17,23,20,20,58,67,551,618
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070118,3,0,0,56,0,10,360,10,54,63,2351,2358
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070119,5,0,0,72,39,59,10,20,89,107,1908,1909
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070120,51,0,0,61,22,28,20,20,67,76,845,846
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070121,0,0,0,189,-6,12,10,10,67,80,2353,2355
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070122,0,0,0,89,33,64,360,10,112,134,738,813
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070123,46,0,0,67,39,49,20,20,94,103,1109,957
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070124,104,0,0,94,50,24,340,340,54,63,1621,1622
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070125,0,0,0,167,17,22,40,330,45,58,959,1203
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070126,0,0,0,172,-22,19,150,150,63,76,1522,1523
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070127,0,0,0,206,72,41,350,330,107,134,2018,2017
GHCND:USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT TX US,20070128,0,0,0,111,-22,48,10,20,103,125,958,1000
