STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070101,8,0,0,178,17,51,340,340,125,148,1705,1639
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070102,0,0,0,128,-17,49,330,320,143,179,344,345
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070103,0,0,0,128,-50,21,190,200,67,76,1655,1423
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070104,15,0,0,172,6,28,200,190,72,89,1616,1559
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070105,218,0,0,172,94,26,180,180,80,107,1721,1722
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070106,0,0,0,189,61,21,330,320,54,63,1911,1920
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070107,485,0,0,106,33,15,190,190,63,72,1254,1251
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070108,41,0,0,122,-17,51,340,350,107,134,1153,1404
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070109,10,0,23,56,-50,43,330,330,112,148,2353,2323
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070110,0,0,0,39,-50,39,320,310,107,148,7,115
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070111,0,0,0,72,-61,29,140,130,67,80,1421,1422
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070112,0,0,0,133,44,24,190,170,58,76,1322,1352
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070113,0,0,0,183,67,23,180,190,63,76,1344,1344
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070114,0,0,0,189,39,22,180,190,67,72,1623,1510
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070115,0,0,0,189,111,49,200,200,89,116,1450,1450
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070116,0,0,0,117,-22,71,330,330,130,161,2036,2103
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070117,0,0,0,28,-39,37,330,340,98,116,46,46
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070118,3,0,0,28,-28,17,330,330,54,63,2329,2326
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070119,0,0,0,61,-11,67,350,350,116,148,2154,2149
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070120,0,0,0,67,-28,50,330,330,107,139,925,551
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070121,71,0,0,33,0,29,170,140,67,80,1237,2136
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070122,0,0,0,67,11,43,340,340,89,107,1514,1514
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070123,0,0,0,33,-11,51,340,360,76,112,254,416
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070124,0,0,0,72,-22,47,340,350,89,103,423,420
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070125,0,0,0,33,-39,72,330,320,125,148,1631,1624
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070126,0,0,0,94,-67,31,330,330,98,134,37,101
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070127,0,0,0,156,-61,30,220,220,94,116,1653,1653
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070128,0,0,0,67,-100,63,290,310,116,174,2127,2128
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070129,0,0,0,11,-128,38,340,360,112,143,319,2359
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070130,0,0,0,89,-72,30,310,310,107,156,1341,1341
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070131,0,0,0,33,-100,42,350,360,94,130,546,543
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070201,30,0,0,17,-28,28,190,190,76,98,345,346
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070202,0,0,0,78,-39,33,340,340,103,139,2043,1950
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070203,0,0,0,33,-72,28,310,270,94,148,1154,1427
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070204,0,0,0,44,-67,33,320,310,98,130,1514,1632
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070205,0,0,0,0,-83,50,20,360,89,107,1500,1401
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070206,0,0,0,67,-89,37,190,210,67,89,2238,1638
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070207,0,0,0,111,-17,64,340,320,107,148,423,2053
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070208,0,0,0,67,-28,59,330,340,107,130,551,407
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070209,0,0,0,28,-50,61,340,330,98,125,512,512
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070210,0,0,0,44,-67,55,330,360,94,116,1851,934
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070211,0,0,0,100,-89,18,160,150,54,72,1338,1650
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070212,0,0,0,178,-50,22,160,190,67,89,1448,1652
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070213,79,0,0,94,28,24,180,140,63,76,958,1632
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070214,3,0,0,50,-67,71,340,340,139,174,1246,1551
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070215,0,0,0,11,-83,69,340,340,125,156,126,127
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070216,0,0,0,11,-89,53,340,360,89,116,428,1509
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070217,0,0,0,50,-100,25,210,210,80,98,1441,1349
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070218,0,0,25,39,-50,78,330,340,148,183,2012,2104
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070219,0,0,0,117,-67,30,350,360,80,112,2356,2356
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070220,0,0,0,133,-28,27,190,200,67,94,2203,2132
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070221,51,0,0,183,44,21,360,10,94,116,1158,1158
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070222,0,0,0,178,28,81,320,330,148,206,1453,1719
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070223,0,0,0,111,6,73,340,330,148,179,12,359
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070224,0,0,0,133,-50,30,150,150,63,89,1454,1751
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070225,206,0,0,111,22,37,180,200,72,98,1639,1652
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070226,0,0,0,144,6,33,330,330,98,116,1754,1758
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070227,0,0,0,156,-17,25,10,10,72,94,1714,1714
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070228,0,0,0,167,-33,22,150,160,63,94,1650,1633
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070301,605,0,0,128,39,24,160,110,54,67,1249,1220
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070302,5,0,0,139,33,46,340,280,103,148,1550,534
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070303,0,0,0,144,-6,46,340,280,107,148,1610,2258
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070304,0,0,0,33,-39,61,340,330,94,116,945,1440
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070305,0,0,0,139,-22,59,330,10,98,134,135,1712
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070306,0,0,0,144,22,48,330,320,139,165,247,244
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070307,0,0,0,200,-6,25,280,300,94,130,1653,1203
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070308,0,0,0,183,-11,13,170,180,67,94,1552,1429
GHCND:USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,20070309,0,0,0,139,11,26,120,130,67,94,1639,1639
