STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070101,0,-9999,67,-10,54,220,230,103,130,320
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070102,0,-9999,61,-32,33,220,220,72,94,1141
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070103,0,-9999,94,-5,57,200,210,81,107,2338
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070104,371,-9999,89,28,63,190,190,98,125,2226
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070105,20,-9999,100,72,23,190,230,67,81,158
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070106,3,-9999,78,-10,41,270,270,94,116,1326
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070107,30,-9999,22,-27,15,220,160,45,72,1122
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070108,8,-9999,17,-10,56,260,270,98,143,1059
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070109,0,-9999,0,-38,54,300,290,107,143,1818
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070110,0,-9999,-5,-43,44,300,300,89,116,0
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070111,0,-9999,67,-5,72,210,220,116,148,2157
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070112,28,-9999,94,39,40,190,180,89,112,2356
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070113,3,-9999,39,-16,28,350,20,67,81,548
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070114,74,-9999,-5,-10,24,90,80,58,76,2256
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070115,109,-9999,167,-49,36,320,100,67,81,120
GHCND:USW00094815,KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT MI US,20070116,0,-9999,-38,-93,25,340,40,58,67,1108
