STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070101,150,25,0,28,-133,17,150,150,45,63,740,751
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070102,3,0,0,39,-56,39,320,320,143,192,1112,1110
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070103,0,0,0,72,-56,18,200,190,63,80,1435,1126
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070104,0,0,0,94,-56,16,180,180,58,67,1423,1424
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070105,10,0,0,89,-33,8,190,190,40,54,951,949
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070106,191,0,0,144,67,38,260,260,107,143,1806,1804
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070107,0,0,0,72,-28,32,290,270,89,148,953,1220
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070108,180,25,25,50,-6,28,130,140,80,103,1025,1008
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070109,0,0,0,44,-39,30,250,230,76,112,1336,1017
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070110,0,0,0,-11,-117,43,320,330,112,156,2215,1305
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070111,0,0,0,-28,-133,31,300,300,80,112,151,155
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070112,0,0,0,33,-17,27,220,210,63,80,432,433
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070113,0,0,0,44,-94,38,350,350,94,112,1329,1322
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070114,0,0,0,-44,-106,5,40,40,36,40,18,13
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070115,142,0,127,-50,-94,39,20,20,63,80,1841,1842
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070116,8,127,0,-67,-183,52,320,320,107,139,832,839
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070117,0,127,0,-156,-278,44,320,320,98,125,1052,1052
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070118,0,102,0,-22,-278,25,200,210,94,125,1204,1204
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070119,94,178,76,-6,-33,44,320,330,107,130,1521,1518
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070120,0,178,0,-33,-139,62,300,310,112,197,2327,1629
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070121,0,178,0,-78,-161,53,310,300,116,170,214,215
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070122,0,178,0,-72,-183,4,300,300,40,54,124,107
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070123,0,152,0,-33,-122,12,360,360,36,45,1025,1046
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070124,0,152,0,17,-178,18,330,340,94,107,1820,1821
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070125,0,152,0,-89,-244,27,310,320,72,98,1920,1905
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070126,0,152,0,-156,-211,57,330,320,112,143,1152,1340
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070127,0,152,0,-67,-228,18,300,300,63,80,2355,2355
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070128,0,127,0,-33,-200,6,350,350,45,54,2301,2304
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070129,0,127,0,-67,-194,29,330,330,94,107,1513,1513
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070130,0,127,0,-111,-244,20,300,300,67,94,1259,1259
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070131,0,127,0,-61,-250,7,280,280,40,54,2009,2009
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070201,0,102,0,-22,-228,7,180,180,58,72,1559,1600
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070202,18,102,20,11,-167,15,10,10,36,40,1151,1151
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070203,41,178,46,-6,-150,39,300,280,107,156,1147,920
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070204,0,178,0,-56,-194,29,280,250,80,116,1031,1142
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070205,0,178,0,-122,-194,41,260,270,130,197,1129,1224
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070206,0,178,0,-89,-194,31,270,290,76,112,1442,1327
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070207,0,178,0,-83,-267,19,290,310,76,125,1456,1545
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070208,0,178,0,-89,-228,20,320,330,94,116,1225,1248
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070209,0,178,0,-94,-239,36,300,290,94,130,1540,1451
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070210,0,178,0,-50,-206,18,320,280,63,89,2246,1343
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070211,0,152,0,-50,-211,19,290,280,63,107,1350,1351
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070212,0,127,0,-17,-167,37,300,320,98,139,2036,1525
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070213,0,127,0,-83,-211,38,320,330,94,112,1328,1329
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070214,371,127,145,-11,-144,48,30,30,103,134,1822,1823
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070215,36,203,25,-6,-150,71,270,300,112,174,449,1902
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070216,0,254,0,-72,-150,46,270,290,89,125,1130,1549
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070217,0,254,0,6,-128,38,280,270,89,139,1316,1233
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070218,0,254,0,0,-161,16,320,320,107,139,2203,2319
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070219,0,254,0,-78,-206,71,330,330,143,170,1344,1325
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070220,0,254,0,-83,-206,7,320,320,36,45,2139,2140
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070221,0,254,0,0,-139,31,310,320,94,116,2051,2052
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070222,0,254,0,-17,-183,13,290,320,45,67,1044,1045
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070223,0,254,0,-67,-122,62,330,330,130,156,1701,1702
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070224,0,254,0,6,-122,78,330,330,139,165,1249,1249
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070225,0,254,0,39,-72,45,330,330,76,94,2135,2136
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070226,0,254,0,22,-133,16,30,20,58,67,1029,1031
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070227,0,229,0,39,-106,5,220,220,27,36,2220,2222
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070228,0,229,0,56,-50,22,330,330,80,98,1934,1935
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070301,0,178,0,11,-128,19,330,320,63,72,1127,1100
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070302,188,203,168,11,-78,52,320,80,116,161,1612,2321
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070303,0,330,0,67,-106,24,340,340,107,134,10,17
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070304,0,279,0,39,-33,27,280,310,76,107,1138,1204
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070305,8,254,13,0,-78,36,300,310,116,174,2341,2343
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070306,0,254,0,-78,-211,86,320,320,156,197,1255,1211
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070307,0,254,0,-100,-211,37,310,310,103,174,26,122
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070308,0,254,0,-133,-239,51,330,320,125,148,1447,1356
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070309,0,254,0,-17,-239,22,290,300,58,76,848,816
GHCND:USW00014606,BANGOR INTERNATIONAL AIRPORT ME US,20070310,28,229,0,44,-72,43,170,170,94,125,1441,1439
