STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070101,71,-9999,-9999,100,22,73,140,160,148,201,1051
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070102,236,-9999,-9999,122,72,75,170,180,170,215,913
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070103,86,-9999,-9999,83,50,32,190,230,67,103,1619
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070104,15,-9999,-9999,56,0,33,180,290,72,107,1402
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070105,140,-9999,-9999,78,11,92,160,160,161,197,2109
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070106,36,-9999,-9999,61,11,39,160,300,98,134,12
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070107,112,-9999,-9999,100,44,62,170,180,125,165,858
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070108,3,-9999,-9999,89,11,32,160,160,94,116,1914
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070109,38,-9999,-9999,106,0,83,170,180,192,241,1245
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070110,10,-9999,-9999,28,-32,43,40,40,116,157,2250
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070111,0,-9999,-9999,-32,-82,87,40,30,170,215,924
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070112,0,-9999,-9999,-38,-116,20,30,20,54,54,17
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070113,0,-9999,-9999,-21,-93,19,30,30,45,58,1035
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070114,20,-9999,-9999,-10,-121,8,360,50,31,31,1952
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070115,10,-9999,-9999,17,-93,12,40,40,36,40,2340
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070116,69,-9999,-9999,33,-10,21,140,140,89,112,411
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070117,20,-9999,-9999,28,11,24,170,170,58,67,1637
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070118,102,-9999,-9999,72,11,34,160,160,98,125,1203
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070119,71,-9999,-9999,89,17,47,140,140,94,125,143
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070120,0,-9999,-9999,72,0,21,180,180,63,76,2359
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070121,8,-9999,-9999,67,6,22,140,140,58,67,1419
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070122,142,-9999,-9999,94,28,40,170,170,81,107,1045
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070123,38,-9999,-9999,122,56,40,160,170,98,134,326
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070124,0,-9999,-9999,94,6,14,190,190,45,58,2051
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070125,3,-9999,-9999,61,-16,16,30,30,45,63,2355
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070126,0,-9999,-9999,89,-10,18,360,360,45,72,2249
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070127,0,-9999,-9999,100,-32,16,40,40,54,67,1119
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070128,0,-9999,-9999,78,-43,13,20,10,31,45,1258
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070129,0,-9999,-9999,44,-43,5,340,30,36,40,1436
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070130,3,-9999,-9999,67,-38,11,30,20,67,89,335
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070131,0,-9999,-9999,89,-21,12,320,320,40,54,1944
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070201,0,-9999,-9999,117,-21,47,50,40,98,125,1224
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070202,0,-9999,-9999,67,-43,10,20,40,40,45,1348
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070203,18,-9999,-9999,39,-38,19,30,40,45,58,1509
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070204,84,-9999,-9999,61,22,27,50,50,40,54,1319
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070205,0,-9999,-9999,100,22,19,290,280,40,54,1608
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070206,3,-9999,-9999,78,44,17,30,40,45,58,2309
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070207,18,-9999,-9999,89,61,20,30,30,54,67,1113
GHCND:USW00024217,BELLINGHAM INTERNATIONAL AIRPORT WA US,20070208,79,-9999,-9999,122,56,33,170,170,81,98,234
