STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070101,0,0,0,106,44,42,280,290,72,94,1101,901
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070102,0,0,0,111,-6,31,50,40,72,89,824,833
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070103,0,0,0,144,-22,27,180,180,72,89,1451,1454
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070104,109,0,0,178,39,47,170,180,103,116,1905,1906
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070105,122,0,0,206,106,38,190,210,80,112,1139,1140
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070106,0,0,0,156,94,23,20,260,45,63,856,1945
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070107,163,0,0,122,83,33,290,270,103,139,941,941
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070108,13,0,0,94,28,35,300,260,80,116,201,212
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070109,0,0,0,94,22,43,300,280,107,148,931,941
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070110,0,0,0,83,-39,21,170,110,40,58,1507,2344
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070111,0,0,0,144,-11,56,170,160,98,125,941,1154
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070112,0,0,0,167,133,43,180,180,72,98,413,635
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070113,0,0,0,217,150,42,190,210,72,103,533,2355
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070114,8,0,0,211,150,41,170,180,94,112,2309,2309
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070115,203,0,0,200,33,45,200,200,94,139,228,229
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070116,0,0,0,33,-39,48,360,360,72,89,1949,1950
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070117,0,0,0,39,-39,32,70,60,67,80,400,847
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070118,0,0,0,72,11,38,270,270,72,94,2248,2231
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070119,0,0,0,56,-11,33,300,310,76,94,116,116
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070120,0,0,0,61,-22,22,90,100,54,58,2353,2315
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070121,226,0,0,72,22,26,100,170,63,72,1359,329
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070122,0,0,0,72,11,36,300,330,63,76,1624,901
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070123,0,0,0,44,-33,24,330,320,45,63,42,256
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070124,0,0,0,83,-44,22,310,310,45,58,917,948
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070125,0,0,0,50,-17,34,340,340,76,98,1008,1009
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070126,0,0,0,106,-67,30,220,210,63,76,1556,1556
GHCND:USW00013897,NASHVILLE INTERNATIONAL AIRPORT TN US,20070127,0,0,0,139,0,36,240,240,80,107,1205,1205
