STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070101,218,-9999,0,89,6,41,130,130,89,103,810,552
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070102,0,-9999,0,72,17,62,300,300,130,170,1026,1047
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070103,0,-9999,0,106,17,62,230,230,116,156,1355,1445
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070104,0,-9999,0,117,39,43,230,210,72,94,1537,108
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070105,3,-9999,0,172,89,54,220,230,125,161,1214,1215
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070106,18,-9999,0,206,106,67,270,280,130,174,2013,2342
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070107,0,-9999,0,106,61,47,280,280,116,165,109,119
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070108,145,-9999,0,117,44,57,280,280,139,183,2204,2205
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070109,0,-9999,0,61,11,65,250,240,107,148,1401,1455
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070110,0,-9999,0,22,-44,64,280,300,112,156,1723,1815
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070111,0,-9999,0,17,-61,51,220,220,98,139,2300,2306
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070112,0,-9999,0,100,17,65,240,230,116,148,1114,1114
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070113,15,-9999,0,106,33,47,240,230,89,107,511,512
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070114,33,-9999,0,44,-6,37,360,90,67,80,241,1222
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070115,163,-9999,0,50,-11,40,70,70,89,107,952,957
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070116,15,-9999,0,50,-78,63,330,330,130,165,2338,2240
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070117,0,-9999,0,-72,-133,57,320,330,116,156,0,46
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070118,30,-9999,0,39,-106,32,200,190,89,107,1331,1331
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070119,3,-9999,0,44,6,59,280,250,116,156,2243,2228
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20070120,0,-9999,0,6,-89,98,300,310,148,192,1647,1603
