STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070101,0,-9999,-9999,144,33,38,10,10,72,80,1306,1307
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070102,0,-9999,-9999,133,11,23,70,90,63,72,911,921
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070103,5,-9999,-9999,128,39,36,100,100,80,98,2323,2323
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070104,653,-9999,-9999,178,117,43,120,120,116,143,551,552
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070105,0,-9999,-9999,200,94,29,230,230,89,107,1144,1146
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070106,10,-9999,-9999,217,150,34,80,70,63,76,953,2049
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070107,48,-9999,-9999,183,83,44,310,300,80,94,427,428
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070108,0,-9999,-9999,167,28,22,270,310,45,58,1415,1158
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070109,0,-9999,-9999,206,33,33,40,30,76,94,1407,1226
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070110,0,-9999,-9999,161,50,40,130,130,80,94,1629,1557
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070111,0,-9999,-9999,222,106,59,130,140,94,103,1323,1022
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070112,0,-9999,-9999,250,167,52,150,160,80,98,38,39
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070113,0,-9999,-9999,250,189,68,140,150,98,116,2128,2145
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070114,3,-9999,-9999,250,200,71,170,170,107,139,1204,1240
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070115,109,-9999,-9999,211,28,74,340,340,107,139,1931,2028
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070116,8,-9999,-9999,33,0,73,10,350,107,134,140,549
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070117,3,-9999,-9999,39,0,43,30,20,94,112,740,738
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070118,71,-9999,-9999,72,33,32,20,20,54,67,2348,2351
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070119,15,-9999,-9999,106,61,54,50,60,80,103,2302,2316
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070120,175,-9999,-9999,150,78,62,100,100,103,125,1146,1147
GHCND:USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT TX US,20070121,71,-9999,-9999,150,94,20,320,320,72,89,116,138
