STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070101,0,-9999,-9999,194,78,34,10,20,94,116,1212,1239
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070102,0,-9999,-9999,211,83,31,60,60,67,89,1105,1629
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070103,69,-9999,-9999,211,106,34,280,330,112,143,2233,2101
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070104,23,-9999,-9999,178,111,30,300,300,58,72,527,528
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070105,0,-9999,-9999,261,128,45,160,160,94,112,1416,1416
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070106,0,-9999,-9999,267,117,49,320,320,103,130,1934,1949
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070107,0,-9999,-9999,194,111,46,320,330,80,112,129,129
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070108,0,-9999,-9999,194,61,26,20,40,58,76,1256,1257
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070109,0,-9999,-9999,211,61,30,40,30,76,103,1259,1355
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070110,0,-9999,-9999,233,83,39,130,130,80,103,1714,1716
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070111,0,-9999,-9999,250,167,52,140,140,112,134,1356,1425
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070112,5,-9999,-9999,267,194,62,150,150,116,139,1301,1302
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070113,69,-9999,-9999,250,217,63,150,150,94,107,1251,1321
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070114,0,-9999,-9999,261,217,69,160,150,130,161,1417,1440
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070115,89,-9999,-9999,228,28,63,340,340,116,156,1049,1049
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070116,8,-9999,-9999,44,17,72,330,340,107,139,1117,1117
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070117,3,-9999,-9999,56,17,63,320,320,103,125,658,659
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070118,5,-9999,-9999,83,39,57,330,330,80,103,457,1634
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070119,20,-9999,-9999,106,78,60,340,340,94,116,1105,1213
GHCND:USW00012919,BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT TX US,20070120,8,-9999,-9999,133,78,29,300,310,72,98,3,6
