STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070101,0,-9999,-9999,-22,-211,7,20,360,40,45,2245,2209
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070102,0,-9999,-9999,72,-61,38,220,240,98,156,2318,2347
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070103,5,-9999,-9999,72,-6,43,210,210,130,174,34,101
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070104,3,-9999,-9999,-6,-144,24,300,290,125,165,57,58
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070105,3,-9999,-9999,-44,-133,26,310,250,80,107,1854,1243
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070106,0,-9999,-9999,-22,-94,50,310,320,125,179,1101,1102
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070107,0,-9999,-9999,17,-117,38,260,260,116,170,1305,1306
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070108,0,-9999,-9999,22,-50,38,280,280,107,139,450,420
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070109,0,-9999,-9999,78,-56,20,260,260,67,94,438,439
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070110,3,-9999,-9999,50,-133,62,230,210,116,192,440,541
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070111,0,-9999,-9999,-133,-289,38,10,20,98,130,15,344
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070112,0,-9999,-9999,-178,-328,13,180,180,36,40,1935,1936
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070113,0,-9999,-9999,-150,-300,8,160,150,36,40,2036,2042
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070114,0,-9999,-9999,-111,-250,9,150,150,27,31,2125,2216
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070115,0,-9999,-9999,-94,-261,11,130,100,36,54,2105,2118
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070116,0,-9999,-9999,-44,-228,12,140,140,31,36,2250,2250
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070117,0,-9999,-9999,-50,-206,20,310,300,80,112,1450,1450
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070118,0,-9999,-9999,-39,-172,13,320,320,45,58,1429,1430
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070119,0,-9999,-9999,-11,-83,9,330,320,40,54,1244,1245
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070120,0,-9999,-9999,-6,-89,29,310,320,107,139,1328,1329
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070121,0,-9999,-9999,-22,-89,16,320,310,45,54,1606,1534
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070122,0,-9999,-9999,39,-83,19,300,300,67,80,1451,1452
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070123,0,-9999,-9999,50,-67,15,360,10,40,45,1657,512
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070124,0,-9999,-9999,33,-111,8,190,190,31,36,2017,2018
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070125,0,-9999,-9999,50,-144,9,150,120,36,36,1925,704
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070126,0,-9999,-9999,33,-161,19,10,10,98,130,2147,2157
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070127,0,-9999,-9999,-56,-194,15,10,10,76,94,239,241
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070128,0,-9999,-9999,-22,-178,13,160,160,40,40,2043,2040
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070129,0,-9999,-9999,-50,-206,3,170,160,27,31,2258,2304
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070130,3,-9999,-9999,-33,-183,8,330,330,31,40,2158,2306
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070131,0,-9999,-9999,-44,-139,17,20,330,58,80,37,120
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070201,0,-9999,-9999,-94,-228,26,10,10,98,139,1053,1108
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070202,0,-9999,-9999,-50,-244,16,340,340,45,58,1438,1440
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070203,0,-9999,-9999,28,-200,16,340,340,45,58,1731,1733
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070204,0,-9999,-9999,67,-44,17,40,40,54,63,2123,2124
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070205,0,-9999,-9999,133,-6,18,330,330,63,80,822,803
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070206,0,-9999,-9999,83,-44,10,180,110,36,45,1739,2001
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070207,0,-9999,-9999,67,-78,9,210,200,63,80,2100,2100
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070208,3,-9999,-9999,56,-6,12,160,150,54,63,253,254
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070209,18,-9999,-9999,33,-11,7,10,20,36,40,1852,1900
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070210,0,-9999,-9999,44,-72,13,20,160,31,36,1846,1542
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070211,13,-9999,-9999,44,-17,7,140,140,40,45,1812,1812
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070212,97,-9999,-9999,6,-83,17,170,280,58,76,253,1743
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070213,0,-9999,-9999,-28,-122,4,320,320,36,45,1642,1643
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070214,13,-9999,-9999,6,-111,9,300,290,45,63,1754,1752
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070215,0,-9999,-9999,50,-33,30,280,280,94,139,2359,2357
GHCND:USW00024135,BUTTE BERT MOONEY AIRPORT MT US,20070216,0,-9999,-9999,44,-50,67,280,270,148,197,139,141
