STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070101,0,-9999,-9999,-11,-172,7,150,140,40,40,1914,1738
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070102,0,-9999,-9999,100,-72,36,220,220,112,143,2230,2231
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070103,0,-9999,-9999,89,17,50,230,220,112,143,1626,1627
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070104,10,-9999,-9999,50,-72,36,290,290,112,130,59,59
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070105,3,-9999,-9999,-11,-100,32,260,280,116,130,1243,1202
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070106,0,-9999,-9999,17,-78,73,290,260,174,210,1341,1331
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070107,0,-9999,-9999,67,-122,41,240,230,107,134,2258,2258
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070108,0,-9999,-9999,67,-22,47,260,260,125,148,614,615
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070109,0,-9999,-9999,117,-11,27,210,220,72,89,1628,1626
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070110,0,-9999,-9999,83,-111,60,210,200,130,156,433,433
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070111,0,-9999,-9999,-106,-256,38,340,350,125,148,29,34
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070112,0,-9999,-9999,-172,-283,23,150,160,45,54,757,758
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070113,0,-9999,-9999,-139,-283,18,130,130,45,45,101,57
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070114,0,-9999,-9999,-106,-228,18,130,140,40,45,1828,2128
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070115,0,-9999,-9999,-72,-239,13,140,150,36,40,2252,2254
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070116,0,-9999,-9999,-33,-194,13,150,140,40,45,2155,2157
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070117,0,-9999,-9999,-33,-178,23,300,300,89,107,1833,1834
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070118,0,-9999,-9999,-6,-194,16,170,170,45,54,156,157
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070119,0,-9999,-9999,44,-72,16,160,160,45,45,1907,1857
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070120,18,-9999,-9999,-6,-67,19,320,320,54,63,2147,2148
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070121,0,-9999,-9999,-11,-117,24,160,140,45,54,1733,1955
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070122,0,-9999,-9999,33,-72,16,340,340,45,54,2021,2023
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070123,0,-9999,-9999,61,-39,12,150,130,40,45,649,703
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070124,0,-9999,-9999,106,-56,20,140,140,45,45,2156,2155
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070125,0,-9999,-9999,94,-89,19,170,130,40,45,2055,2135
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070126,0,-9999,-9999,100,-83,21,220,200,63,72,2136,2141
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070127,0,-9999,-9999,-6,-117,22,230,230,54,63,631,633
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070128,0,-9999,-9999,33,-117,19,150,150,40,45,2,2007
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070129,0,-9999,-9999,6,-133,17,190,180,45,45,2054,2051
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070130,5,-9999,-9999,11,-150,13,100,100,31,36,2148,2149
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070131,0,-9999,-9999,-11,-83,26,300,290,58,67,118,119
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070201,3,-9999,-9999,-39,-228,43,10,10,130,161,1015,1016
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070202,0,-9999,-9999,-17,-228,9,50,40,36,40,1656,1657
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070203,0,-9999,-9999,78,-144,15,170,170,45,45,2029,2029
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070204,5,-9999,-9999,128,-106,19,60,230,45,63,1514,2236
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070205,0,-9999,-9999,183,39,18,220,210,80,98,1445,1446
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070206,0,-9999,-9999,111,17,19,260,260,58,63,755,755
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070207,0,-9999,-9999,22,-39,10,250,240,36,36,2304,2246
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070208,38,-9999,-9999,6,-33,14,240,240,31,36,400,401
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070209,30,-9999,-9999,-6,-50,8,280,280,40,45,1929,1930
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070210,0,-9999,-9999,11,-106,6,130,130,36,40,1059,1102
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070211,10,-9999,-9999,78,-33,21,250,250,67,76,2243,2236
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070212,28,-9999,-9999,-33,-106,27,220,220,67,76,124,233
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070213,3,-9999,-9999,-56,-133,4,160,240,27,31,2200,2251
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070214,20,-9999,-9999,-50,-111,12,210,200,45,54,548,549
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070215,10,-9999,-9999,83,-78,26,240,240,107,143,2332,2333
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070216,0,-9999,-9999,78,0,59,250,270,161,192,220,147
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070217,0,-9999,-9999,100,-94,17,140,120,58,58,2227,341
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070218,23,-9999,-9999,117,-72,28,310,310,116,134,1554,1554
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070219,0,-9999,-9999,50,-100,35,220,260,80,107,1413,1310
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070220,10,-9999,-9999,94,0,64,280,270,148,174,2053,2053
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070221,0,-9999,-9999,44,-44,29,260,260,98,112,7,7
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070222,0,-9999,-9999,78,-56,13,170,150,63,72,2333,2349
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070223,46,-9999,-9999,72,-117,33,270,270,116,134,353,353
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070224,0,-9999,-9999,17,-167,12,120,150,36,40,1926,2151
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070225,0,-9999,-9999,61,-122,20,180,220,40,54,1514,2342
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070226,3,-9999,-9999,33,-100,23,130,130,45,54,2352,2358
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070227,10,-9999,-9999,-6,-117,19,270,300,45,58,1209,1250
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070228,0,-9999,-9999,22,-161,12,140,140,40,45,301,309
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070301,18,-9999,-9999,0,-161,25,260,260,76,94,1605,1606
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070302,0,-9999,-9999,-11,-150,27,130,140,58,63,2300,2308
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070303,0,-9999,-9999,39,-172,11,130,120,40,45,57,414
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070304,0,-9999,-9999,78,-78,14,180,190,40,45,556,601
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070305,0,-9999,-9999,89,-72,13,170,170,45,45,2233,2233
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070306,0,-9999,-9999,128,-22,21,160,160,54,54,2000,1959
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070307,0,-9999,-9999,167,-39,25,210,220,76,94,1635,1636
GHCND:USW00024132,BOZEMAN GALLATIN FIELD MT US,20070308,8,-9999,-9999,122,-6,29,280,280,107,125,723,723
