STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070101,8,0,0,211,67,51,190,170,103,156,106,107
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070102,0,0,0,139,11,23,30,40,67,94,949,953
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070103,0,0,0,178,-11,12,70,70,54,63,1029,1030
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070104,0,0,0,189,83,12,110,120,36,36,2357,1415
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070105,112,0,0,244,161,37,270,210,103,125,1510,1813
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070106,0,0,0,228,100,32,270,290,98,107,1216,1201
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070107,183,0,0,200,83,20,190,190,67,89,2251,2301
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070108,61,0,0,200,44,59,270,270,103,134,1022,1649
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070109,0,0,0,139,-11,50,280,280,165,179,1457,1457
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070110,0,0,0,106,-22,17,320,320,58,67,1427,930
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070111,0,0,0,133,-44,10,80,90,45,58,1033,1033
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070112,0,0,0,211,33,4,190,230,36,36,1520,1517
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070113,0,0,0,217,56,6,220,220,54,72,1251,1403
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070114,0,0,0,222,72,11,230,230,58,72,1237,1238
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070115,0,0,0,239,150,33,210,200,80,98,1125,1127
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070116,10,0,0,189,72,48,20,20,80,112,2119,2119
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070117,0,0,0,72,28,56,40,30,98,116,858,858
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070118,84,0,0,33,0,31,70,70,63,72,56,54
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070119,0,0,0,133,22,34,280,280,67,80,1408,1409
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070120,0,0,0,117,0,16,290,290,58,67,1327,1321
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070121,135,0,0,94,33,23,110,110,58,63,1239,1239
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070122,140,0,0,100,28,22,150,270,67,76,2308,1405
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070123,0,0,0,106,44,20,280,280,45,54,334,334
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070124,0,0,0,94,17,17,290,300,40,45,1428,1428
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070125,0,0,0,122,28,30,280,290,89,107,1603,1451
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070126,0,0,0,122,-50,15,240,230,58,67,1517,1422
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070127,0,0,0,178,6,41,250,230,80,98,1630,1234
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070128,46,0,0,144,11,68,270,280,134,174,2137,2138
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070129,0,0,0,61,-44,32,300,300,103,130,225,227
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070130,0,0,0,122,-44,37,250,240,98,125,1558,1545
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070131,0,0,0,72,-22,26,10,80,63,72,1304,946
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070201,239,0,5,50,-6,18,100,10,45,63,820,1011
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070202,3,0,0,122,28,39,260,250,112,134,1916,1917
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070203,0,0,0,78,-17,50,270,280,112,134,1426,1417
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070204,0,0,0,122,-22,57,260,260,112,134,1659,1700
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070205,0,0,0,89,-22,36,270,270,76,94,1625,1626
GHCND:USW00013883,COLUMBIA METROPOLITAN AIRPORT SC US,20070206,0,0,0,106,-44,27,220,240,63,80,2355,1658
