STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070101,0,0,0,128,39,38,300,300,94,103,1600,1601
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070102,0,0,0,117,11,38,20,20,98,125,500,516
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070103,0,0,0,144,-17,11,200,210,63,76,1458,1459
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070104,10,0,0,156,39,4,320,290,22,27,2144,2323
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070105,89,0,0,189,111,26,200,190,72,94,1121,1438
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070106,0,0,0,172,72,9,240,230,54,63,1306,1334
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070107,361,0,0,172,72,25,260,270,76,94,2348,2357
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070108,0,0,0,133,22,38,310,310,80,112,231,232
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070109,0,0,0,106,22,52,310,280,107,143,1257,1427
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070110,0,0,0,89,-28,19,340,340,72,94,145,146
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070111,0,0,0,122,-39,26,170,190,80,103,2041,1152
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070112,0,0,0,167,78,19,210,200,45,54,1622,1443
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070113,0,0,0,211,61,21,210,210,67,89,1329,1247
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070114,0,0,0,222,133,30,210,210,103,125,1229,1230
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070115,36,0,0,189,111,26,210,220,80,94,1323,1240
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070116,0,0,0,111,-6,60,10,20,98,107,2231,2209
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070117,0,0,0,56,-11,40,20,20,89,98,914,231
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070118,3,0,0,44,11,24,190,200,63,80,6,7
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070119,0,0,0,100,6,39,340,340,72,89,1556,1712
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070120,0,0,0,83,-17,29,20,10,72,94,1107,1115
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070121,239,0,0,89,50,30,180,160,89,125,716,716
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070122,0,0,0,83,44,26,340,340,67,76,2351,2352
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070123,0,0,0,56,-6,22,330,310,63,72,10,2354
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070124,0,0,0,111,-22,14,300,260,45,63,1602,1845
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070125,0,0,0,78,-17,34,340,330,98,116,1144,1145
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070126,0,0,0,106,-50,13,10,10,54,58,142,142
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070127,3,0,0,150,-28,22,270,260,80,98,1452,1452
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070128,0,0,0,72,-56,58,320,320,125,156,2126,2134
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070129,0,0,0,39,-89,25,360,10,80,107,103,104
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070130,0,0,0,94,-33,37,280,290,94,125,1630,1642
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070131,0,0,0,33,-89,28,360,360,80,98,139,139
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070201,107,0,53,22,0,11,220,220,76,98,207,208
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070202,5,0,0,50,-33,26,300,290,98,116,1525,1517
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070203,0,0,0,67,-50,34,280,260,80,107,1322,1535
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070204,0,0,0,56,-50,28,310,320,89,107,1521,1521
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070205,0,0,0,39,-44,36,10,10,72,89,1627,1719
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070206,0,0,0,94,-50,25,190,200,63,80,1804,1805
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070207,0,0,0,128,33,41,20,20,72,89,1332,2057
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070208,0,0,0,83,0,38,10,10,80,98,922,925
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070209,0,0,0,33,-22,36,50,40,63,76,941,1008
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070210,0,0,0,67,-39,41,10,10,76,103,936,938
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070211,0,0,0,111,-56,7,30,30,36,40,1411,1411
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070212,0,0,0,183,-6,8,170,160,45,58,1629,1630
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070213,66,0,0,161,56,22,180,170,98,139,1153,1155
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070214,25,0,0,117,-39,68,10,10,103,134,1227,1331
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070215,0,0,0,44,-50,55,10,20,94,112,125,401
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070216,0,0,0,39,-72,29,10,10,80,94,105,106
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070217,0,0,0,50,-39,33,330,320,98,116,2242,2242
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070218,0,0,0,50,-50,39,340,330,112,134,148,148
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070219,0,0,0,133,-67,22,210,200,98,125,1518,1523
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070220,0,0,0,189,61,38,230,220,103,139,1714,1703
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070221,13,0,0,228,89,31,260,260,76,103,1717,1718
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070222,0,0,0,211,44,45,340,330,116,148,1614,1633
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070223,0,0,0,144,28,33,20,20,72,89,1035,1036
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070224,0,0,0,167,-17,31,160,150,116,156,2355,2355
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070225,203,0,0,194,78,53,160,150,116,156,2355,2355
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070226,0,0,0,172,17,15,30,10,63,76,2046,2104
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070227,0,0,0,206,39,22,10,330,63,76,1750,2001
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070228,0,0,0,228,6,20,190,170,63,80,1852,1546
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070301,155,0,0,178,122,48,200,210,143,179,1953,1956
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070302,0,0,0,172,17,41,310,310,112,143,48,49
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070303,0,0,0,161,28,57,280,290,139,183,1728,1659
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070304,0,0,0,94,-11,41,360,330,76,98,659,557
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070305,0,0,0,183,-28,14,310,320,72,80,1656,1702
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070306,0,0,0,183,11,11,20,20,63,72,859,909
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070307,0,0,0,222,39,18,230,220,89,103,1518,1539
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070308,0,0,0,228,28,6,150,160,40,54,1607,1607
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070309,0,0,0,211,56,27,150,140,72,103,1126,1127
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070310,0,0,0,200,100,21,220,220,80,98,1203,1204
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070311,36,0,0,222,89,21,10,20,63,76,1205,1244
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070312,0,0,0,250,39,8,280,210,54,63,1331,1645
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070313,0,0,0,272,72,16,220,230,72,89,1622,1623
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070314,0,0,0,261,122,26,230,220,98,112,1332,1235
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070315,188,0,0,200,128,11,220,220,58,76,1030,1030
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070316,58,0,0,161,50,49,330,330,94,112,1731,1732
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070317,0,0,0,117,22,53,20,10,94,116,1143,1144
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070318,0,0,0,133,0,20,10,10,54,72,1200,1238
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070319,0,0,0,222,50,31,240,230,103,130,1356,1359
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070320,0,0,0,233,122,22,360,300,58,72,1329,1445
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070321,0,0,0,261,117,30,220,200,89,103,1555,1414
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070322,0,0,0,256,133,28,210,200,67,89,1503,1622
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070323,0,0,0,272,100,18,180,180,67,89,1622,1623
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070324,0,0,0,294,111,8,220,260,54,76,1207,1532
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070325,0,0,0,311,117,5,150,180,40,63,1508,1514
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070326,0,0,0,289,150,23,160,160,63,80,1749,1750
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,20070327,0,0,0,283,156,16,190,200,45,67,1815,1816
