STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070101,246,-9999,-9999,128,56,14,320,300,67,116,2211
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070102,0,-9999,-9999,122,-10,16,300,310,72,107,701
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070103,0,-9999,-9999,139,-38,22,180,200,67,76,1408
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070104,0,-9999,-9999,178,28,31,190,200,67,76,1455
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070105,76,-9999,-9999,178,133,36,180,200,67,81,1326
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070106,0,-9999,-9999,206,122,35,250,260,63,94,1436
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070107,112,-9999,-9999,128,44,12,90,90,45,58,1040
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070108,48,-9999,-9999,117,6,29,290,280,107,143,1251
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070109,0,-9999,-9999,78,-21,30,320,320,76,107,2320
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070110,0,-9999,-9999,39,-49,26,300,300,76,112,205
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070111,0,-9999,-9999,61,-77,24,180,190,72,89,1433
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070112,0,-9999,-9999,100,28,31,180,170,63,76,544
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070113,0,-9999,-9999,178,78,31,190,190,63,72,1531
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070114,0,-9999,-9999,217,122,25,170,180,63,72,1321
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070115,0,-9999,-9999,206,122,42,200,190,72,94,1407
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070116,0,-9999,-9999,172,0,38,340,340,76,94,1851
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070117,0,-9999,-9999,17,-71,16,320,350,54,76,130
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070118,0,-9999,-9999,11,-82,11,190,190,45,54,2324
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070119,0,-9999,-9999,89,-16,34,300,270,81,134,1152
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070120,0,-9999,-9999,44,-32,43,290,320,107,139,546
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070121,5,-9999,-9999,-16,-43,14,170,170,45,54,1810
GHCND:USW00093736,CHARLOTTESVILLE ALBEMARLE AIRPORT VA US,20070122,91,-9999,-9999,0,-16,0,200,190,27,31,2356
