STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070101,5,0,0,228,122,60,200,240,125,148,1044,1041
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070102,0,0,0,150,56,40,30,10,76,103,1004,1015
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070103,0,0,0,228,67,32,80,90,67,103,1307,1602
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070104,191,0,0,206,139,13,100,90,63,72,918,907
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070105,150,0,0,244,167,43,190,180,161,197,2222,2222
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070106,0,0,0,244,133,30,220,200,107,143,11,30
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070107,5,0,0,233,128,28,190,190,89,107,1940,1941
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070108,25,0,0,222,78,50,280,270,107,143,1023,1022
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070109,0,0,0,167,-6,44,290,300,130,165,1555,1542
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070110,0,0,0,122,-6,28,350,330,63,76,1159,1420
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070111,0,0,0,161,0,33,100,80,63,72,1728,1639
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070112,0,0,0,239,78,5,140,140,58,63,1646,1555
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070113,0,0,0,239,94,13,160,160,54,58,1716,1717
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070114,0,0,0,239,133,8,180,190,58,72,1559,1634
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070115,0,0,0,261,100,26,200,200,80,98,1243,1243
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070116,3,0,0,222,94,45,20,10,94,116,2358,2333
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070117,30,0,0,94,17,60,30,20,98,116,955,851
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070118,185,0,0,61,11,47,10,20,76,94,513,254
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070119,0,0,0,139,39,35,290,290,67,80,1049,1050
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070120,0,0,0,128,33,31,320,50,58,76,928,1444
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070121,0,0,0,194,39,36,190,190,80,103,2327,2328
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070122,244,0,0,200,83,31,210,220,98,125,147,108
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070123,0,0,0,106,61,15,290,300,54,67,257,258
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070124,0,0,0,100,56,8,290,280,45,58,811,811
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070125,0,0,0,144,33,23,300,290,76,103,1515,1645
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070126,0,0,0,122,-28,18,200,210,58,72,1630,1711
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070127,0,0,0,167,0,34,250,250,80,107,2340,2341
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070128,135,0,0,161,39,58,290,280,134,170,2144,2144
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070129,0,0,0,67,-22,38,290,300,112,161,116,117
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070130,0,0,0,106,-22,31,240,240,63,80,1443,1641
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070131,0,0,0,94,6,30,20,350,76,103,1335,926
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070201,340,0,0,94,0,31,360,360,116,165,1115,1115
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070202,10,0,0,156,61,32,260,260,80,98,1839,1839
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070203,0,0,0,83,28,32,270,260,67,89,1425,1426
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070204,0,0,0,133,17,30,260,260,76,94,1422,1423
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070205,0,0,0,106,22,31,330,330,76,89,1006,1006
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070206,0,0,0,106,-28,26,200,190,63,67,2253,2244
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070207,0,0,0,217,56,36,260,270,94,116,930,931
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070208,0,0,0,167,39,5,140,10,45,67,1433,1655
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070209,3,0,0,139,22,5,330,330,54,63,1257,1013
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070210,0,0,0,139,22,13,20,290,45,67,1516,1659
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070211,0,0,0,150,-6,19,150,150,54,63,1528,1721
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070212,0,0,0,222,39,24,140,160,67,98,1321,1437
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070213,198,0,0,206,94,31,120,130,107,134,1721,1722
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070214,0,0,0,156,61,48,260,250,98,112,1300,1236
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070215,0,0,0,83,-6,38,40,20,72,94,239,832
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070216,0,0,0,106,-17,22,320,330,63,76,1519,1520
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070217,0,0,0,122,-33,34,200,190,94,107,1555,1504
GHCND:USW00013880,CHARLESTON INTERNATIONAL AIRPORT SC US,20070218,0,0,0,117,28,55,300,310,112,143,1349,1349
