STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070101,89,0,0,189,67,41,180,180,98,125,45,48
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070102,0,0,0,128,-11,16,330,330,72,89,48,48
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070103,0,0,0,156,-22,14,190,320,40,58,1316,1540
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070104,0,0,0,167,72,16,140,140,45,54,2336,2337
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070105,163,0,0,200,150,37,210,210,80,112,1652,1649
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070106,0,0,0,200,89,22,180,230,58,76,121,1503
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070107,295,0,0,189,72,26,270,270,80,112,2319,2320
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070108,91,0,0,144,0,36,330,270,94,116,1459,927
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070109,0,0,0,122,-22,31,320,310,107,143,1440,1441
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070110,0,0,0,83,-44,20,330,310,63,76,1131,1446
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070111,0,0,0,100,-56,18,170,160,54,63,1052,1404
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070112,0,0,0,172,28,11,210,230,54,63,1358,1358
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070113,0,0,0,206,67,17,200,210,63,80,1343,1344
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070114,0,0,0,222,72,26,210,220,72,103,1257,1257
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070115,0,0,0,206,117,40,210,210,76,112,1408,1228
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070116,3,0,0,172,22,41,350,360,94,112,2132,2132
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070117,0,0,0,44,-17,44,30,10,72,94,1054,859
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070118,58,0,0,11,-17,26,360,10,54,67,1125,1210
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070119,0,0,0,117,6,28,290,290,67,80,1238,1239
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070120,0,0,0,100,-6,20,10,10,63,80,1232,1233
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070121,157,0,0,56,0,30,10,60,54,80,2035,2033
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070122,3,0,0,61,11,14,160,150,45,54,1207,1207
GHCND:USW00013881,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT NC US,20070123,0,0,0,83,0,15,240,210,36,58,1539,1540
