STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070101,0,-9999,44,-21,75,260,260,139,170,151
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070102,0,-9999,56,-43,38,180,180,72,89,2058
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070103,0,-9999,72,-16,57,190,200,81,103,1237
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070104,109,-9999,89,22,78,170,180,112,143,1602
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070105,13,-9999,100,78,27,230,220,76,98,48
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070106,0,-9999,78,-21,49,280,320,89,107,438
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070107,30,-9999,50,-5,38,310,260,134,183,2009
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070108,0,-9999,39,-27,74,270,280,125,148,300
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070109,0,-9999,22,-43,76,320,320,134,157,1136
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070110,0,-9999,17,-88,60,170,160,112,139,2040
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070111,0,-9999,78,0,96,190,190,134,161,952
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070112,124,-9999,117,11,64,190,190,103,116,2357
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070113,104,-9999,22,6,54,30,40,89,103,754
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070114,234,-9999,28,6,60,80,90,94,107,2103
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070115,28,-9999,22,-43,71,310,300,107,125,2114
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070116,0,-9999,-43,-116,57,290,280,103,125,105
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070117,0,-9999,-32,-127,30,180,170,72,81,1110
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070118,0,-9999,0,-38,78,290,280,161,183,2021
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070119,0,-9999,17,-71,63,290,290,134,161,2359
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070120,0,-9999,-21,-105,28,100,100,63,67,2050
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070121,36,-9999,0,-32,47,110,120,94,103,615
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070122,0,-9999,-5,-32,57,250,250,76,89,2347
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070123,10,-9999,0,-38,72,230,230,112,130,1203
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070124,0,-9999,-21,-121,43,330,320,98,107,2357
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070125,0,-9999,-27,-127,47,320,320,112,134,154
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070126,0,-9999,50,-116,69,200,200,107,125,1843
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070127,0,-9999,22,-82,81,290,300,125,148,2317
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070128,0,-9999,-82,-138,93,290,280,130,157,926
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070129,0,-9999,6,-127,68,300,300,143,161,2321
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070130,0,-9999,-55,-138,85,290,290,139,165,500
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070131,0,-9999,-55,-171,47,210,200,76,89,1634
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070201,0,-9999,-32,-66,38,220,220,76,94,216
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070202,0,-9999,-55,-149,64,290,270,125,143,1427
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070203,0,-9999,-93,-177,84,290,290,157,183,952
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070204,0,-9999,-93,-205,69,290,280,125,134,1615
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070205,0,-9999,-105,-221,38,280,300,67,76,1441
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070206,43,-9999,-93,-166,50,110,110,89,98,1134
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070207,0,-9999,-121,-205,41,340,290,67,72,2144
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070208,0,-9999,-116,-210,48,290,310,72,81,153
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070209,0,-9999,-105,-182,46,290,290,72,89,2348
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070210,0,-9999,-105,-210,39,300,300,94,112,135
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070211,0,-9999,28,-188,34,210,210,54,63,1213
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070212,18,-9999,11,-43,44,70,70,94,107,2358
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070213,71,-9999,-10,-82,129,60,50,174,206,1241
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070214,0,-9999,-71,-193,57,10,10,130,157,5
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070215,0,-9999,-116,-227,40,300,310,67,72,1422
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070216,5,-9999,-55,-238,68,170,170,103,112,1701
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070217,18,-9999,-32,-155,62,320,320,125,139,1458
GHCND:USW00094870,CHAMPAIGN URBANA WILLARD AIRPORT IL US,20070218,0,-9999,-60,-171,38,310,300,67,76,1116
