STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00481840,CODY WY US,20070101,-9999,-9999,0,0,0,44,-106,-44
GHCND:USC00481840,CODY WY US,20070102,-9999,-9999,0,0,0,106,-56,83
GHCND:USC00481840,CODY WY US,20070103,-9999,-9999,0,0,0,122,-56,61
GHCND:USC00481840,CODY WY US,20070104,-9999,-9999,8,0,25,67,-22,-11
GHCND:USC00481840,CODY WY US,20070105,-9999,-9999,0,0,0,-6,-61,-39
GHCND:USC00481840,CODY WY US,20070106,-9999,-9999,0,0,0,-11,-56,-22
GHCND:USC00481840,CODY WY US,20070107,-9999,-9999,0,0,0,11,-78,6
GHCND:USC00481840,CODY WY US,20070108,-9999,-9999,0,0,0,67,-28,-28
GHCND:USC00481840,CODY WY US,20070109,-9999,-9999,0,0,0,89,-89,72
GHCND:USC00481840,CODY WY US,20070110,-9999,-9999,0,0,0,78,17,33
GHCND:USC00481840,CODY WY US,20070111,-9999,-9999,53,102,102,33,-217,-217
GHCND:USC00481840,CODY WY US,20070112,-9999,-9999,0,102,0,-172,-267,-200
GHCND:USC00481840,CODY WY US,20070113,-9999,-9999,0,102,0,-122,-228,-167
GHCND:USC00481840,CODY WY US,20070114,-9999,-9999,0,102,0,-94,-200,-144
GHCND:USC00481840,CODY WY US,20070115,-9999,-9999,0,102,0,-100,-222,-128
GHCND:USC00481840,CODY WY US,20070116,-9999,-9999,0,102,0,-17,-183,-94
GHCND:USC00481840,CODY WY US,20070117,-9999,-9999,0,0,0,-28,-144,-67
GHCND:USC00481840,CODY WY US,20070118,-9999,-9999,8,25,0,-33,-156,-83
GHCND:USC00481840,CODY WY US,20070119,-9999,-9999,0,0,0,-22,-139,-56
GHCND:USC00481840,CODY WY US,20070120,-9999,-9999,0,0,0,17,-100,-22
GHCND:USC00481840,CODY WY US,20070121,-9999,-9999,0,0,0,-17,-100,-44
GHCND:USC00481840,CODY WY US,20070122,-9999,-9999,0,0,0,0,-128,-56
GHCND:USC00481840,CODY WY US,20070123,-9999,-9999,0,0,0,83,-89,-11
GHCND:USC00481840,CODY WY US,20070124,-9999,-9999,0,0,0,56,-67,6
GHCND:USC00481840,CODY WY US,20070125,-9999,-9999,0,0,0,72,-61,28
GHCND:USC00481840,CODY WY US,20070126,-9999,-9999,0,0,0,100,-22,-6
GHCND:USC00481840,CODY WY US,20070127,-9999,-9999,0,0,0,-6,-133,-56
GHCND:USC00481840,CODY WY US,20070128,-9999,-9999,0,0,0,11,-156,-11
GHCND:USC00481840,CODY WY US,20070129,-9999,-9999,0,0,0,-11,-106,-44
GHCND:USC00481840,CODY WY US,20070130,-9999,-9999,0,0,0,-17,-150,-50
GHCND:USC00481840,CODY WY US,20070131,-9999,-9999,15,51,0,-50,-111,-94
GHCND:USC00481840,CODY WY US,20070201,-9999,-9999,8,25,0,-89,-189,-189
GHCND:USC00481840,CODY WY US,20070202,-9999,-9999,0,0,0,-33,-261,-61
GHCND:USC00481840,CODY WY US,20070203,-9999,-9999,0,0,0,22,-128,-44
GHCND:USC00481840,CODY WY US,20070204,-9999,-9999,0,0,0,94,-117,83
GHCND:USC00481840,CODY WY US,20070205,-9999,-9999,0,0,0,150,44,122
GHCND:USC00481840,CODY WY US,20070206,-9999,-9999,0,0,0,128,61,61
GHCND:USC00481840,CODY WY US,20070207,-9999,-9999,0,0,0,56,-44,-22
GHCND:USC00481840,CODY WY US,20070208,-9999,-9999,0,0,0,-22,-72,-67
GHCND:USC00481840,CODY WY US,20070209,-9999,-9999,0,0,0,-17,-83,-44
GHCND:USC00481840,CODY WY US,20070210,-9999,-9999,0,0,0,44,-83,33
GHCND:USC00481840,CODY WY US,20070211,-9999,-9999,0,0,0,89,-67,33
GHCND:USC00481840,CODY WY US,20070212,-9999,-9999,0,0,0,33,-117,-111
GHCND:USC00481840,CODY WY US,20070213,-9999,-9999,10,0,25,-72,-150,-100
GHCND:USC00481840,CODY WY US,20070214,-9999,-9999,18,25,51,-94,-161,-111
GHCND:USC00481840,CODY WY US,20070215,-9999,-9999,0,0,0,50,-172,33
GHCND:USC00481840,CODY WY US,20070216,-9999,-9999,0,0,0,78,-6,28
GHCND:USC00481840,CODY WY US,20070217,-9999,-9999,0,0,0,100,-61,83
GHCND:USC00481840,CODY WY US,20070218,-9999,-9999,0,0,0,122,-22,78
GHCND:USC00481840,CODY WY US,20070219,-9999,-9999,13,0,25,78,-39,17
GHCND:USC00481840,CODY WY US,20070220,-9999,-9999,0,0,0,72,-6,56
GHCND:USC00481840,CODY WY US,20070221,-9999,-9999,79,76,127,56,-33,-33
GHCND:USC00481840,CODY WY US,20070222,-9999,-9999,0,0,0,89,-94,56
GHCND:USC00481840,CODY WY US,20070223,-9999,-9999,0,0,0,72,-11,11
GHCND:USC00481840,CODY WY US,20070224,-9999,-9999,5,0,0,22,-94,0
GHCND:USC00481840,CODY WY US,20070225,-9999,-9999,0,0,0,56,-33,33
GHCND:USC00481840,CODY WY US,20070226,-9999,-9999,0,0,0,44,-61,11
GHCND:USC00481840,CODY WY US,20070227,-9999,-9999,0,0,0,39,-61,-6
GHCND:USC00481840,CODY WY US,20070228,-9999,-9999,0,0,0,33,-78,11
GHCND:USC00481840,CODY WY US,20070301,-9999,-9999,0,0,0,17,-67,-39
GHCND:USC00481840,CODY WY US,20070302,-9999,-9999,0,0,0,-17,-117,-33
GHCND:USC00481840,CODY WY US,20070303,-9999,-9999,0,0,0,67,-111,56
GHCND:USC00481840,CODY WY US,20070304,-9999,-9999,0,0,0,128,-50,100
GHCND:USC00481840,CODY WY US,20070305,-9999,-9999,0,0,0,133,-11,100
GHCND:USC00481840,CODY WY US,20070306,-9999,-9999,0,0,0,150,33,128
GHCND:USC00481840,CODY WY US,20070307,-9999,-9999,0,0,0,167,17,150
GHCND:USC00481840,CODY WY US,20070308,-9999,-9999,0,0,0,150,44,89
GHCND:USC00481840,CODY WY US,20070309,-9999,-9999,0,0,0,133,39,100
GHCND:USC00481840,CODY WY US,20070310,-9999,-9999,0,0,0,117,39,106
GHCND:USC00481840,CODY WY US,20070311,-9999,-9999,0,0,0,156,50,139
GHCND:USC00481840,CODY WY US,20070312,-9999,-9999,0,0,0,217,117,194
GHCND:USC00481840,CODY WY US,20070313,-9999,-9999,0,0,0,206,117,167
GHCND:USC00481840,CODY WY US,20070314,-9999,-9999,0,0,0,172,-17,117
GHCND:USC00481840,CODY WY US,20070315,-9999,-9999,0,0,0,117,-44,83
GHCND:USC00481840,CODY WY US,20070316,-9999,-9999,0,0,0,183,-11,172
GHCND:USC00481840,CODY WY US,20070317,-9999,-9999,0,0,0,206,78,194
GHCND:USC00481840,CODY WY US,20070318,-9999,-9999,0,0,0,194,67,128
GHCND:USC00481840,CODY WY US,20070319,-9999,-9999,0,0,0,194,-22,183
GHCND:USC00481840,CODY WY US,20070320,-9999,-9999,0,0,0,189,44,156
GHCND:USC00481840,CODY WY US,20070321,-9999,-9999,0,0,0,156,17,106
GHCND:USC00481840,CODY WY US,20070322,-9999,-9999,0,0,0,150,33,144
GHCND:USC00481840,CODY WY US,20070323,-9999,-9999,0,0,0,156,72,133
GHCND:USC00481840,CODY WY US,20070324,-9999,-9999,0,0,0,200,6,189
GHCND:USC00481840,CODY WY US,20070325,-9999,-9999,0,0,0,211,78,183
GHCND:USC00481840,CODY WY US,20070326,-9999,-9999,0,0,0,206,28,172
GHCND:USC00481840,CODY WY US,20070327,-9999,-9999,0,0,0,222,17,150
GHCND:USC00481840,CODY WY US,20070328,-9999,-9999,15,25,25,150,-11,-11
GHCND:USC00481840,CODY WY US,20070329,-9999,-9999,0,0,0,-6,-44,-33
GHCND:USC00481840,CODY WY US,20070330,-9999,-9999,155,254,254,-28,-61,-39
GHCND:USC00481840,CODY WY US,20070331,-9999,-9999,86,178,102,72,-89,61
GHCND:USC00481840,CODY WY US,20070401,-9999,-9999,0,0,0,67,-17,44
GHCND:USC00481840,CODY WY US,20070402,-9999,-9999,15,0,25,50,-17,6
GHCND:USC00481840,CODY WY US,20070403,-9999,-9999,33,-9999,25,28,-44,11
GHCND:USC00481840,CODY WY US,20070404,-9999,-9999,0,0,0,67,-50,61
GHCND:USC00481840,CODY WY US,20070405,-9999,-9999,41,0,76,67,-11,33
GHCND:USC00481840,CODY WY US,20070406,-9999,-9999,0,0,0,33,-33,-22
GHCND:USC00481840,CODY WY US,20070407,-9999,-9999,0,0,0,-6,-61,-11
GHCND:USC00481840,CODY WY US,20070408,-9999,-9999,0,0,0,117,-50,106
GHCND:USC00481840,CODY WY US,20070409,-9999,-9999,0,0,0,156,22,133
GHCND:USC00481840,CODY WY US,20070410,-9999,-9999,0,0,0,139,-11,44
GHCND:USC00481840,CODY WY US,20070411,-9999,-9999,0,0,0,61,-6,33
GHCND:USC00481840,CODY WY US,20070412,-9999,-9999,0,0,0,83,-39,61
GHCND:USC00481840,CODY WY US,20070413,-9999,-9999,0,0,0,128,-50,128
GHCND:USC00481840,CODY WY US,20070414,-9999,-9999,0,0,0,194,28,189
GHCND:USC00481840,CODY WY US,20070415,-9999,-9999,0,0,0,194,89,150
GHCND:USC00481840,CODY WY US,20070416,-9999,-9999,0,0,0,156,33,150
