STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070101,0,0,0,67,-83,35,340,350,112,139,1434,1434
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070102,0,0,0,72,-83,23,10,10,45,54,2359,2359
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070103,0,0,0,133,-56,32,360,180,67,72,1742,353
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070104,0,0,0,144,0,45,240,250,148,170,1516,1515
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070105,30,0,51,0,-150,54,350,340,107,125,923,924
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070106,0,51,0,39,-156,47,320,320,192,228,1647,1648
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070107,0,25,0,-11,-100,47,310,310,98,125,245,239
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070108,0,25,0,89,-33,42,300,300,112,143,229,230
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070109,0,0,0,44,-61,21,320,310,58,72,2335,2345
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070110,0,0,0,150,-28,42,90,90,103,112,909,910
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070111,0,0,0,122,-72,55,170,170,143,170,1453,1453
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070112,5,0,30,-67,-172,47,160,160,80,94,59,100
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070113,3,51,10,-139,-194,22,160,160,45,54,448,449
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070114,25,51,51,-89,-172,62,340,340,112,134,1841,1527
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070115,0,51,0,-72,-211,18,350,20,45,54,215,2045
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070116,0,51,0,-33,-156,27,360,360,45,54,151,156
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070117,0,51,0,50,-178,36,310,300,116,148,1819,1906
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070118,0,0,0,-28,-150,36,10,150,76,80,1418,833
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070119,0,0,0,22,-144,31,170,160,58,67,1416,1519
GHCND:USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT CO US,20070120,10,0,10,-6,-128,47,330,320,156,183,1928,2000
