STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070101,0,0,0,-6,-100,59,210,210,98,112,1940,1941
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070102,0,0,0,22,-50,103,220,220,148,179,2357,2358
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070103,0,0,0,56,6,106,210,230,148,179,1232,1435
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070104,0,0,0,50,-39,66,230,240,139,165,653,654
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070105,13,25,33,-17,-161,21,230,230,89,98,2335,2336
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070106,0,25,0,-6,-106,111,220,220,192,241,1105,1124
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070107,0,0,0,-17,-139,97,230,220,197,237,1618,1739
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070108,0,0,0,67,-61,55,220,210,139,165,211,212
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070109,0,0,0,78,-94,88,210,210,139,161,2348,2241
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070110,0,0,0,83,-39,107,220,210,170,201,1206,1216
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070111,38,0,130,-39,-222,80,30,20,134,148,849,901
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070112,15,127,46,-194,-261,26,40,50,58,67,302,329
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070113,0,152,0,-139,-222,60,220,220,103,112,1236,1237
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070114,0,152,0,-150,-217,40,230,220,76,80,2344,2343
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070115,0,127,0,-117,-200,99,210,210,139,165,1156,1203
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070116,0,102,0,-50,-122,99,210,210,143,170,1250,1256
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070117,28,152,43,-50,-117,84,210,210,156,174,932,932
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070118,3,152,10,-72,-150,77,220,220,130,143,1409,1144
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070119,0,127,0,-28,-89,84,210,210,130,143,939,940
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070120,33,127,28,-17,-100,57,230,220,103,125,1003,1004
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070121,3,203,48,-33,-139,64,10,20,139,161,607,552
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070122,0,178,0,-56,-111,103,210,210,143,165,1306,1307
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070123,0,152,0,-11,-56,93,220,220,134,165,304,305
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070124,0,127,0,17,-39,78,210,210,130,143,938,931
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070125,0,127,0,50,-33,80,220,200,125,143,2301,1849
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070126,0,102,0,28,-83,43,210,210,107,143,340,309
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070127,0,102,0,-50,-122,40,210,60,72,89,2148,2149
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070128,0,76,0,-28,-167,101,170,170,143,179,952,442
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070129,0,102,0,-22,-111,41,270,270,103,125,1250,1227
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070130,0,51,0,-33,-178,52,210,220,94,103,1433,1433
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070131,0,51,15,-67,-161,36,250,250,72,89,1421,1440
GHCND:USW00024089,CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,20070201,5,76,13,-100,-289,58,20,20,112,143,1445,1446
