STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070101,0,0,0,133,28,39,290,280,103,161,1902,1904
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070102,0,0,0,78,-17,13,270,280,54,72,2359,225
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070103,0,0,0,144,-44,3,260,250,31,45,1150,1151
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070104,5,0,0,194,-22,5,160,170,40,54,2347,2348
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070105,69,0,0,211,83,18,220,210,89,107,2125,2125
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070106,13,0,0,161,94,44,260,250,94,139,652,653
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070107,132,0,0,161,50,21,300,160,89,107,1259,2204
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070108,48,0,0,117,0,51,310,280,112,161,946,747
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070109,25,0,0,39,0,47,320,320,98,143,2259,2300
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070110,0,0,0,22,-44,28,290,290,72,125,32,504
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070111,0,0,0,117,-61,15,170,170,63,80,1632,1615
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070112,3,0,0,156,39,32,240,230,67,89,1514,1518
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070113,76,0,0,156,117,17,260,270,58,94,1000,1001
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070114,13,0,0,189,111,10,250,260,72,103,1235,1237
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070115,107,0,0,194,72,51,260,330,107,139,2151,1154
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070116,20,0,8,72,-28,36,340,300,76,107,800,624
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070117,0,0,0,6,-72,14,360,10,58,67,14,15
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070118,0,0,0,56,-44,16,250,260,63,80,2350,2351
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070119,5,0,0,56,-6,50,280,320,103,143,626,647
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070120,0,0,0,22,-33,21,290,280,67,94,148,431
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070121,109,0,20,22,-33,9,80,160,40,54,1337,335
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070122,3,0,0,44,0,20,340,350,76,98,2142,2019
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070123,0,0,0,6,0,27,250,250,72,98,1549,1610
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070124,3,0,3,11,-17,31,360,360,54,72,2235,2236
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070125,5,0,28,0,-44,45,330,290,103,148,1457,1548
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070126,0,0,0,56,-67,40,250,240,76,94,1632,1602
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070127,25,0,0,144,39,51,250,260,103,134,1637,1210
GHCND:USW00013866,CHARLESTON YEAGER AIRPORT WV US,20070128,15,0,36,39,-94,44,310,310,103,156,2045,1900
