STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070101,33,-9999,-9999,172,56,38,330,330,80,103,1935,1935
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070102,0,-9999,-9999,150,11,22,80,70,80,98,1041,1049
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070103,0,-9999,-9999,167,39,26,80,80,67,80,941,955
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070104,0,-9999,-9999,194,128,31,80,90,58,72,857,941
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070105,216,-9999,-9999,211,117,29,280,280,94,130,1034,1036
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070106,0,-9999,-9999,222,89,12,210,220,58,72,1357,1659
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070107,297,-9999,-9999,233,133,31,290,270,94,112,2038,2039
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070108,15,-9999,-9999,183,44,47,300,310,94,125,1442,1430
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070109,0,-9999,-9999,150,22,47,310,310,112,143,1316,1507
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070110,0,-9999,-9999,128,6,20,30,20,58,76,1247,1224
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070111,0,-9999,-9999,172,11,34,110,100,67,76,1045,1047
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070112,0,-9999,-9999,217,94,24,180,180,58,67,1417,1417
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070113,0,-9999,-9999,222,100,15,200,200,54,63,1459,1500
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070114,0,-9999,-9999,233,100,15,190,210,63,80,1542,1622
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070115,0,-9999,-9999,244,139,33,240,230,80,103,1553,1554
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070116,10,-9999,-9999,161,33,47,320,310,80,98,1741,916
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070117,3,-9999,-9999,100,22,47,70,70,89,103,1232,1228
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070118,10,-9999,-9999,61,28,25,100,90,67,80,22,23
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070119,3,-9999,-9999,133,61,37,320,320,67,80,1351,1352
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070120,0,-9999,-9999,139,44,28,30,10,67,89,933,940
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070121,97,-9999,-9999,156,72,28,130,130,63,76,1045,1046
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070122,246,-9999,-9999,144,72,30,310,310,63,72,2024,2025
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070123,0,-9999,-9999,78,50,30,300,320,54,63,451,405
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070124,0,-9999,-9999,83,44,26,320,320,40,54,1704,1706
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070125,0,-9999,-9999,133,39,40,320,20,80,107,1051,1702
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070126,0,-9999,-9999,139,-6,17,250,230,40,54,1551,1709
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070127,25,-9999,-9999,150,-11,16,240,240,76,98,1946,1947
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070128,0,-9999,-9999,111,6,51,310,280,107,139,1534,1609
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070129,0,-9999,-9999,61,-44,22,310,310,80,103,2354,2355
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070130,0,-9999,-9999,117,0,27,260,240,72,94,1552,1553
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070131,0,-9999,-9999,100,-22,23,330,320,63,76,247,247
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070201,218,-9999,-9999,67,33,36,80,100,67,89,419,742
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070202,0,-9999,-9999,94,22,35,280,320,80,98,1736,1518
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070203,0,-9999,-9999,72,-28,26,330,300,72,89,1348,2357
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070204,0,-9999,-9999,117,-11,23,280,270,89,107,1333,1333
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070205,0,-9999,-9999,111,0,29,320,330,76,89,1507,1335
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070206,0,-9999,-9999,139,-22,19,250,260,58,80,1634,2349
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070207,0,-9999,-9999,206,39,31,240,280,76,98,1604,1544
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070208,0,-9999,-9999,156,56,22,330,340,58,72,1355,1358
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070209,25,-9999,-9999,100,28,21,330,340,63,72,1424,1424
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070210,0,-9999,-9999,111,-11,38,300,330,72,89,1529,1446
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070211,0,-9999,-9999,150,-11,10,180,340,36,45,41,1417
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070212,0,-9999,-9999,211,17,10,230,230,58,72,1510,1511
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070213,211,-9999,-9999,167,94,22,10,10,54,58,2218,2218
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070214,0,-9999,-9999,133,0,60,290,320,98,116,1108,430
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070215,0,-9999,-9999,72,-28,38,320,340,63,89,112,2356
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070216,0,-9999,-9999,72,-33,40,320,320,76,98,853,1304
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070217,3,-9999,-9999,128,-50,40,310,310,116,139,2015,2016
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070218,0,-9999,-9999,106,-6,56,330,330,103,130,1008,447
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070219,0,-9999,-9999,156,-33,25,190,190,67,80,1729,1730
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070220,51,-9999,-9999,194,72,34,220,220,76,98,1417,1321
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070221,43,-9999,-9999,178,117,35,250,230,89,107,1045,1223
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070222,0,-9999,-9999,250,83,31,300,290,89,107,1633,1617
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070223,0,-9999,-9999,228,78,22,20,20,67,89,1127,1128
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070224,0,-9999,-9999,217,56,37,150,150,80,103,1648,1648
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070225,41,-9999,-9999,239,117,45,260,260,103,130,1650,1558
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070226,0,-9999,-9999,222,39,17,260,230,76,103,1551,1341
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070227,0,-9999,-9999,239,56,17,320,300,72,94,1510,1538
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070228,0,-9999,-9999,256,61,28,170,160,67,89,1545,1546
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070301,442,-9999,-9999,217,150,47,310,310,139,170,2225,2226
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070302,0,-9999,-9999,167,83,30,300,300,103,134,145,203
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070303,0,-9999,-9999,172,67,22,310,280,67,80,1330,1340
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070304,0,-9999,-9999,122,22,46,310,300,89,107,1528,1133
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070305,0,-9999,-9999,178,0,29,300,300,76,103,1416,1417
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070306,0,-9999,-9999,217,22,13,10,320,67,94,1330,1331
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070307,0,-9999,-9999,228,33,16,300,300,72,89,1523,1524
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070308,0,-9999,-9999,244,50,7,250,100,54,67,1656,1329
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070309,0,-9999,-9999,222,83,40,70,70,76,89,1556,1557
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070310,0,-9999,-9999,239,128,22,80,120,54,67,311,1110
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070311,0,-9999,-9999,267,94,10,260,260,45,58,1724,1726
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070312,0,-9999,-9999,272,111,8,250,270,54,67,1413,1413
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070313,0,-9999,-9999,272,117,14,220,230,63,76,1510,1727
GHCND:USW00093842,COLUMBUS METROPOLITAN AIRPORT GA US,20070314,0,-9999,-9999,267,144,29,220,200,76,98,1231,1717
