STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070101,3,0,0,106,17,53,270,270,107,134,1019,1111
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070102,0,0,0,78,-33,13,260,280,40,45,19,1
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070103,0,0,0,111,-33,35,190,190,76,94,1539,1521
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070104,41,0,0,139,39,41,190,190,80,107,2302,2310
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070105,69,0,0,183,133,54,220,230,103,125,1932,1932
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070106,18,0,0,133,11,37,300,260,98,139,11,1314
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070107,104,0,0,61,0,36,90,90,94,107,1217,1218
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070108,8,0,0,50,0,56,290,290,125,174,1159,1119
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070109,0,0,0,44,-17,78,290,290,148,183,1554,1555
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070110,0,0,0,28,-61,35,290,290,89,107,251,243
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070111,5,0,0,94,-33,55,210,210,98,116,1344,1133
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070112,53,0,0,128,72,57,210,210,94,130,222,111
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070113,175,0,0,144,67,33,210,230,89,103,317,212
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070114,152,0,0,139,72,22,330,200,63,80,1040,1301
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070115,244,0,0,144,6,59,280,280,98,134,1322,1816
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070116,0,0,0,6,-61,57,300,310,89,103,1100,1058
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070117,0,0,0,6,-78,26,120,100,63,67,1324,948
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070118,0,0,0,56,-39,47,270,270,112,156,2251,2253
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070119,0,0,0,39,-22,67,290,290,130,148,126,55
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070120,0,0,0,22,-67,25,290,290,72,80,158,145
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070121,89,76,97,17,-28,38,130,120,76,89,909,816
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070122,0,0,0,17,-6,38,300,290,76,89,1327,1536
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070123,0,0,0,6,-22,44,240,230,76,94,1248,1328
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070124,15,25,23,0,-39,36,300,310,72,80,1354,1354
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070125,0,0,0,-11,-72,54,320,320,103,116,1602,1603
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070126,0,0,0,56,-100,43,210,230,89,116,2253,1729
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070127,0,0,0,78,-11,61,290,290,112,134,1854,1854
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070128,0,0,5,-11,-111,75,280,290,125,139,1631,1520
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070129,0,0,0,-22,-111,46,210,200,89,112,1417,1541
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070130,0,0,0,-17,-111,69,280,290,125,156,1316,1316
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070131,0,0,0,-33,-106,33,180,190,54,67,1506,2000
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070201,5,0,5,-22,-50,31,230,220,63,76,456,459
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070202,10,0,10,-17,-111,44,290,290,107,134,1711,1712
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070203,0,0,0,-22,-150,59,270,260,143,179,1425,1614
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070204,0,0,3,-72,-150,58,280,280,125,156,1409,1409
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070205,0,0,0,-106,-178,47,280,290,80,103,26,1408
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070206,91,152,163,-72,-189,32,150,120,63,76,1549,1638
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070207,0,152,0,-61,-150,39,340,340,76,89,347,351
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,20070208,0,127,0,-67,-161,41,290,280,67,89,433,558
