STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070101,0,-9999,-9999,244,189,35,210,200,76,98,1438,1452
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070102,0,-9999,-9999,194,144,38,10,10,72,89,1248,1248
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070103,0,-9999,-9999,261,178,19,60,90,63,72,1021,959
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070104,0,-9999,-9999,272,183,21,100,120,54,67,1428,1516
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070105,0,-9999,-9999,267,194,32,150,170,89,107,1110,1110
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070106,3,-9999,0,289,200,22,210,200,63,80,1104,1108
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070107,0,-9999,0,294,206,31,150,200,67,89,1231,1433
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070108,23,-9999,0,278,122,38,310,220,80,103,1155,1505
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070109,0,-9999,-9999,178,83,38,320,320,67,89,927,1002
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070110,0,-9999,-9999,156,61,43,10,10,89,107,1059,1100
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070111,0,-9999,-9999,222,72,38,70,70,94,107,1047,1048
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070112,0,-9999,-9999,244,133,25,70,100,72,94,1304,1408
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070113,0,-9999,0,250,161,21,70,110,63,76,1104,1600
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070114,3,-9999,0,250,144,19,100,100,63,89,1419,1537
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070115,3,-9999,0,267,122,17,230,220,72,89,1355,1252
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070116,0,-9999,-9999,283,144,26,10,20,112,148,2318,2319
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070117,3,-9999,-9999,200,156,60,10,10,107,134,2355,2355
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070118,41,-9999,-9999,200,133,25,10,340,63,72,1027,1458
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070119,0,-9999,-9999,222,111,25,50,40,58,80,1545,1639
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070120,0,-9999,0,172,94,34,10,20,72,76,1544,1407
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070121,0,-9999,0,250,89,26,130,130,67,89,1001,1001
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070122,180,-9999,0,278,172,43,230,240,98,125,1357,1357
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070123,0,-9999,-9999,189,139,30,320,310,58,67,337,323
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070124,0,-9999,-9999,156,111,22,10,10,58,63,1206,1207
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070125,99,-9999,-9999,139,67,37,310,300,72,89,1229,1229
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070126,0,-9999,-9999,172,33,34,20,10,72,94,1150,1244
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070127,0,-9999,0,228,61,21,200,200,67,76,1304,1239
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070128,36,-9999,0,194,89,60,320,310,112,134,802,805
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070129,0,-9999,0,94,17,36,10,310,76,98,337,1115
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070130,0,-9999,-9999,144,0,14,280,270,45,54,1658,1659
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070131,0,-9999,-9999,156,67,31,40,50,67,76,1604,1557
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070201,193,-9999,-9999,250,106,34,170,200,89,130,1017,1058
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070202,340,-9999,-9999,272,167,51,210,270,103,139,517,119
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070203,3,-9999,0,167,106,37,20,30,72,80,1557,1521
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070204,0,-9999,-9999,161,78,43,20,30,94,116,833,1321
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070205,8,-9999,0,128,67,20,20,20,72,89,1136,1136
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070206,0,-9999,-9999,144,50,23,40,20,67,89,1435,1338
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070207,0,-9999,-9999,228,39,27,230,240,76,98,1242,1559
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070208,0,-9999,-9999,228,67,23,70,310,54,76,1317,1549
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070209,0,-9999,-9999,239,94,16,40,50,54,67,1433,1444
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070210,0,-9999,0,206,100,27,270,310,72,89,1616,1441
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070211,0,-9999,0,183,50,26,10,10,63,76,1553,1554
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070212,0,-9999,0,217,128,13,160,170,63,76,1546,1356
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070213,94,-9999,-9999,256,139,18,210,210,134,179,1502,1503
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070214,0,-9999,-9999,244,100,55,260,250,116,156,1235,1551
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070215,3,-9999,-9999,150,39,24,320,290,63,76,1251,1306
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070216,3,-9999,-9999,139,22,38,320,320,80,107,1434,1434
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070217,0,-9999,-9999,150,0,31,260,240,76,89,1557,1539
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070218,28,-9999,-9999,133,50,44,290,290,98,130,932,1312
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070219,0,-9999,0,156,22,20,50,40,67,80,1107,1108
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070220,0,-9999,0,222,44,14,230,230,67,94,1215,1217
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070221,0,-9999,0,267,94,29,260,260,89,107,1503,1504
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070222,0,-9999,-9999,261,117,34,280,260,80,116,1449,1526
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070223,0,-9999,-9999,200,89,33,10,20,80,112,957,1347
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070224,0,-9999,-9999,217,83,20,90,110,76,103,1243,1221
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070225,0,-9999,-9999,267,133,37,200,220,94,116,1408,1259
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070226,0,-9999,-9999,267,161,28,260,250,63,80,1628,1629
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070227,0,-9999,-9999,250,156,26,70,310,58,72,910,1628
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070228,0,-9999,-9999,250,133,27,50,60,67,89,1406,1439
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070301,0,-9999,-9999,261,183,36,150,150,89,125,1233,1234
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070302,0,-9999,-9999,300,161,38,220,230,107,156,1126,1145
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070303,127,-9999,-9999,178,117,24,330,340,58,76,533,534
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070304,0,-9999,-9999,217,100,27,260,260,67,80,1658,1552
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070305,0,-9999,-9999,161,61,31,10,50,67,89,1349,1100
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070306,0,-9999,-9999,206,39,24,40,50,63,94,1334,1518
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070307,0,-9999,-9999,239,89,13,70,90,58,76,1509,1343
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070308,0,-9999,-9999,239,106,22,60,70,63,76,1532,1707
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070309,0,-9999,-9999,256,106,31,30,30,80,103,1524,1745
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070310,0,-9999,-9999,250,133,32,30,40,72,80,1707,1709
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070311,0,-9999,-9999,244,128,34,40,40,80,103,1254,1340
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070312,0,-9999,0,250,122,17,60,140,63,80,1117,1321
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070313,0,-9999,-9999,261,122,11,60,90,58,72,1455,1318
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070314,0,-9999,-9999,261,150,16,160,80,67,89,1303,927
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070315,25,-9999,-9999,272,150,30,160,110,72,107,1349,2116
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070316,20,-9999,-9999,272,178,47,240,240,103,130,1521,1521
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070317,0,-9999,0,189,72,38,330,320,80,125,416,851
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070318,0,-9999,0,178,61,38,20,20,94,112,1122,1122
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070319,0,-9999,0,211,100,49,70,60,103,125,1102,1103
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070320,0,-9999,-9999,244,128,36,50,50,76,94,953,957
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070321,0,-9999,-9999,250,139,44,70,80,103,139,1415,1422
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070322,0,-9999,-9999,256,172,54,60,60,89,116,1512,1534
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070323,0,-9999,-9999,261,172,37,80,70,76,103,1212,1531
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070324,0,-9999,0,261,161,29,60,60,80,112,1447,1436
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070325,0,-9999,0,256,128,26,60,50,72,98,1356,1416
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070326,0,-9999,-9999,267,156,30,90,80,72,107,1039,1136
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070327,0,-9999,-9999,250,172,26,70,60,63,76,1741,1741
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070328,0,-9999,-9999,256,144,19,70,80,76,98,1426,1503
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070329,0,-9999,-9999,261,139,23,60,60,72,98,1539,1607
GHCND:USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT FL US,20070330,5,-9999,0,233,167,29,10,10,72,89,1057,1058
