STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070101,0,0,0,106,6,46,330,340,80,94,359,400
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070102,0,0,0,122,-11,16,130,130,40,54,1241,1242
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070103,69,0,0,128,6,25,160,170,67,76,1720,1721
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070104,183,0,0,128,67,36,90,100,107,134,433,442
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070105,0,0,0,167,78,38,340,340,94,103,2305,2306
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070106,0,0,0,117,61,42,20,20,98,116,913,913
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070107,0,0,0,144,44,59,320,320,125,148,1507,1607
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070108,0,0,0,167,-11,33,210,210,76,89,1258,1259
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070109,0,0,0,161,22,32,20,20,80,98,939,935
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070110,0,0,0,178,22,62,180,180,148,179,1351,1530
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070111,0,0,0,189,117,90,190,190,143,174,1125,1125
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070112,549,0,0,206,22,63,330,170,125,156,122,1641
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070113,254,0,0,28,-6,59,340,330,80,98,237,252
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070114,74,0,0,6,-6,58,320,330,89,98,2150,2049
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070115,13,0,3,0,-39,80,330,320,107,134,601,1642
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070116,0,0,0,-6,-33,54,10,360,94,107,333,333
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070117,33,0,5,0,-33,21,150,10,58,67,48,2158
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070118,10,0,0,44,-11,34,10,10,67,76,2110,2050
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070119,41,0,0,50,22,38,30,10,58,67,633,859
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070120,193,0,0,39,17,37,90,80,72,89,1054,1054
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070121,0,0,0,144,22,53,350,350,80,98,2122,2102
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070122,0,0,0,78,11,49,340,350,89,112,1259,1425
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070123,0,0,0,72,-17,28,210,220,54,58,2229,2230
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070124,0,0,0,106,33,40,350,310,67,72,2021,1024
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070125,0,0,0,150,6,24,320,310,45,54,645,659
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070126,0,0,0,172,-11,43,190,180,80,98,2352,2350
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070127,0,0,0,167,28,60,340,10,125,143,1659,1507
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070128,0,0,0,67,-17,41,20,10,80,98,917,917
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070129,0,0,0,94,-17,36,190,170,80,103,1617,1636
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070130,0,0,0,89,0,57,20,20,112,134,1147,1201
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070131,0,0,0,56,-6,38,160,170,72,89,1456,1454
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070201,76,0,0,39,6,36,20,10,67,76,1149,1155
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070202,0,0,0,17,-22,43,10,10,80,98,1039,1041
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070203,0,0,0,117,-56,47,180,190,94,112,1348,1403
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070204,0,0,0,144,-17,25,360,10,54,58,2016,2016
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070205,0,0,0,183,0,25,180,190,54,58,2359,2347
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070206,0,0,0,217,56,59,190,200,107,134,1251,1516
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070207,0,0,0,222,83,42,180,190,72,80,1303,1319
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070208,0,0,0,133,33,49,350,10,94,107,247,524
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070209,0,0,0,56,33,43,350,340,67,76,1306,1322
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070210,0,0,0,78,33,30,10,20,63,67,719,719
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070211,0,0,0,100,56,47,170,170,80,98,2035,2035
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070212,28,0,0,161,94,36,150,150,67,80,156,205
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070213,0,0,0,133,0,104,300,320,165,192,609,357
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070214,0,0,0,6,-22,63,360,10,103,125,159,17
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070215,0,0,0,17,-50,64,340,320,98,148,1439,840
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070216,0,0,0,94,-89,49,190,190,112,134,1613,1614
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070217,0,0,0,144,0,70,330,340,161,183,1244,1629
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070218,0,0,0,167,-22,44,190,200,80,103,1417,1626
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070219,0,0,0,228,61,85,190,190,130,148,1312,1400
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070220,0,0,0,267,117,58,250,260,116,143,1608,1611
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,20070221,0,0,0,256,67,24,220,210,63,72,147,147
