STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070101,0,0,0,44,-44,58,330,330,103,125,522,1008
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070102,0,0,0,39,-72,46,210,200,89,103,2342,2340
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070103,0,0,0,89,-17,80,190,200,103,125,2037,1935
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070104,0,0,0,94,22,77,200,210,116,139,1141,1036
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070105,8,0,0,83,11,43,240,230,80,103,100,106
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070106,0,0,0,39,-28,43,280,290,72,89,1103,1104
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070107,0,0,0,50,-44,62,290,290,116,139,2309,2133
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070108,0,0,0,17,-67,57,300,310,94,116,5,5
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070109,0,0,0,-11,-94,73,300,270,134,165,1324,1449
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070110,0,0,0,22,-106,69,180,180,143,183,2256,2257
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070111,20,0,0,78,6,54,200,180,98,143,1152,1141
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070112,0,0,0,39,-61,54,10,350,80,98,1718,2118
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070113,18,0,20,-50,-67,47,20,20,80,103,152,159
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070114,33,25,25,-33,-56,51,30,30,94,107,2339,2359
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070115,33,76,46,-56,-128,62,10,20,94,107,632,1005
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070116,0,102,0,-89,-206,30,350,350,58,63,924,218
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070117,0,76,0,-72,-211,56,180,170,89,103,2011,2212
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070118,38,76,36,-22,-72,67,280,300,112,134,1942,1843
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070119,0,102,0,-50,-133,53,310,310,107,125,15,39
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070120,0,102,0,-67,-194,27,120,130,58,67,2020,2021
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070121,66,152,81,-22,-67,39,80,90,63,72,646,1054
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070122,0,152,0,-39,-78,50,240,250,107,116,2324,2324
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070123,0,152,0,-39,-100,43,250,240,103,112,139,127
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070124,0,152,0,-33,-94,41,330,330,89,103,1842,1843
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070125,0,127,0,-50,-156,33,280,270,63,72,1520,1524
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070126,0,127,0,50,-89,72,230,230,116,134,1142,1143
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070127,0,76,0,-11,-156,72,290,290,116,134,1604,1605
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070128,0,76,0,-94,-178,55,340,330,98,125,907,921
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070129,0,76,3,-44,-156,75,300,300,134,156,2054,2055
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070130,0,76,0,-111,-189,60,290,290,94,112,1619,1622
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070131,3,76,13,-72,-200,58,210,210,98,107,1550,1550
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070201,0,76,0,-72,-178,46,250,240,76,94,143,143
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070202,0,76,3,-133,-217,65,260,250,107,125,1514,1505
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070203,0,76,0,-139,-250,79,280,280,134,165,1216,1217
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070204,0,76,0,-183,-250,57,290,300,103,116,1436,1436
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070205,0,76,0,-178,-283,25,270,310,45,63,1219,1448
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070206,58,76,97,-156,-256,34,30,30,67,72,1601,1600
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070207,0,152,0,-144,-217,52,280,290,94,107,1511,1535
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070208,0,152,0,-156,-272,42,290,290,80,94,1958,1958
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070209,0,127,0,-117,-228,36,300,290,72,80,1750,1751
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070210,0,127,0,-144,-267,32,270,270,67,76,1902,1909
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070211,23,127,38,-33,-144,34,240,250,72,76,408,403
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070212,13,203,38,-33,-72,55,50,50,94,112,2310,2229
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070213,94,254,97,-72,-122,89,30,30,125,156,1302,1323
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070214,0,229,0,-100,-172,50,20,20,72,94,151,347
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070215,0,178,0,-117,-222,47,310,290,80,94,1929,1312
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070216,10,178,30,-89,-233,60,190,190,112,130,1446,1512
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070217,10,229,15,-50,-122,64,300,300,103,116,1602,1603
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070218,0,203,0,-61,-139,44,160,160,116,130,2359,2359
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070219,0,178,0,50,-94,62,160,160,116,139,3,4
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070220,0,102,0,39,-44,26,10,360,58,67,231,238
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070221,0,76,0,72,-56,52,290,300,112,143,2335,2338
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070222,0,51,0,28,-44,64,300,320,143,174,224,44
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070223,23,25,25,-6,-56,63,100,100,125,156,1824,1824
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070224,272,51,165,6,-33,110,90,90,148,201,1824,2114
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070225,51,178,0,11,-11,57,110,120,134,161,117,48
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070226,13,102,18,0,-28,58,280,280,76,94,1146,1629
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070227,0,127,0,0,-56,31,270,280,63,72,429,1446
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070228,3,102,0,6,-56,68,90,110,125,148,2110,2013
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070301,124,102,10,39,-22,91,260,260,143,170,2354,2359
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070302,43,102,56,-22,-61,113,270,270,161,201,1145,1146
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070303,3,152,5,-50,-117,65,300,320,94,112,733,1401
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070304,0,127,0,-22,-156,58,280,280,112,134,1407,1408
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070305,0,102,0,-6,-94,52,10,20,94,112,955,956
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070306,0,102,0,-33,-117,42,140,160,76,89,1501,1312
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070307,0,102,0,-22,-94,36,30,30,89,98,830,932
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070308,0,76,0,6,-94,40,170,160,76,89,2101,2257
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070309,46,76,0,44,-11,36,310,170,67,80,15,2328
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070310,0,25,0,72,-39,34,310,310,67,76,203,204
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070311,0,25,0,83,-56,37,200,190,63,76,2324,2330
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070312,0,0,0,150,11,43,240,250,76,89,953,942
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070313,0,0,0,217,22,51,230,240,125,148,1305,1512
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070314,8,0,3,150,6,51,20,20,134,156,1542,1543
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070315,0,0,0,44,-39,30,50,40,72,94,1425,1429
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070316,0,0,0,11,-56,34,340,340,80,98,954,910
GHCND:USW00094908,DUBUQUE REGIONAL AIRPORT IA US,20070317,0,0,0,50,-61,26,350,10,54,67,1429,1543
