STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070101,262,0,0,117,67,30,310,300,130,183,2314,2310
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070102,0,0,0,106,17,43,310,330,125,165,105,101
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070103,0,0,0,133,0,29,200,210,80,98,1232,1232
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070104,0,0,0,167,56,28,-9999,-9999,-9999,-9999,-9999,9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070105,48,0,0,172,111,39,170,170,58,67,2323,2324
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070106,5,0,0,228,133,45,330,330,89,116,1638,1639
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070107,58,0,0,150,78,35,340,320,72,98,5,405
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070108,127,0,0,133,22,49,270,310,116,161,1420,1243
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070109,0,0,0,83,0,43,210,290,76,103,1950,931
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070110,0,0,0,33,-17,53,320,320,130,174,1048,1040
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070111,0,0,0,56,-33,33,200,190,72,94,1547,1555
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070112,5,0,0,94,39,41,210,200,72,98,356,1435
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070113,3,0,0,150,89,37,170,170,63,67,1242,1232
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070114,15,0,0,194,106,19,190,180,54,67,954,1659
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070115,0,0,0,200,111,48,200,110,89,143,1025,1553
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070116,0,0,0,178,-6,75,320,320,130,165,505,505
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070117,0,0,0,11,-50,46,340,330,130,165,303,410
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070118,0,0,0,17,-33,18,170,-9999,40,-9999,-9999,2141
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070119,0,0,0,89,-6,46,300,300,125,179,1321,1855
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070120,0,0,0,28,-28,63,320,320,130,174,1021,1318
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070121,84,0,30,-11,-44,30,40,310,58,72,48,809
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070122,5,25,0,11,-11,17,210,270,45,58,1445,2010
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070123,0,0,0,61,0,38,300,320,89,148,758,1108
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070124,0,0,0,44,0,31,250,230,63,103,1440,1500
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070125,0,0,3,39,-56,64,320,310,148,183,2323,2155
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070126,0,0,0,6,-94,39,-9999,-9999,-9999,-9999,-9999,9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070127,0,0,0,139,-39,26,170,180,63,76,1531,1532
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070128,13,0,0,78,-17,38,310,300,130,161,2335,2309
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070129,0,0,0,6,-61,59,320,320,148,192,18,10
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070130,0,0,0,61,-67,50,240,310,125,161,2303,1658
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070131,0,0,0,11,-56,48,290,290,112,143,20,20
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070201,3,0,0,17,-17,39,200,190,94,125,903,903
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070202,20,0,0,33,0,24,320,310,116,156,2328,2328
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20070203,0,0,0,28,-44,47,230,250,89,116,1335,1639
