STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070101,0,279,0,-6,-100,30,210,210,76,80,146,146
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070102,0,254,0,28,-133,39,200,210,72,80,721,2011
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070103,0,229,0,94,-50,68,220,210,107,148,1909,1909
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070104,0,229,0,106,-11,39,60,280,80,103,238,2348
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070105,46,279,137,-11,-106,60,30,30,107,125,422,422
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070106,3,356,5,11,-117,72,290,290,174,206,1527,1527
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070107,0,279,0,17,-111,64,280,280,156,183,2334,2335
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070108,0,203,0,89,-56,63,280,270,143,179,55,118
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070109,0,178,0,28,-133,41,90,90,94,103,47,47
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070110,0,178,0,144,-44,53,200,200,112,125,616,800
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070111,0,152,20,50,-139,51,70,70,98,107,2318,2255
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070112,10,178,13,-139,-183,45,70,70,76,89,2355,2358
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070113,0,178,3,-128,-222,26,240,240,58,63,2120,2039
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070114,18,178,33,-117,-172,30,10,20,76,89,1506,1511
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070115,0,203,0,-78,-189,51,210,220,80,98,953,954
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070116,0,203,0,-33,-156,46,180,230,89,98,2137,520
GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,20070117,0,203,0,33,-150,50,280,280,103,130,1819,1811
