STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070101,33,189,50,34,340,190,72,94,11
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070102,0,117,17,33,70,20,63,81,402
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070103,0,150,56,26,80,80,54,67,637
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070104,0,211,133,33,160,150,58,72,2010
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070105,203,222,122,40,290,290,103,125,1003
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070106,3,217,106,11,150,150,45,54,1908
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070107,185,261,172,52,260,250,112,139,2047
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070108,51,194,56,51,320,310,112,139,111
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070109,0,172,39,50,290,320,107,130,1410
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070110,0,128,11,29,30,20,63,76,945
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070111,0,178,33,33,140,100,58,76,818
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070112,0,228,111,30,130,140,67,76,1218
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070113,0,239,117,26,170,170,58,67,1346
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070114,0,256,106,30,160,160,58,72,1101
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070115,3,250,144,40,180,220,72,81,1233
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070116,30,189,44,55,330,350,94,103,2005
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070117,0,122,33,56,60,70,81,103,932
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070118,5,94,56,25,60,80,67,81,15
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070119,15,128,50,33,340,330,67,76,838
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070120,0,156,44,35,30,20,67,89,840
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070121,58,194,89,40,180,180,67,81,1245
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070122,246,189,83,40,310,330,81,94,851
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070123,0,94,61,34,340,360,58,72,906
GHCND:USW00013839,DOTHAN REGIONAL AIRPORT AL US,20070124,3,100,56,30,330,330,58,63,230
