STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070101,0,76,0,-17,-83,44,320,340,94,125,100,302
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070102,0,76,0,-11,-89,60,220,210,125,139,2259,2246
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070103,0,51,0,17,-33,63,200,200,94,112,1733,1704
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070104,0,51,0,11,-6,32,260,230,63,89,3,1135
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070105,3,25,0,11,-6,46,310,270,76,103,1359,639
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070106,0,25,0,-6,-56,47,290,290,76,98,130,131
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070107,5,25,10,-11,-67,60,290,300,103,125,2137,1547
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070108,0,51,0,-44,-117,47,310,320,80,125,2322,2341
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070109,0,51,0,-94,-167,64,290,310,116,156,612,1333
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070110,0,51,0,-39,-167,55,130,110,98,116,1359,1802
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070111,20,76,30,-11,-122,39,330,310,80,103,2205,2206
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070112,0,76,0,-117,-222,50,330,320,89,107,534,530
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070113,0,76,0,-122,-244,34,240,240,72,80,1413,1411
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070114,0,76,0,-106,-178,38,360,360,72,89,2119,2215
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070115,0,76,0,-122,-206,48,350,350,67,94,1237,1507
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070116,0,76,0,-111,-239,43,220,220,76,98,2321,2337
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070117,0,76,0,-28,-161,73,210,210,107,134,2051,2051
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070118,5,102,20,-50,-111,56,300,300,103,125,2049,2049
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070119,0,102,0,-106,-183,48,320,310,89,112,1002,1004
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070120,0,76,0,-56,-228,38,180,190,76,94,2003,1849
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070121,10,76,15,-50,-83,23,200,190,63,72,14,8
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070122,0,102,0,-44,-94,49,220,210,89,116,1921,1922
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070123,0,102,0,-50,-183,41,350,350,89,107,1007,1029
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070124,0,102,13,-78,-200,31,340,350,72,89,2037,2038
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070125,3,102,3,-78,-194,31,200,210,72,89,2301,2301
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070126,0,102,0,6,-89,43,340,300,89,116,2008,2351
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070127,0,102,10,-50,-172,65,330,310,112,143,928,1407
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070128,0,102,0,-133,-233,42,340,330,80,98,203,125
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070129,5,102,13,-117,-172,34,350,350,67,94,2239,2359
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070130,0,102,0,-122,-211,63,280,280,94,107,1445,1443
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070131,0,102,0,-94,-167,36,200,190,63,72,825,823
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070201,0,102,3,-139,-217,43,320,290,63,76,301,1702
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070202,0,102,0,-167,-256,46,270,260,80,98,1440,1219
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070203,0,102,0,-228,-289,54,260,270,103,116,1504,1433
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070204,0,102,0,-233,-317,52,280,290,89,107,1507,1450
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070205,0,102,0,-194,-306,46,310,300,72,94,1239,1240
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070206,0,102,0,-156,-289,32,310,310,72,94,2357,2358
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070207,0,102,0,-139,-250,71,270,290,103,134,2056,1630
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070208,0,102,0,-106,-233,65,300,300,98,125,1253,1010
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070209,0,102,0,-144,-239,64,290,320,98,125,2357,1452
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070210,0,102,0,-128,-250,63,320,320,98,130,19,20
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070211,0,102,0,-89,-172,47,290,260,76,94,1412,1052
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070212,0,102,0,-100,-200,27,360,10,58,67,17,43
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070213,0,102,0,-106,-200,32,10,360,58,67,1635,1536
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070214,0,102,0,-133,-239,42,330,320,76,98,2248,2254
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070215,0,102,0,-100,-233,59,240,240,80,98,2348,2349
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070216,8,102,28,-89,-167,51,220,210,89,112,538,445
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070217,0,127,0,-72,-144,59,300,300,98,125,1612,1613
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070218,0,127,0,-89,-233,36,150,150,76,94,2327,2327
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070219,0,102,0,28,-83,51,310,310,89,112,1938,1938
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070220,0,102,0,22,-111,45,220,220,76,94,1914,1926
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070221,0,102,0,50,-44,63,310,310,139,183,2328,2315
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070222,0,76,0,-22,-89,49,320,310,143,174,9,9
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070223,25,76,25,-56,-89,84,100,90,134,170,1953,2001
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070224,15,102,25,-44,-67,105,80,80,148,183,2251,2300
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070225,269,229,287,-33,-61,104,80,80,161,201,17,18
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070226,30,381,74,-28,-61,61,60,60,103,125,1328,1401
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070227,30,406,53,-28,-67,33,90,90,54,63,2109,2110
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070228,0,406,5,-11,-44,66,70,70,130,156,2357,2358
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070301,236,432,417,-22,-44,141,70,70,201,250,1957,1934
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070302,38,686,81,-39,-106,74,60,70,165,201,117,118
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070303,0,686,0,-33,-144,54,320,350,89,107,956,1533
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070304,0,635,0,0,-144,76,300,310,134,170,2038,1912
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070305,0,559,0,-111,-217,38,320,330,103,125,19,2356
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070306,18,533,18,-111,-178,19,190,200,63,72,923,934
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070307,0,533,0,-50,-233,22,280,280,54,63,1528,1528
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070308,0,508,0,-17,-133,43,130,130,76,94,1527,1528
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070309,0,381,0,72,-17,61,280,290,116,139,1357,1357
GHCND:USW00014913,DULUTH INTERNATIONAL AIRPORT MN US,20070310,0,381,0,78,-28,58,290,290,98,112,1303,1223
