STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070101,13,-9999,-9999,6,-61,42,320,320,94,116,314,407
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070102,0,-9999,-9999,33,-78,46,210,190,98,116,1301,1253
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070103,0,-9999,-9999,67,-17,47,190,180,80,98,1302,1303
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070104,0,-9999,-9999,67,28,40,190,200,72,94,1144,1151
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070105,0,-9999,-9999,39,6,34,290,300,67,80,1141,1152
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070106,0,-9999,-9999,11,-22,41,240,240,72,94,1440,1441
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070107,0,-9999,-9999,22,-28,54,280,280,94,112,2040,2040
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070108,0,-9999,-9999,6,-89,23,280,260,80,107,113,25
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070109,0,-9999,-9999,-50,-117,54,270,270,107,134,1337,1337
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070110,0,-9999,-9999,6,-128,45,130,140,103,125,1335,1336
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070111,0,-9999,-9999,44,-17,33,330,330,67,80,2146,2122
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070112,0,-9999,-9999,-17,-144,46,330,320,67,80,1826,1811
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070113,0,-9999,-9999,-83,-161,18,350,340,40,54,249,252
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070114,20,-9999,-9999,-50,-89,30,40,40,54,63,1847,1919
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070115,20,-9999,-9999,-78,-183,37,310,310,63,76,1509,1601
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070116,0,-9999,-9999,-117,-228,22,220,220,45,58,1534,1536
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070117,0,-9999,-9999,-39,-194,47,190,180,94,116,1344,1357
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070118,3,-9999,-9999,-39,-89,45,280,270,94,112,2356,2308
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070119,0,-9999,-9999,-56,-189,38,290,270,94,112,101,319
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070120,0,-9999,-9999,-67,-228,22,140,140,58,72,1521,1553
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070121,28,-9999,-9999,-50,-100,13,140,140,40,54,12,13
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070122,0,-9999,-9999,-39,-94,32,240,200,72,80,1902,1534
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070123,0,-9999,-9999,-33,-100,31,270,220,58,72,14,1657
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070124,0,-9999,-9999,-44,-150,19,300,300,72,80,1408,1408
GHCND:USW00014991,EAU CLAIRE REGIONAL AIRPORT WI US,20070125,0,-9999,-9999,-67,-156,25,190,230,54,63,1517,1924
