STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070101,0,-9999,0,0,-128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070102,0,-9999,0,-11,-150
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070103,0,-9999,0,-11,-128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070104,0,-9999,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070105,-9999,-9999,-9999,61,-39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070106,-9999,-9999,-9999,-22,-222
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070107,-9999,-9999,-9999,-39,-150
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070108,0,-9999,0,-9999,-122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070109,0,-9999,0,39,-128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070110,0,-9999,0,28,-150
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070111,0,-9999,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070112,-9999,-9999,-9999,72,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070113,0,-9999,-9999,22,-50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070114,-9999,-9999,-9999,-39,-128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070115,-9999,-9999,-9999,-111,-228
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070116,-9999,-9999,-9999,-122,-272
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070117,0,-9999,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070118,0,-9999,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070119,0,-9999,0,-39,-222
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070120,0,-9999,0,-56,-189
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070121,-9999,-9999,-9999,-50,-100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070122,-9999,-9999,-9999,-28,-189
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070123,0,-9999,0,-50,-189
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070124,0,-9999,0,-39,-189
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070125,0,-9999,0,0,-178
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070126,0,-9999,0,0,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070127,0,-9999,0,0,-150
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070128,0,-9999,-9999,-11,-178
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070129,0,-9999,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070130,0,-9999,0,22,-100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070131,-9999,-9999,-9999,22,-50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070201,0,-9999,-9999,-22,-222
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070202,-9999,-9999,-9999,-78,-222
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070203,-9999,-9999,-9999,-61,-72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070204,0,-9999,0,22,-122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070205,0,-9999,0,39,-111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070206,0,-9999,0,72,-78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070207,0,-9999,0,78,-56
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070208,0,-9999,0,94,-67
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070209,0,-9999,0,72,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070210,-9999,-9999,-9999,72,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070211,-9999,-9999,-9999,72,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070212,-9999,-9999,-9999,72,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070213,-9999,-9999,-9999,39,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070214,-9999,-9999,-9999,11,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070215,-9999,-9999,-9999,0,-100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070216,-9999,-9999,-9999,0,-39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070217,-9999,-9999,-9999,61,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070218,0,-9999,0,61,-89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070219,-9999,-9999,-9999,89,-6
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070220,0,-9999,-9999,61,-72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070221,0,-9999,0,100,-72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070222,0,-9999,-9999,100,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070223,0,-9999,0,128,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070224,-9999,-9999,-9999,72,-39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070225,-9999,-9999,-9999,-11,-89
