STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070101,0,51,0,11,-133,20,230,220,58,67,1400,1400
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070102,0,51,0,0,-117,14,100,120,40,45,335,1933
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070103,0,51,0,72,-72,16,230,230,67,76,2331,2324
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070104,51,25,81,67,-44,22,280,240,76,112,122,407
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070105,0,102,0,-39,-167,25,320,110,94,112,245,159
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070106,0,76,0,-6,-178,28,190,200,76,98,1550,1307
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070107,0,76,0,0,-161,13,270,270,45,54,1726,1727
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070108,0,51,0,17,-133,14,250,250,45,45,1116,1116
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070109,0,51,0,-17,-133,13,80,120,36,36,922,911
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070110,0,51,0,61,-156,19,310,310,89,98,2317,2317
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070111,18,51,33,-22,-189,22,40,60,67,80,1744,1743
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070112,0,76,0,-89,-222,22,340,40,67,80,1925,1655
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070113,0,76,0,-117,-267,24,250,250,67,80,1418,1511
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070114,0,76,0,-83,-211,13,100,100,54,54,2303,2302
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070115,0,76,0,-94,-256,19,110,110,40,40,805,748
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070116,0,76,0,-67,-233,23,100,90,45,54,2159,2152
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070117,0,76,0,-50,-228,23,220,220,58,72,1444,1505
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070118,0,51,0,-39,-217,13,110,100,40,40,47,44
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070119,0,51,0,-22,-194,15,90,90,45,54,2309,2309
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070120,0,51,0,-6,-200,26,320,320,112,134,1421,1421
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070121,0,51,0,-22,-167,18,220,210,63,72,1304,1308
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070122,0,51,0,-17,-189,17,110,110,45,45,2132,2132
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070123,0,51,0,-11,-194,17,120,110,45,54,37,38
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070124,0,51,0,22,-172,22,100,100,40,45,2314,2313
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070125,0,51,0,39,-156,16,80,90,36,45,154,418
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070126,0,51,0,44,-156,13,100,100,45,54,2129,2130
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070127,0,51,0,22,-106,17,80,80,72,76,1949,1934
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070128,0,51,0,44,-122,18,60,60,54,63,1614,1614
GHCND:USW00024121,ELKO REGIONAL AIRPORT NV US,20070129,0,51,0,11,-156,15,240,240,36,40,1337,1338
