STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070101,28,117,44,36,260,260,98,130,2330
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070102,0,61,-38,56,290,280,98,134,502
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070103,0,111,-55,26,220,210,94,103,1203
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070104,0,144,-32,20,230,220,89,103,1307
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070105,56,150,72,26,220,230,72,94,830
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070106,33,172,44,54,250,250,148,192,1310
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070107,48,67,-5,23,280,160,76,107,1853
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070108,38,78,-5,54,280,260,143,179,1300
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070109,0,28,-66,40,270,270,103,125,1723
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070110,0,-16,-99,47,280,280,112,148,1301
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070111,0,28,-116,30,210,200,89,103,1307
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070112,0,89,11,31,240,240,81,103,919
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070113,69,94,-5,22,20,10,89,116,718
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070114,51,11,-10,24,20,10,58,72,1524
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070115,145,72,-16,22,60,60,72,76,2039
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070116,3,-5,-99,47,300,290,98,130,906
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070117,0,-27,-127,12,280,290,54,81,1
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070118,0,0,-110,26,200,200,103,130,1230
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070119,3,11,-43,47,260,260,112,161,1158
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070120,0,-43,-121,61,290,290,134,174,1131
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070121,0,-55,-138,21,160,150,54,67,2356
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070122,3,-21,-60,10,20,10,58,67,1813
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070123,0,6,-88,27,210,240,76,98,1338
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070124,0,6,-66,23,260,250,63,76,1422
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070125,0,-60,-160,32,320,300,81,107,1955
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070126,0,-77,-188,31,290,290,103,125,1315
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070127,3,17,-88,14,300,300,76,98,2244
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070128,0,6,-99,26,50,10,63,76,1249
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070129,0,-55,-121,34,270,260,94,107,1641
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070130,8,-38,-143,9,190,240,54,67,1129
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070131,0,-38,-171,31,250,240,103,139,1221
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070201,0,6,-82,26,200,230,72,94,1147
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070202,15,11,-60,21,270,250,107,134,2316
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070203,0,-60,-127,63,250,240,112,157,2126
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070204,0,-93,-155,62,240,230,107,139,2117
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070205,0,-110,-177,68,270,280,139,165,1616
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070206,0,-93,-177,51,240,230,94,112,254
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070207,0,-71,-160,52,280,280,112,139,1333
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070208,0,-43,-149,52,270,260,112,157,1259
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070209,0,-32,-110,53,290,290,125,148,916
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070210,0,-43,-132,43,270,260,98,116,1316
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070211,0,-10,-171,34,250,250,89,107,2336
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070212,0,-10,-88,36,30,30,72,81,1748
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070213,56,-82,-143,37,360,20,67,76,425
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070214,142,-99,-127,38,280,300,107,143,2348
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070215,0,-99,-166,60,270,280,125,165,1439
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070216,0,-49,-132,59,260,260,116,148,1318
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070217,0,0,-193,30,220,220,89,103,1633
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070218,0,-43,-155,44,280,310,107,139,1654
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070219,0,-27,-238,23,190,200,54,72,1759
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070220,3,89,-132,12,220,220,72,89,1333
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070221,0,56,-82,19,10,360,58,63,638
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070222,18,39,-99,31,280,270,107,143,2136
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070223,0,-21,-105,54,300,280,116,161,120
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070224,0,-21,-132,25,30,290,63,76,57
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070225,25,0,-149,21,100,100,63,81,1411
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070226,10,22,-16,7,70,140,40,45,251
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070227,3,22,-16,11,90,90,36,40,1642
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070228,0,28,-21,21,280,300,58,67,1426
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070301,3,50,-32,26,130,100,67,98,2132
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070302,117,94,11,43,230,240,107,139,1528
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070303,0,61,-49,43,220,260,116,157,1759
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070304,0,-10,-38,59,260,270,107,148,1348
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070305,0,-5,-116,72,290,270,148,192,1431
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070306,0,-110,-177,42,310,290,103,165,207
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070307,0,-60,-149,21,30,260,67,76,2252
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070308,0,-43,-143,38,10,10,94,107,1345
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070309,0,33,-166,23,210,200,72,89,1442
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070310,0,100,-55,16,220,220,63,76,1648
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070311,0,44,-38,28,290,280,98,116,718
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070312,0,122,-66,14,250,250,72,89,1317
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070313,0,194,6,17,240,240,89,112,1451
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070314,79,161,22,18,230,220,63,94,1124
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070315,236,94,-49,34,10,10,107,134,44
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070316,46,-43,-66,38,20,10,72,98,20
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070317,0,-32,-77,43,290,280,94,125,2149
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070318,0,0,-82,56,280,300,134,170,1411
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070319,5,28,-149,26,190,200,107,134,1259
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070320,0,33,-99,47,320,320,103,139,840
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070321,3,72,-127,30,210,210,94,112,1211
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070322,13,172,-5,26,240,230,81,125,1133
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070323,0,111,-16,9,270,280,58,67,8
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070324,51,111,-27,23,280,300,89,112,2037
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070325,0,111,22,24,330,10,63,89,15
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070326,112,189,28,30,360,10,103,112,2120
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070327,0,222,50,26,10,360,98,107,1425
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070328,0,100,-32,43,10,360,94,116,311
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070329,0,94,-49,34,10,20,81,103,1548
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070330,0,161,-66,26,10,50,81,98,1455
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070331,0,122,-32,16,80,80,45,58,1215
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070401,33,100,11,22,200,150,76,103,1016
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070402,0,217,11,37,270,280,116,148,1537
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070403,0,200,-10,20,180,170,76,103,2347
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070404,28,150,11,47,260,270,103,125,2005
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070405,8,11,-43,64,260,230,116,161,1301
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070406,0,-5,-66,46,270,260,89,107,732
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070407,0,6,-93,37,300,300,107,130,1614
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070408,0,11,-60,51,260,260,112,130,1346
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070409,0,28,-27,31,270,270,76,94,333
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070410,0,61,-60,30,270,320,89,134,1354
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070411,23,122,-77,26,170,170,89,103,1621
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070412,86,78,11,31,250,250,76,94,1950
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070413,0,39,6,59,270,250,116,148,1042
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070414,5,106,-43,33,100,100,76,94,2211
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070415,86,33,6,39,360,360,89,107,2048
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070416,104,22,0,46,330,310,94,139,901
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070417,8,39,17,45,350,360,94,143,1739
GHCND:USW00014748,ELMIRA CORNING REGIONAL AIRPORT NY US,20070418,0,100,22,32,360,10,72,89,1250
