STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070101,20,0,0,117,22,59,270,300,98,130,2325,1757
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070102,0,0,0,39,-6,45,300,310,80,107,155,38
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070103,0,0,0,94,17,62,210,200,89,116,1034,2056
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070104,8,0,0,139,67,67,180,180,98,130,1543,1611
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070105,241,0,0,139,100,51,200,190,125,165,248,250
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070106,71,0,0,133,50,51,260,250,139,174,601,600
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070107,33,0,0,61,0,32,140,130,103,125,1744,1744
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070108,38,0,18,67,-11,67,250,240,125,192,1845,1326
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070109,13,25,15,11,-22,63,300,270,98,134,2217,2328
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070110,5,25,10,-17,-61,61,280,290,107,139,341,723
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070111,0,25,0,83,-61,86,180,190,139,183,1957,1958
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070112,58,0,0,111,39,69,210,220,112,143,512,445
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070113,119,0,0,111,6,50,40,60,80,103,721,721
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070114,61,0,0,22,11,41,60,70,72,80,2234,2238
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070115,310,0,0,44,-6,37,270,260,76,107,1857,1932
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070116,3,0,3,-6,-67,47,340,350,80,103,1852,1807
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070117,0,0,0,-22,-56,41,280,320,72,94,2353,1118
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070118,0,0,0,22,-56,65,200,190,94,116,1843,1850
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070119,61,25,79,11,-44,84,280,300,130,165,2143,1854
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070120,8,25,15,-39,-56,59,280,290,116,148,145,616
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070121,5,25,3,-28,-89,28,140,140,76,94,1209,1207
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070122,23,51,20,-11,-28,31,290,300,63,76,2346,2346
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070123,23,102,71,-6,-33,51,220,240,94,112,1504,1133
GHCND:USW00014860,ERIE INTERNATIONAL AIRPORT PA US,20070124,58,76,58,-11,-44,27,300,290,67,80,311,232
