STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070101,0,-9999,-9999,100,11,26,140,160,63,67,1041,1936
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070102,239,-9999,-9999,133,50,46,190,190,94,107,1437,1437
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070103,325,-9999,-9999,111,44,40,270,270,80,98,1212,1212
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070104,97,-9999,-9999,56,0,31,340,330,76,80,1131,1127
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070105,61,-9999,-9999,56,0,60,170,170,107,130,2151,2214
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070106,102,-9999,-9999,100,50,43,190,180,103,125,335,332
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070107,5,-9999,-9999,117,67,61,210,200,112,134,1227,1222
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070108,0,-9999,-9999,133,44,26,180,190,63,76,2359,1
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070109,30,-9999,-9999,139,33,46,230,230,112,134,1545,1546
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070110,28,-9999,-9999,44,-28,30,270,300,89,107,1517,1345
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070111,30,-9999,-9999,28,-39,34,10,10,72,89,1306,1402
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070112,0,-9999,-9999,-6,-72,25,350,350,58,63,513,452
GHCND:USW00024221,EUGENE MAHLON SWEET AIRPORT OR US,20070113,0,-9999,-9999,-11,-83,8,150,150,31,36,1419,1420
