STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070101,91,-9999,-9999,228,128,51,190,240,94,139,2036,1730
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070102,0,-9999,-9999,133,17,28,10,360,76,107,1055,1056
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070103,0,-9999,-9999,178,-11,9,100,100,40,54,1531,1533
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070104,3,-9999,-9999,222,56,13,150,160,72,94,1404,1406
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070105,23,-9999,-9999,233,156,33,160,150,80,112,2350,2351
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070106,132,-9999,-9999,222,106,42,180,140,112,183,351,352
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070107,43,-9999,-9999,211,67,23,150,140,103,148,2100,2100
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070108,94,-9999,-9999,211,72,44,180,280,103,139,925,540
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070109,0,-9999,-9999,128,-6,34,230,220,107,170,1719,1722
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070110,0,-9999,-9999,72,-28,31,300,300,80,116,949,1107
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070111,0,-9999,-9999,111,-39,9,70,90,36,54,1447,1606
GHCND:USW00093719,NEW BERN CRAVEN CO REGIONAL AIRPORT NC US,20070112,0,-9999,-9999,217,22,10,190,180,63,94,1225,1215
