STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070101,353,0,0,133,72,32,150,160,76,103,409,409
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070102,0,0,0,100,39,64,330,320,125,156,1227,1000
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070103,0,0,0,117,0,46,240,240,98,125,1109,1510
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070104,0,0,0,139,22,38,240,260,67,80,1231,1339
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070105,20,0,0,167,83,35,230,240,76,107,952,1825
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070106,0,0,0,222,128,75,270,270,130,161,1949,1324
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070107,64,0,0,128,72,39,320,320,103,125,1,7
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070108,320,0,0,139,28,59,280,280,134,170,1730,1731
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070109,0,0,0,72,0,58,250,230,130,161,1230,1237
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070110,3,0,3,28,-22,66,320,320,130,161,1132,1146
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070111,0,0,0,33,-44,34,210,220,67,89,2258,2318
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070112,0,0,0,100,11,49,260,260,80,94,1446,1447
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070113,5,0,0,133,56,41,250,250,72,89,1124,1124
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070114,15,0,0,78,44,36,30,30,67,76,2327,2359
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070115,5,0,0,106,39,23,30,30,67,72,7,2359
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070116,0,0,0,128,-56,75,320,320,139,170,2155,2212
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070117,0,0,0,-6,-72,54,330,330,116,143,529,533
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070118,8,0,8,28,-61,18,10,20,40,45,1907,1917
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070119,28,0,28,67,-6,57,320,320,125,165,1451,1334
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070120,0,0,0,11,-61,87,320,320,143,192,1522,1607
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070121,0,0,0,-17,-72,34,310,310,80,103,19,128
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070122,0,0,0,6,-44,19,210,310,45,63,1900,43
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070123,0,0,0,39,-17,46,320,310,98,116,1120,1121
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070124,0,0,0,61,-28,44,320,320,80,107,1324,1322
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070125,0,0,0,28,-94,57,340,340,134,165,2359,2359
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070126,0,0,0,-44,-128,71,320,320,139,197,316,317
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070127,0,0,0,28,-61,26,240,240,63,72,1930,1459
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070128,38,0,30,56,-17,25,20,20,89,98,2329,2318
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070129,23,25,23,-11,-61,71,340,330,107,165,1352,1354
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070130,5,25,5,22,-72,46,220,210,103,116,1723,1724
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070131,3,25,3,17,-44,54,340,320,112,148,1126,1112
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070201,0,0,0,17,-44,38,220,240,94,107,1253,1110
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070202,53,0,0,44,-6,30,270,270,72,80,2358,2358
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070203,0,0,0,17,-56,71,260,270,125,156,135,1515
GHCND:USW00014734,NEWARK INTERNATIONAL AIRPORT NJ US,20070204,0,0,0,-33,-83,77,270,280,139,165,420,421
