STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070101,0,-9999,0,-61,-144,33,180,180,63,72,1944,1945
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070102,0,-9999,0,-17,-122,58,190,180,80,107,1447,1552
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070103,0,-9999,0,33,-50,52,180,180,72,94,1223,1318
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070104,0,-9999,0,22,-17,23,330,320,54,72,2027,2045
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070105,0,-9999,0,11,-39,47,310,310,67,80,1955,2020
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070106,0,-9999,0,0,-61,55,160,150,89,116,1538,1740
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070107,3,-9999,3,11,-100,55,310,310,125,156,1034,1037
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070108,0,-9999,0,-50,-122,28,340,320,58,67,2118,2107
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070109,0,-9999,0,-72,-144,35,330,330,89,112,420,421
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070110,0,-9999,0,6,-89,65,160,160,134,161,1347,1342
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070111,3,-9999,5,-44,-239,87,320,320,130,165,613,620
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070112,0,-9999,0,-233,-256,56,340,330,107,134,211,248
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070113,0,-9999,0,-139,-256,41,180,180,72,80,1709,1301
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070114,0,-9999,0,-167,-239,64,360,360,98,112,636,920
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070115,0,-9999,0,-183,-261,30,340,340,58,72,59,548
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070116,0,-9999,0,-89,-250,56,160,160,103,125,1617,1617
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070117,0,-9999,0,-17,-122,57,170,170,89,112,952,1113
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070118,0,-9999,0,-44,-128,55,310,310,116,143,1141,1240
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070119,0,-9999,0,-89,-189,22,160,150,72,89,2357,2358
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070120,0,-9999,0,0,-122,60,160,150,130,161,1101,1101
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070121,0,-9999,3,-61,-117,44,350,350,89,107,1335,1335
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070122,0,-9999,0,-28,-122,50,220,210,94,116,1432,1433
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070123,5,-9999,8,-61,-117,29,360,360,63,76,1005,1015
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070124,0,-9999,0,-39,-122,27,340,340,80,94,1208,1150
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070125,0,-9999,0,-28,-161,51,190,190,112,143,2228,2147
GHCND:USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT ND US,20070126,0,-9999,0,22,-56,66,310,310,139,174,1311,1312
