STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070101,23,-9999,217,106,59,290,230,103,130,1117
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070102,0,-9999,144,33,30,20,20,81,103,947
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070103,0,-9999,178,0,11,20,20,31,40,1456
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070104,0,-9999,211,72,20,180,170,76,89,1427
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070105,63,-9999,228,156,36,190,220,81,107,2308
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070106,117,-9999,211,100,43,270,270,139,179,130
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070107,20,-9999,200,72,32,210,210,72,98,2357
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070108,91,-9999,206,61,51,290,280,107,139,631
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070109,0,-9999,139,-5,51,280,260,139,192,1632
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070110,0,-9999,89,-16,36,340,310,81,98,1234
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070111,0,-9999,117,-38,13,200,200,45,63,1434
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070112,0,-9999,206,22,14,240,230,58,67,1339
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070113,0,-9999,222,72,29,230,240,76,89,1359
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070114,3,-9999,228,94,36,230,250,89,103,1437
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070115,0,-9999,228,133,47,220,240,103,130,1057
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070116,3,-9999,183,67,53,30,30,98,130,1915
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070117,0,-9999,67,11,55,20,20,107,143,232
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070118,91,-9999,28,-5,39,30,30,67,81,453
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070119,0,-9999,133,28,41,290,280,81,98,1605
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070120,0,-9999,94,-16,33,330,320,89,107,1233
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070121,152,-9999,61,-16,27,20,10,63,72,2245
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070122,97,-9999,61,22,20,320,10,54,63,149
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070123,0,-9999,100,17,22,330,340,58,67,1444
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070124,0,-9999,106,-5,24,40,40,72,89,949
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070125,0,-9999,117,17,39,330,340,98,116,2346
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070126,0,-9999,100,-43,38,260,260,76,98,1411
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070127,0,-9999,178,17,60,240,260,98,112,1604
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070128,25,-9999,156,17,50,350,340,116,165,2107
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070129,0,-9999,44,-49,48,320,320,116,157,125
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070130,0,-9999,100,-38,39,240,240,98,116,1618
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070131,0,-9999,56,-21,29,20,20,81,103,840
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070201,259,-9999,22,-21,23,40,60,58,72,1245
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070202,15,-9999,94,17,34,270,280,72,89,1930
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070203,0,-9999,83,6,44,270,280,98,116,1445
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070204,0,-9999,117,-16,57,270,260,139,170,1356
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070205,0,-9999,72,-43,36,20,20,98,112,2115
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070206,0,-9999,39,-77,34,220,210,63,81,2352
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070207,0,-9999,150,17,45,230,240,107,139,141
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070208,0,-9999,106,-21,27,330,340,76,98,1405
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070209,0,-9999,83,-32,32,30,10,72,89,1251
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070210,0,-9999,94,-27,25,30,20,67,81,856
GHCND:USW00093740,FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD NC US,20070211,0,-9999,100,-43,22,260,250,58,72,1534
