STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070101,0,127,0,-28,-61,2,70,70,27,31,1651
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070102,20,127,0,67,-33,43,200,100,134,192,2257
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070103,33,25,0,44,6,35,200,160,103,192,2237
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070104,0,25,0,22,-17,30,340,30,67,94,21
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070105,0,25,0,-11,-78,38,160,170,89,125,2240
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070106,3,25,13,22,-67,53,150,140,125,157,219
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070107,10,25,0,39,-44,58,160,160,103,134,1212
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070108,3,25,0,50,-44,11,360,20,94,148,2350
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070109,0,25,0,83,-28,22,210,200,161,215,2327
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070110,0,25,0,72,-111,62,10,20,161,197,2206
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070111,0,25,0,-111,-194,59,10,360,143,179,18
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070112,0,25,0,-122,-211,16,40,260,63,81,29
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070113,5,25,5,-128,-206,10,280,280,40,40,2127
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070114,0,25,0,-100,-200,4,180,150,31,36,1606
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070115,3,25,5,-78,-167,2,280,260,22,27,632
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070116,0,25,0,-89,-189,3,330,330,27,31,523
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070117,3,51,8,-50,-150,2,270,280,22,22,1746
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070118,13,76,38,-39,-178,10,240,210,63,143,648
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070119,8,76,10,-11,-44,5,50,50,27,27,1956
GHCND:USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT MT US,20070120,20,76,25,17,-56,13,140,360,58,94,2323
