STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070101,0,51,0,44,-72,27,70,50,72,89,1546,1545
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070102,0,51,0,67,-72,36,70,70,94,116,413,419
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070103,0,25,0,122,-100,16,230,240,63,76,1344,1340
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070104,0,0,0,83,-67,43,210,210,103,125,2353,2329
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070105,46,0,51,6,-61,57,30,20,116,156,2250,2251
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070106,0,51,0,61,-72,46,50,60,148,179,648,604
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070107,0,51,0,11,-89,47,50,50,103,125,929,910
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070108,0,51,0,89,-111,32,70,90,72,94,1606,1401
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070109,0,25,0,128,-67,20,60,60,54,63,1013,947
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070110,0,25,0,78,-56,38,220,220,94,112,1858,1859
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070111,0,0,0,67,-17,101,210,220,170,210,2323,1952
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070112,58,0,137,11,-89,93,210,230,179,228,1215,1229
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070113,41,152,86,-72,-156,28,220,240,80,103,1318,1239
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070114,0,203,8,-50,-261,15,60,60,67,80,2338,2341
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070115,0,152,0,-72,-150,69,50,40,107,130,2217,2154
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070116,0,127,0,-50,-167,57,50,50,98,139,937,1207
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070117,0,102,0,6,-228,12,40,40,54,63,1305,1541
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070118,0,102,0,0,-211,44,50,70,103,116,1427,1410
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070119,43,102,76,0,-56,51,50,60,98,116,1033,1424
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070120,20,178,51,-11,-39,45,250,230,89,112,1523,1524
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070121,13,203,33,-39,-83,61,40,30,134,165,2359,2143
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070122,3,254,51,-6,-89,73,40,50,148,201,41,42
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070123,0,229,0,56,-111,59,50,50,112,134,1534,1524
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070124,0,178,0,61,-94,39,50,40,80,103,1027,1027
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070125,0,152,0,56,-144,18,70,80,72,89,1406,1442
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070126,0,102,0,83,-133,22,240,230,58,76,1636,1637
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070127,0,102,0,39,-89,26,210,230,89,103,1454,1512
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070128,0,76,0,56,-106,13,50,40,58,67,1422,1408
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070129,0,76,0,94,-61,7,50,70,45,58,1625,1620
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070130,33,51,46,11,-78,22,210,210,72,89,815,820
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070131,48,76,107,6,-78,34,200,300,67,89,1738,1551
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070201,8,203,33,0,-139,40,250,260,94,125,1532,1519
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070202,0,178,0,39,-200,17,250,260,63,80,1036,1254
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070203,0,178,0,89,-150,19,50,50,94,103,1141,1142
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070204,0,127,0,106,-106,13,50,60,58,63,1244,1243
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070205,0,102,0,100,-72,24,70,100,76,94,1235,1229
GHCND:USW00003103,FLAGSTAFF PULLIAM AIRPORT AZ US,20070206,0,76,0,128,-67,13,210,210,63,72,1332,1332
