STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070101,0,-9999,-9999,272,233,43,150,140,76,98,1236,1312
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070102,3,-9999,-9999,272,228,31,50,50,63,76,1148,1149
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070103,0,-9999,-9999,272,239,47,120,110,72,89,1508,1344
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070104,0,-9999,-9999,267,233,55,120,120,89,98,1443,1444
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070105,0,-9999,-9999,272,239,52,150,150,98,107,1522,1516
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070106,0,-9999,-9999,272,222,33,160,150,67,76,1040,954
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070107,0,-9999,-9999,278,244,48,100,110,89,98,1022,1028
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070108,0,-9999,-9999,289,228,37,180,180,72,89,1558,1603
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070109,0,-9999,-9999,244,150,51,360,360,76,103,1526,1527
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070110,0,-9999,-9999,228,122,59,60,50,94,112,1853,2318
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070111,0,-9999,-9999,244,211,76,80,80,107,130,2138,1121
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070112,0,-9999,-9999,267,228,75,110,70,103,130,1240,1211
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070113,0,-9999,-9999,267,228,73,90,80,98,116,2252,1141
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070114,3,-9999,-9999,256,222,64,90,90,94,107,1059,1111
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070115,0,-9999,-9999,267,211,36,100,100,76,98,1043,1044
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070116,3,-9999,-9999,272,217,26,130,130,76,80,1416,1238
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070117,0,-9999,-9999,272,211,34,60,70,76,94,1934,2026
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070118,0,-9999,-9999,272,206,24,120,120,58,67,1502,1503
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070119,0,-9999,-9999,278,206,36,40,40,80,94,1705,1706
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070120,0,-9999,-9999,261,194,47,40,30,76,94,1409,1627
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070121,0,-9999,-9999,261,222,54,120,130,80,98,1312,1338
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070122,0,-9999,-9999,283,228,49,170,160,89,107,1037,1105
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070123,0,-9999,-9999,300,217,29,10,10,67,72,2159,2010
GHCND:USW00012849,FORT LAUDERDALE HOLLYWOOD INTERNATIONAL AIRPORT FL US,20070124,0,-9999,-9999,267,200,32,140,160,67,76,1736,1311
