STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070101,0,25,0,-22,-94,24,310,310,76,94,128,106
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070102,0,25,0,22,-50,48,190,190,89,112,1515,1531
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070103,0,0,0,50,-11,47,190,170,80,103,2015,1441
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070104,0,0,0,67,0,33,300,300,80,103,2126,2117
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070105,0,0,0,22,-22,37,300,300,76,98,2257,2248
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070106,0,0,0,33,-50,43,200,180,89,107,2058,2053
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070107,0,0,0,11,-39,60,320,300,134,183,1106,1240
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070108,0,0,0,50,-44,63,320,320,156,201,2024,2046
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070109,0,0,0,-6,-56,60,320,320,161,228,100,101
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070110,0,0,0,72,-44,65,170,180,116,143,1054,1529
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070111,0,0,0,11,-161,68,340,360,134,161,1529,1538
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070112,0,0,0,-144,-183,63,340,320,98,125,248,336
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070113,0,0,0,-100,-178,14,350,350,63,72,29,30
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070114,43,0,84,-78,-150,43,340,10,76,103,2018,2355
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070115,8,102,18,-150,-250,36,340,350,80,98,320,321
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070116,0,102,0,-133,-289,25,180,180,67,89,2308,2313
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070117,0,102,0,-50,-139,67,190,190,112,139,1246,1247
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070118,3,76,5,-39,-172,43,310,320,143,165,1147,1146
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070119,0,76,0,-22,-128,17,280,280,45,63,552,600
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070120,0,76,0,-17,-161,45,180,180,94,112,1420,1420
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070121,43,102,71,-11,-61,36,350,340,76,98,1845,2008
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070122,0,127,0,-61,-111,31,330,350,67,80,120,112
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070123,10,127,18,6,-89,27,290,290,58,72,350,350
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070124,0,127,0,6,-106,34,350,350,98,125,816,817
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070125,3,127,3,-28,-94,37,190,200,63,76,2241,2036
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070126,0,127,0,33,-61,60,330,320,130,161,1543,2018
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070127,0,102,0,-61,-189,86,310,310,156,197,928,929
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070128,0,102,0,-111,-250,31,180,180,80,98,1643,1643
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070129,5,102,8,-50,-183,81,310,310,161,197,1009,1010
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070130,0,102,0,-144,-217,47,320,320,80,103,359,355
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070131,0,102,0,-56,-178,56,310,320,103,130,1831,1823
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070201,0,102,8,-78,-217,40,350,340,116,139,1909,1659
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070202,0,102,0,-106,-206,56,320,320,107,134,1848,1848
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070203,0,102,0,-194,-256,47,300,310,94,116,1410,1410
GHCND:USW00014944,SIOUX FALLS FOSS FIELD SD US,20070204,0,102,0,-161,-250,34,320,310,76,89,1213,1213
