STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070101,0,0,0,106,0,37,330,320,72,89,512,512
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070102,0,0,0,122,-33,11,40,40,40,54,1249,1250
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070103,0,0,0,139,-11,21,50,60,45,58,1331,1259
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070104,89,0,0,133,78,26,70,80,72,94,832,847
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070105,0,0,0,189,106,26,250,260,89,98,1825,1806
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070106,0,0,0,150,67,26,320,330,76,94,350,350
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070107,3,0,-9999,150,28,41,280,290,107,130,1529,1500
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070108,0,0,0,150,-11,41,260,260,94,107,1441,1442
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070109,0,0,0,122,0,47,320,310,98,125,947,949
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070110,0,0,0,161,-22,39,150,140,76,94,1437,1120
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070111,0,0,0,194,83,38,200,190,80,112,1341,1321
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070112,99,0,-9999,200,33,36,250,270,89,98,2254,1510
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070113,935,0,-9999,44,17,42,250,250,72,94,11,40
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070114,221,0,-9999,39,11,43,260,260,80,98,1652,1654
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070115,23,0,-9999,11,-50,0,260,260,54,58,2356,2357
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070116,0,0,0,-11,-56,4,310,310,40,40,1258,1258
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070117,0,0,0,11,-39,17,110,120,45,45,2349,905
GHCND:USW00013964,FORT SMITH REGIONAL AIRPORT AR US,20070118,0,0,0,50,-11,28,260,270,72,80,1519,1520
