STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070101,3,0,0,72,-6,60,240,240,139,174,50,100
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070102,0,0,0,56,-39,32,220,220,67,80,1432,1434
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070103,0,0,0,78,-17,47,230,220,94,107,1438,1441
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070104,117,0,0,117,17,57,220,190,94,116,1943,2357
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070105,91,0,0,117,89,30,230,230,103,125,13,14
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070106,3,0,0,89,-11,49,250,250,116,139,657,657
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070107,25,0,0,22,-28,23,80,130,54,67,1023,1415
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070108,0,0,0,33,-17,80,270,280,139,183,628,612
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070109,0,0,0,17,-22,66,280,290,107,148,1519,1847
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070110,0,0,0,-6,-61,42,280,280,89,103,28,35
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070111,8,0,0,67,-17,76,210,210,116,156,2245,2245
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070112,178,0,0,111,50,47,210,210,94,107,751,3
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070113,66,0,0,72,0,40,10,360,76,94,623,624
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070114,185,0,0,17,0,44,70,70,98,112,2144,2128
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070115,180,0,0,22,-11,48,270,270,98,116,1412,1412
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070116,0,0,0,-11,-72,33,340,340,72,89,1422,1425
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070117,0,0,0,-17,-89,28,190,190,72,89,1317,1319
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070118,0,0,10,17,-67,56,260,260,112,143,2047,2048
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070119,0,0,0,-6,-50,83,270,270,139,165,44,46
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070120,0,0,0,-17,-89,26,260,260,54,63,227,227
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070121,64,25,66,-17,-44,36,120,130,80,103,1055,1053
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070122,0,25,0,-11,-28,38,260,260,80,98,2329,2330
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070123,0,25,0,-6,-39,65,230,240,116,139,852,1237
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070124,0,25,0,-17,-50,43,270,270,89,103,1452,1447
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070125,0,25,5,-33,-106,44,330,320,89,112,1415,1546
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070126,0,25,0,44,-111,77,230,240,139,174,2250,2245
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070127,0,0,3,44,-33,67,270,270,107,134,1721,1729
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070128,5,0,20,-33,-139,72,270,270,130,148,1406,1406
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070129,5,25,20,-56,-128,46,210,210,80,98,1235,1235
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070130,20,76,97,-44,-122,77,270,270,130,165,1213,1238
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070131,0,76,0,-72,-172,46,270,270,80,103,2358,27
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070201,0,51,5,-39,-106,33,240,240,67,76,1138,1139
GHCND:USW00014827,FORT WAYNE INTERNATIONAL AIRPORT IN US,20070202,0,76,15,-50,-172,64,270,270,125,161,1551,1637
