STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070101,0,102,0,-67,-194,39,180,180,76,89,1850,1850
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070102,0,102,0,-22,-150,53,160,160,103,116,921,920
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070103,0,102,0,50,-83,54,180,180,80,98,819,739
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070104,48,76,0,61,-17,35,300,300,76,94,1817,1820
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070105,0,25,0,11,-22,45,300,310,76,94,1717,1403
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070106,0,25,3,-17,-100,59,180,180,103,130,1333,1443
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070107,0,25,3,-6,-150,66,320,300,130,170,710,945
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070108,0,25,0,-72,-167,28,360,360,63,67,1359,1356
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070109,0,25,0,-67,-167,40,310,310,112,139,339,340
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070110,0,25,0,-11,-122,58,160,150,116,143,1311,1311
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070111,0,25,3,-39,-267,87,350,350,125,148,852,1037
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070112,0,25,0,-222,-289,44,340,340,103,125,120,115
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070113,0,25,0,-128,-272,47,360,360,89,116,2345,2355
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070114,0,25,0,-189,-267,58,10,360,98,125,2,315
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070115,0,25,0,-172,-289,11,310,270,31,31,2106,608
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070116,0,25,0,-106,-278,61,180,180,103,130,1411,1649
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070117,0,25,0,-56,-117,58,190,190,98,116,445,446
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070118,0,25,0,-39,-167,54,300,310,116,148,1516,1525
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070119,0,25,0,-111,-217,30,180,180,72,94,2337,2338
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070120,0,25,0,-28,-133,58,180,180,112,139,1153,1157
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070121,0,25,0,-56,-128,47,10,10,80,94,1209,1210
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070122,0,25,0,-11,-150,44,250,250,80,98,1401,1409
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070123,3,25,8,-72,-150,27,10,360,72,89,400,402
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070124,0,25,0,-44,-117,31,310,330,72,98,1205,1313
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070125,0,25,0,-33,-133,53,180,180,98,116,1936,1938
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070126,0,51,10,11,-117,77,310,300,143,179,1121,1203
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070127,0,51,3,-117,-261,91,340,350,165,201,1035,713
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070128,5,51,13,-83,-278,54,330,180,103,125,1558,2120
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070129,0,51,0,-106,-211,90,350,350,143,170,1422,1233
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070130,0,51,0,-128,-256,42,190,190,76,94,1827,1828
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070131,0,51,8,-133,-222,51,350,360,125,143,940,944
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070201,8,76,8,-144,-250,64,360,350,139,161,1200,1048
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070202,0,76,0,-161,-283,58,350,360,116,134,1516,1516
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070203,0,76,0,-233,-322,38,310,330,67,80,38,1521
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070204,0,76,0,-233,-339,17,280,330,40,45,551,337
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070205,0,76,0,-233,-350,14,140,140,45,54,2359,2359
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070206,13,76,23,-189,-306,42,350,350,72,80,1709,1710
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070207,0,76,0,-194,-311,39,300,290,67,76,1952,1951
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070208,0,76,0,-172,-278,43,300,300,63,76,1042,1132
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070209,0,76,0,-183,-278,39,350,340,67,94,1303,1304
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070210,0,76,0,-122,-294,35,260,260,76,80,1545,1545
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070211,0,76,0,-122,-206,43,350,360,72,89,2054,2105
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070212,0,76,0,-189,-267,47,350,360,94,107,1539,1556
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070213,0,76,0,-211,-300,36,350,350,67,76,1652,1652
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070214,0,76,0,-167,-294,32,350,340,58,67,1543,1536
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070215,0,76,0,-133,-294,64,190,180,125,148,2035,1959
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070216,0,76,0,-61,-156,53,350,350,116,139,1550,1602
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070217,0,76,3,-83,-139,36,340,330,94,112,229,233
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070218,0,76,0,-44,-150,72,180,180,134,170,1855,1859
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070219,0,76,0,-22,-128,49,330,340,94,112,1151,1152
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070220,0,76,0,0,-144,29,180,180,54,67,432,529
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070221,5,51,0,33,-128,62,300,290,143,174,1226,1208
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070222,0,51,0,-61,-172,20,80,310,40,58,157,2359
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070223,0,51,0,-6,-67,80,110,120,139,170,1443,1438
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070224,61,51,69,-28,-44,54,130,130,116,143,35,36
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070225,33,152,102,-39,-56,49,10,10,80,89,1607,1437
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070226,10,152,20,-28,-122,36,10,10,58,63,906,904
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070227,8,152,10,-33,-144,19,160,150,45,63,2234,2248
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070228,15,152,43,0,-83,56,100,110,103,125,1744,1801
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070301,117,279,216,-11,-56,68,50,30,98,130,2250,2257
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070302,10,406,28,-56,-122,107,350,350,170,206,1432,1433
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070303,0,406,0,-94,-172,59,340,350,107,139,101,131
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070304,0,381,3,0,-178,74,350,10,143,165,1706,1710
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070305,0,356,0,-172,-256,31,10,360,80,98,0,29
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070306,3,356,5,-94,-178,38,180,190,94,107,1125,1126
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070307,0,381,15,-72,-128,33,190,180,94,107,2312,2246
GHCND:USW00014916,GRAND FORKS INTERNATIONAL AIRPORT ND US,20070308,0,356,0,0,-72,82,180,180,112,139,1118,1400
