STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070101,0,0,0,67,-67,23,160,140,58,67,1109,1126
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070102,0,0,0,39,-61,31,120,110,80,89,600,601
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070103,0,0,0,50,-61,13,70,70,40,45,248,250
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070104,0,0,0,78,-67,17,320,320,112,130,2259,2259
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070105,43,25,28,22,-67,41,350,350,98,112,1418,1419
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070106,0,25,0,-33,-122,26,120,130,98,107,1030,1030
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070107,0,0,0,6,-128,26,120,120,63,67,1044,1044
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070108,0,0,0,11,-117,18,100,100,67,72,141,142
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070109,0,0,0,33,-94,19,290,320,45,54,1419,1442
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070110,0,0,0,44,-100,16,100,110,54,58,426,429
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070111,0,0,0,106,-72,38,190,210,130,170,1945,2324
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070112,18,0,30,89,-61,62,170,170,143,179,1016,1017
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070113,38,51,79,-44,-133,24,340,330,63,67,33,34
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070114,15,76,18,-72,-200,27,20,30,58,58,1734,1734
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070115,0,76,0,-78,-222,27,140,130,63,72,2339,2352
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070116,0,51,0,-72,-194,26,130,120,72,76,353,426
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070117,0,51,0,-72,-206,17,110,110,54,58,725,734
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070118,0,51,0,-28,-194,12,90,80,36,40,2155,2111
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070119,0,51,0,-28,-178,23,120,120,67,67,622,622
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070120,3,51,8,-44,-144,17,310,290,54,54,1625,1439
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070121,8,76,18,-17,-100,27,100,100,76,76,2302,2255
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070122,0,76,0,-11,-128,36,130,130,89,89,850,850
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070123,0,51,0,17,-122,35,130,130,76,94,852,909
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070124,0,51,0,33,-94,33,130,140,98,107,937,932
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070125,0,51,0,33,-100,21,80,210,40,45,1119,209
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070126,0,25,0,22,-94,21,300,290,45,45,1606,1545
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070127,0,0,0,33,-72,21,150,140,54,58,1021,1011
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070128,0,0,0,33,-83,13,130,130,54,54,936,935
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070129,0,0,0,33,-94,22,140,150,54,54,1045,931
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070130,0,0,0,39,-89,18,100,100,58,63,215,216
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070131,0,0,0,22,-78,30,30,30,72,80,1233,1309
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070201,0,0,3,-22,-122,32,40,40,89,98,1946,1920
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070202,0,0,0,-22,-156,17,120,310,54,58,1451,917
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070203,0,0,0,33,-117,19,110,110,54,54,2331,2247
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070204,0,0,0,72,-89,22,100,100,67,72,2313,2314
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070205,0,0,0,122,-50,30,110,110,67,72,152,157
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070206,0,0,0,100,-33,21,300,300,45,54,1624,1628
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070207,0,0,0,111,-22,16,110,110,58,63,311,315
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070208,0,0,0,117,-11,21,120,120,63,67,500,501
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070209,0,0,0,122,6,17,100,310,58,67,1441,612
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070210,0,0,0,133,22,26,130,130,67,76,2225,2226
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070211,43,0,0,106,39,30,140,140,89,103,330,331
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070212,13,0,0,111,6,20,340,270,80,103,333,355
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070213,8,0,0,28,0,20,90,90,58,58,239,236
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070214,0,0,0,50,-22,34,330,330,94,107,1425,1426
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070215,0,0,0,56,-50,21,310,310,58,67,1524,1522
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070216,0,0,0,128,-6,38,320,330,107,139,1540,1613
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070217,0,0,0,117,-33,27,130,130,72,76,913,859
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070218,0,0,0,111,-28,39,120,120,94,107,856,858
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070219,20,0,0,117,6,43,280,270,116,139,1744,1736
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070220,0,0,0,67,-11,22,310,300,63,76,1258,1258
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070221,0,0,0,122,-28,22,110,110,67,72,553,555
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070222,0,0,0,178,-11,59,130,140,103,125,2229,2302
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070223,38,0,5,122,-22,68,190,200,134,156,1103,1212
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070224,0,0,0,39,-61,31,290,290,94,107,20,36
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070225,0,0,0,44,-33,53,120,130,112,130,556,558
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070226,0,0,0,67,-22,31,70,300,72,94,1235,2359
GHCND:USW00023066,GRAND JUNCTION WALKER FIELD CO US,20070227,18,0,20,128,-22,63,220,220,156,197,1507,1510
