STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070101,-9999,180,-9999,-9999,244,144,36,230,220,89,107,1441,1440
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070102,-9999,0,-9999,-9999,172,83,31,40,40,63,76,901,904
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070103,-9999,282,-9999,-9999,194,122,19,50,50,58,63,912,912
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070104,-9999,0,-9999,-9999,250,178,13,130,140,54,63,1334,1338
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070105,-9999,112,-9999,-9999,244,167,27,150,250,72,94,2107,943
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070106,-9999,0,-9999,-9999,278,178,22,260,260,58,67,1404,1425
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070107,-9999,0,-9999,-9999,278,167,26,170,190,72,89,1248,1409
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070108,-9999,53,-9999,-9999,228,78,33,320,320,103,125,1110,1111
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070109,-9999,0,-9999,-9999,178,50,32,260,270,76,89,1539,1538
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070110,-9999,0,-9999,-9999,133,17,30,20,10,67,89,929,930
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070111,-9999,0,-9999,-9999,222,33,26,120,60,72,89,1406,1433
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070112,-9999,0,-9999,-9999,244,83,20,70,70,67,80,1605,1605
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070113,-9999,0,-9999,-9999,244,89,13,90,110,45,63,1353,1401
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070114,-9999,5,-9999,-9999,228,106,14,130,130,45,54,1633,1613
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070115,-9999,0,-9999,-9999,261,89,13,200,220,54,67,1140,1241
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070116,-9999,15,-9999,-9999,267,94,25,320,330,80,89,2045,1850
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070117,-9999,0,-9999,-9999,139,100,48,60,70,98,112,1304,1304
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070118,-9999,0,-9999,-9999,128,78,29,360,360,58,72,601,601
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070119,-9999,0,-9999,-9999,211,83,23,360,350,54,67,1422,1424
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070120,-9999,0,-9999,-9999,183,72,29,50,40,54,67,1450,1024
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070121,-9999,0,-9999,-9999,261,50,21,140,140,76,94,1108,1109
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070122,-9999,135,-9999,-9999,256,150,36,240,240,98,125,1222,1223
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070123,-9999,0,-9999,-9999,156,100,21,350,320,45,67,231,2346
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070124,-9999,43,-9999,-9999,161,72,20,20,330,45,63,1756,1226
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070125,-9999,114,-9999,-9999,150,44,30,310,300,67,89,1520,1613
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070126,-9999,-9999,-9999,-9999,150,11,16,60,60,40,54,1441,1443
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070127,15,15,-9999,-9999,211,0,17,180,180,63,89,1337,1338
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070128,-9999,61,-9999,-9999,194,72,61,230,230,116,165,443,444
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070129,-9999,0,-9999,-9999,106,-17,23,300,310,76,98,2355,2356
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070130,-9999,0,-9999,-9999,122,-28,12,230,230,54,58,1424,1425
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070131,-9999,0,-9999,-9999,161,61,25,90,90,58,67,1905,1905
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070201,-9999,500,-9999,-9999,228,67,38,180,180,94,116,1326,1326
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070202,-9999,274,-9999,-9999,233,128,40,270,240,72,89,1223,1546
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070203,-9999,0,-9999,-9999,128,72,31,10,360,58,72,837,2115
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070204,-9999,0,-9999,-9999,150,44,23,30,360,54,67,57,956
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070205,-9999,0,-9999,-9999,139,56,23,30,10,58,72,1125,1328
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070206,-9999,0,-9999,-9999,161,11,12,10,20,58,67,848,907
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070207,-9999,0,-9999,-9999,217,0,27,240,240,72,94,1424,1703
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070208,-9999,0,-9999,-9999,222,72,22,280,270,58,67,1205,1206
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070209,-9999,0,-9999,-9999,233,67,20,270,250,67,76,1532,1206
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070210,-9999,0,-9999,-9999,178,56,25,310,300,63,72,1505,1505
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20070211,-9999,0,-9999,-9999,194,11,22,100,10,54,63,1407,1627
