STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070101,0,-9999,-9999,150,56,32,20,20,63,76,2358,2358
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070102,0,-9999,-9999,111,11,15,20,20,63,76,2358,2358
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070103,0,-9999,-9999,150,28,17,110,100,45,58,2231,2234
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070104,0,-9999,-9999,194,122,54,150,160,89,112,2357,2357
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070105,371,-9999,-9999,211,150,27,210,220,98,139,37,38
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070106,0,-9999,-9999,233,167,21,20,360,54,63,1200,1139
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070107,23,-9999,-9999,206,139,40,330,340,103,134,2150,2151
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070108,0,-9999,-9999,161,39,37,330,330,98,130,2,12
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070109,0,-9999,-9999,206,17,41,330,320,107,134,1512,1522
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070110,0,-9999,-9999,133,33,22,90,60,63,76,1009,934
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070111,0,-9999,-9999,189,33,40,120,130,76,94,2224,2213
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070112,0,-9999,-9999,222,156,64,120,100,103,130,1341,1347
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070113,0,-9999,-9999,222,167,54,140,130,80,98,1358,1501
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070114,0,-9999,-9999,217,178,55,140,140,94,112,1351,1344
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070115,8,-9999,-9999,222,150,38,340,340,67,80,1951,1952
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070116,20,-9999,-9999,150,33,74,340,340,107,134,29,29
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070117,0,-9999,-9999,78,22,51,30,20,94,112,906,825
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070118,20,-9999,-9999,128,61,24,20,20,40,54,2153,2154
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070119,89,-9999,-9999,111,72,43,10,20,72,98,636,339
GHCND:USW00093874,GULFPORT BILOXI AIRPORT MS US,20070120,0,-9999,-9999,139,72,45,120,70,76,98,918,2313
