STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070101,20,0,0,83,-17,64,240,240,130,161,335,411
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070102,0,0,0,56,-39,40,230,200,80,98,2338,1117
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070103,0,0,0,94,0,60,230,230,94,116,1234,1235
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070104,97,0,0,100,28,67,170,170,156,197,1940,1942
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070105,10,0,0,106,72,38,240,240,94,116,227,320
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070106,3,0,0,72,0,52,280,270,98,125,1242,1321
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070107,36,0,5,28,-33,31,150,120,58,72,1242,1304
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070108,25,25,41,11,-17,57,250,260,116,143,1213,1300
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070109,10,25,25,6,-50,56,300,300,125,156,1522,1522
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070110,0,25,0,-11,-67,44,170,160,76,98,2327,2348
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070111,13,0,0,61,-11,63,210,230,89,125,2023,2043
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070112,79,0,0,78,6,38,360,350,67,72,2149,2015
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070113,0,0,0,6,-33,34,360,360,63,72,34,34
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070114,36,0,10,-6,-28,41,70,70,89,103,2221,2225
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070115,119,25,64,-11,-56,45,40,50,72,98,747,750
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070116,0,76,0,-50,-150,31,350,300,67,76,1536,21
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070117,0,51,0,-33,-161,42,230,220,89,103,1248,1249
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070118,23,51,51,-11,-100,46,250,180,80,103,1022,1741
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070119,20,102,79,-17,-67,61,270,270,112,130,1151,1150
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070120,0,127,0,-39,-117,21,330,330,54,63,435,435
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070121,30,102,30,-39,-94,41,80,70,72,89,1528,1705
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070122,0,152,3,-11,-94,24,250,250,107,125,2349,2349
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070123,0,102,0,-11,-33,61,270,260,112,139,1047,1047
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070124,10,102,15,-22,-61,30,300,310,72,89,1836,1845
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070125,0,102,0,-61,-111,41,300,300,98,116,1527,1527
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070126,0,102,0,50,-111,60,240,230,130,156,2002,2035
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070127,3,51,8,28,-67,48,300,300,94,112,1731,1734
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070128,3,51,8,-44,-128,26,10,20,80,94,1521,1502
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070129,8,76,20,-72,-106,47,200,190,94,112,1305,1305
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070130,13,127,33,-50,-100,26,260,270,58,67,1441,1437
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070131,0,102,0,-61,-100,68,240,200,103,125,2206,1426
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070201,30,127,107,-44,-89,51,230,230,94,107,1425,1436
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070202,33,203,76,-56,-117,66,260,270,134,156,1320,1320
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070203,155,254,287,-106,-156,80,270,270,148,183,1223,1224
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070204,15,381,48,-156,-211,54,300,280,103,116,1503,1220
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070205,0,305,0,-122,-244,37,270,250,80,98,1636,1446
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070206,8,254,20,-122,-217,30,180,180,54,63,1540,1419
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070207,0,254,0,-83,-178,50,250,260,98,107,1626,1526
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070208,3,254,10,-78,-133,63,250,260,112,134,1502,1419
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070209,3,254,15,-56,-144,42,250,250,89,98,1843,1639
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070210,0,254,3,-67,-117,54,240,240,89,103,1852,1852
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070211,10,229,28,-44,-150,49,240,250,103,112,1347,1332
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070212,18,254,36,-33,-78,40,60,60,76,94,2020,2020
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070213,33,279,25,-78,-100,81,50,50,143,170,1718,1719
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070214,0,254,0,-61,-144,52,20,20,103,125,10,10
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070215,5,254,13,-61,-144,35,300,270,94,107,1553,1536
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070216,0,279,3,-56,-117,65,250,250,125,134,1325,1325
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070217,10,279,18,-6,-94,42,320,310,98,116,1742,1742
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070218,3,279,5,-56,-156,44,300,310,89,107,1049,1410
GHCND:USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT MI US,20070219,0,279,0,61,-122,65,230,240,134,161,1941,2001
